Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ABM,45.06,45.23,44.72,45.22,9103,0,0,2026-01-29 09:30:00
ABM,45.13,45.13,45.13,45.13,905,44.94,45.32,2026-01-29 09:34:00
ABM,45.21,45.21,45.21,45.21,406,0,0,2026-01-29 09:35:00
ABM,45.26,45.35,45.26,45.35,1651,0,0,2026-01-29 09:36:00
ABM,45.42,45.42,45.42,45.42,252,0,0,2026-01-29 09:37:00
ABM,45.41,45.41,45.41,45.41,1311,0,0,2026-01-29 09:39:00
ABM,45.53,45.54,45.51,45.51,1021,0,0,2026-01-29 09:42:00
ABM,45.44,45.44,45.44,45.44,129,0,0,2026-01-29 09:43:00
ABM,45.38,45.39,45.27,45.27,8742,0,0,2026-01-29 09:44:00
ABM,45.3,45.31,45.3,45.31,343,0,0,2026-01-29 09:48:00
ABM,45.32,45.32,45.32,45.32,333,0,0,2026-01-29 09:49:00
ABM,45.35,45.45,45.35,45.45,1450,0,0,2026-01-29 09:50:00
ABM,45.53,45.56,45.52,45.56,3417,0,0,2026-01-29 09:55:00
ABM,45.62,45.64,45.6,45.61,10008,0,0,2026-01-29 10:00:00
ABM,45.61,45.63,45.6,45.63,992,0,0,2026-01-29 10:01:00
ABM,45.63,45.63,45.63,45.63,288,0,0,2026-01-29 10:02:00
ABM,45.6,45.6,45.58,45.6,1865,0,0,2026-01-29 10:04:00
ABM,45.59,45.59,45.59,45.59,590,0,0,2026-01-29 10:05:00
ABM,45.55,45.55,45.48,45.48,2052,0,0,2026-01-29 10:07:00
ABM,45.47,45.47,45.47,45.47,134,0,0,2026-01-29 10:08:00
ABM,45.49,45.54,45.49,45.51,3000,0,0,2026-01-29 10:10:00
ABM,45.49,45.49,45.49,45.49,759,0,0,2026-01-29 10:11:00
ABM,45.45,45.45,45.42,45.45,3927,0,0,2026-01-29 10:13:00
ABM,45.47,45.49,45.44,45.44,4613,0,0,2026-01-29 10:14:00
ABM,45.47,45.51,45.45,45.46,30348,0,0,2026-01-29 10:15:00
ABM,45.46,45.47,45.43,45.45,7443,0,0,2026-01-29 10:16:00
ABM,45.4,45.47,45.39,45.47,3893,0,0,2026-01-29 10:17:00
ABM,45.48,45.48,45.42,45.42,3554,0,0,2026-01-29 10:18:00
ABM,45.46,45.47,45.46,45.47,443,0,0,2026-01-29 10:20:00
ABM,45.5,45.5,45.5,45.5,281,0,0,2026-01-29 10:21:00
ABM,45.45,45.45,45.45,45.45,2353,0,0,2026-01-29 10:22:00
ABM,45.48,45.48,45.45,45.45,721,0,0,2026-01-29 10:24:00
ABM,45.42,45.43,45.42,45.43,903,0,0,2026-01-29 10:26:00
ABM,45.46,45.46,45.44,45.44,3857,0,0,2026-01-29 10:27:00
ABM,45.42,45.43,45.39,45.43,2360,45.23,45.4,2026-01-29 10:30:00
ABM,45.23,45.23,45.15,45.22,4579,0,0,2026-01-29 10:34:00
ABM,45.15,45.23,45.15,45.22,2553,0,0,2026-01-29 10:35:00
ABM,45.21,45.22,45.19,45.2,3068,0,0,2026-01-29 10:37:00
ABM,45.18,45.2,45.18,45.2,2179,0,0,2026-01-29 10:38:00
