Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ABNB,131.84,131.84,131.84,131.84,165,131.07,132,2026-01-29 08:00:06
ABNB,131.75,132.51,131.65,132.03,29540,0,0,2026-01-29 09:30:00
ABNB,132.0,132.03,131.98,132.02,3074,0,0,2026-01-29 09:31:00
ABNB,131.82,131.82,131.31,131.57,19017,0,0,2026-01-29 09:32:00
ABNB,131.5,131.57,131.25,131.57,4143,0,0,2026-01-29 09:33:00
ABNB,131.47,132.37,131.47,132.09,11042,0,0,2026-01-29 09:34:00
ABNB,132.02,132.27,131.69,131.72,5817,0,0,2026-01-29 09:35:00
ABNB,131.77,131.79,131.77,131.79,1973,0,0,2026-01-29 09:36:00
ABNB,131.74,132.03,131.74,132.03,2464,0,0,2026-01-29 09:37:00
ABNB,132.15,132.34,132.12,132.34,3945,0,0,2026-01-29 09:38:00
ABNB,132.38,132.46,132.25,132.25,8905,0,0,2026-01-29 09:39:00
ABNB,132.4,132.58,132.4,132.58,2246,0,0,2026-01-29 09:40:00
ABNB,132.45,132.45,132.16,132.16,2742,0,0,2026-01-29 09:41:00
ABNB,132.01,132.14,131.68,131.68,7762,0,0,2026-01-29 09:42:00
ABNB,131.75,131.75,131.45,131.45,6866,0,0,2026-01-29 09:43:00
ABNB,131.4,131.4,131.26,131.29,3421,0,0,2026-01-29 09:44:00
ABNB,131.2,131.2,131.03,131.04,7222,0,0,2026-01-29 09:45:00
ABNB,131.04,131.29,131.01,131.29,7992,0,0,2026-01-29 09:46:00
ABNB,131.34,131.56,131.26,131.56,19782,0,0,2026-01-29 09:47:00
ABNB,131.56,131.68,131.5,131.56,9013,0,0,2026-01-29 09:48:00
ABNB,131.6,131.6,131.32,131.38,6425,0,0,2026-01-29 09:49:00
ABNB,131.35,131.38,131.2,131.32,16355,0,0,2026-01-29 09:50:00
ABNB,131.31,131.31,131.1,131.12,7673,0,0,2026-01-29 09:51:00
ABNB,131.12,131.26,131.12,131.24,8654,0,0,2026-01-29 09:52:00
ABNB,131.31,131.4,131.21,131.31,6977,0,0,2026-01-29 09:53:00
ABNB,131.31,131.75,131.31,131.75,4492,0,0,2026-01-29 09:54:00
ABNB,131.75,131.79,131.46,131.63,5782,0,0,2026-01-29 09:55:00
ABNB,131.5,131.5,131.24,131.24,13044,0,0,2026-01-29 09:56:00
ABNB,131.19,131.29,131.18,131.29,7054,0,0,2026-01-29 09:57:00
ABNB,131.28,131.31,130.91,130.92,13299,0,0,2026-01-29 09:58:00
ABNB,131.03,131.08,131.03,131.08,2775,0,0,2026-01-29 09:59:00
ABNB,131.02,131.03,131.02,131.02,3404,0,0,2026-01-29 10:00:00
ABNB,131.12,131.23,131.03,131.03,13678,0,0,2026-01-29 10:01:00
