Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ABR,7.73,7.73,7.73,7.73,207,0,0,2026-01-29 08:08:00
ABR,7.78,7.78,7.78,7.78,500,0,0,2026-01-29 08:16:00
ABR,7.77,7.77,7.77,7.77,425,7.76,7.77,2026-01-29 08:40:00
ABR,7.76,7.76,7.76,7.76,100,0,0,2026-01-29 08:50:00
ABR,7.76,7.76,7.76,7.76,384,0,0,2026-01-29 08:58:00
ABR,7.76,7.76,7.76,7.76,600,0,0,2026-01-29 09:04:00
ABR,7.76,7.82,7.76,7.79,48290,0,0,2026-01-29 09:30:00
ABR,7.79,7.82,7.78,7.82,28752,0,0,2026-01-29 09:31:00
ABR,7.82,7.82,7.79,7.8,3948,0,0,2026-01-29 09:32:00
ABR,7.79,7.81,7.79,7.79,2476,7.78,7.81,2026-01-29 09:34:00
ABR,7.8,7.8,7.79,7.8,1686,0,0,2026-01-29 09:34:00
ABR,7.79,7.79,7.78,7.78,2559,0,0,2026-01-29 09:35:00
ABR,7.79,7.8,7.79,7.79,10075,0,0,2026-01-29 09:36:00
ABR,7.8,7.84,7.8,7.83,14411,0,0,2026-01-29 09:37:00
ABR,7.84,7.87,7.84,7.87,17523,0,0,2026-01-29 09:38:00
ABR,7.88,7.9,7.88,7.89,25661,0,0,2026-01-29 09:39:00
ABR,7.89,7.92,7.89,7.91,9218,0,0,2026-01-29 09:40:00
ABR,7.91,7.91,7.9,7.9,8390,0,0,2026-01-29 09:41:00
ABR,7.9,7.9,7.86,7.87,17789,0,0,2026-01-29 09:42:00
ABR,7.86,7.87,7.85,7.85,3967,0,0,2026-01-29 09:43:00
ABR,7.85,7.86,7.84,7.86,8359,0,0,2026-01-29 09:44:00
ABR,7.86,7.88,7.86,7.87,19338,0,0,2026-01-29 09:45:00
ABR,7.87,7.87,7.85,7.87,3480,0,0,2026-01-29 09:46:00
ABR,7.85,7.86,7.84,7.85,16983,0,0,2026-01-29 09:47:00
ABR,7.85,7.85,7.85,7.85,1783,0,0,2026-01-29 09:48:00
ABR,7.86,7.86,7.86,7.86,7863,7.85,7.86,2026-01-29 09:50:00
ABR,7.86,7.86,7.85,7.85,1654,0,0,2026-01-29 09:50:00
ABR,7.86,7.87,7.86,7.87,2722,0,0,2026-01-29 09:51:00
ABR,7.86,7.87,7.86,7.86,16207,0,0,2026-01-29 09:52:00
ABR,7.86,7.87,7.85,7.87,8615,0,0,2026-01-29 09:53:00
ABR,7.87,7.89,7.87,7.89,14524,0,0,2026-01-29 09:54:00
ABR,7.88,7.88,7.87,7.87,21203,0,0,2026-01-29 09:55:00
ABR,7.87,7.87,7.85,7.85,13311,0,0,2026-01-29 09:56:00
ABR,7.85,7.86,7.84,7.85,2768,0,0,2026-01-29 09:57:00
ABR,7.85,7.85,7.85,7.85,1541,0,0,2026-01-29 09:58:00
ABR,7.85,7.85,7.83,7.83,4302,0,0,2026-01-29 09:59:00
ABR,7.83,7.84,7.83,7.84,1247,0,0,2026-01-29 10:00:00
ABR,7.84,7.84,7.78,7.79,34539,0,0,2026-01-29 10:02:00
ABR,7.79,7.79,7.77,7.78,7892,0,0,2026-01-29 10:03:00
ABR,7.78,7.79,7.78,7.79,2979,0,0,2026-01-29 10:04:00
ABR,7.8,7.8,7.79,7.79,5105,7.79,7.8,2026-01-29 10:06:00
ABR,7.8,7.8,7.79,7.79,3498,0,0,2026-01-29 10:06:00
ABR,7.79,7.8,7.79,7.79,1655,0,0,2026-01-29 10:07:00
ABR,7.79,7.8,7.79,7.79,3253,7.79,7.8,2026-01-29 10:09:00
ABR,7.8,7.8,7.79,7.79,4148,0,0,2026-01-29 10:09:00
ABR,7.79,7.79,7.79,7.79,7428,0,0,2026-01-29 10:10:00
ABR,7.8,7.8,7.78,7.78,4702,0,0,2026-01-29 10:11:00
ABR,7.79,7.79,7.78,7.78,5119,0,0,2026-01-29 10:12:00
ABR,7.78,7.78,7.76,7.76,5555,0,0,2026-01-29 10:13:00
ABR,7.76,7.78,7.76,7.78,4285,0,0,2026-01-29 10:14:00
ABR,7.78,7.79,7.78,7.78,5236,0,0,2026-01-29 10:15:00
ABR,7.79,7.79,7.79,7.79,2724,0,0,2026-01-29 10:16:00
ABR,7.79,7.79,7.78,7.78,628,0,0,2026-01-29 10:17:00
ABR,7.78,7.78,7.76,7.76,9229,0,0,2026-01-29 10:18:00
ABR,7.77,7.77,7.77,7.77,4058,0,0,2026-01-29 10:19:00
ABR,7.77,7.78,7.77,7.78,840,0,0,2026-01-29 10:20:00
ABR,7.78,7.78,7.78,7.78,1508,0,0,2026-01-29 10:21:00
ABR,7.78,7.78,7.78,7.78,1266,0,0,2026-01-29 10:22:00
ABR,7.78,7.78,7.78,7.78,21812,0,0,2026-01-29 10:23:00
ABR,7.78,7.78,7.78,7.78,1357,0,0,2026-01-29 10:24:00
ABR,7.77,7.78,7.77,7.78,3105,0,0,2026-01-29 10:25:00
