Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ABVE,2.25,2.25,2.25,2.25,210,0,0,2026-01-29 08:08:00
ABVE,2.27,2.27,2.27,2.27,102,0,0,2026-01-29 08:09:00
ABVE,2.28,2.31,2.28,2.31,4535,0,0,2026-01-29 08:11:00
ABVE,2.31,2.31,2.31,2.31,200,0,0,2026-01-29 08:15:00
ABVE,2.31,2.31,2.31,2.31,495,0,0,2026-01-29 08:16:00
ABVE,2.31,2.31,2.31,2.31,100,0,0,2026-01-29 08:20:00
ABVE,2.3,2.3,2.3,2.3,737,0,0,2026-01-29 08:22:00
ABVE,2.3,2.3,2.3,2.3,150,0,0,2026-01-29 08:23:00
ABVE,2.32,2.32,2.32,2.32,300,0,0,2026-01-29 08:28:00
ABVE,2.31,2.31,2.31,2.31,618,0,0,2026-01-29 08:30:00
ABVE,2.31,2.31,2.3,2.3,5166,0,0,2026-01-29 08:31:00
ABVE,2.3,2.3,2.3,2.3,574,0,0,2026-01-29 08:32:00
ABVE,2.28,2.28,2.28,2.28,4872,0,0,2026-01-29 08:34:00
ABVE,2.25,2.25,2.25,2.25,450,0,0,2026-01-29 08:43:00
ABVE,2.24,2.24,2.24,2.24,7035,0,0,2026-01-29 08:50:00
ABVE,2.28,2.28,2.25,2.28,3992,0,0,2026-01-29 08:51:00
ABVE,2.28,2.28,2.28,2.28,200,2.28,2.3,2026-01-29 08:53:00
ABVE,2.28,2.28,2.28,2.28,4467,0,0,2026-01-29 08:59:00
ABVE,2.28,2.28,2.28,2.28,318,2.28,2.3,2026-01-29 09:01:00
ABVE,2.28,2.28,2.28,2.28,1283,0,0,2026-01-29 09:01:00
ABVE,2.28,2.28,2.28,2.28,1166,2.28,2.3,2026-01-29 09:06:00
ABVE,2.28,2.28,2.28,2.28,1167,0,0,2026-01-29 09:07:00
ABVE,2.28,2.28,2.27,2.28,23713,2.23,2.29,2026-01-29 09:09:00
ABVE,2.23,2.23,2.23,2.23,1303,0,0,2026-01-29 09:10:00
ABVE,2.24,2.24,2.19,2.22,27478,0,0,2026-01-29 09:11:00
ABVE,2.21,2.21,2.21,2.21,326,0,0,2026-01-29 09:13:00
ABVE,2.25,2.25,2.25,2.25,238,2.19,2.28,2026-01-29 09:15:00
ABVE,2.19,2.19,2.19,2.19,6523,0,0,2026-01-29 09:16:00
ABVE,2.2,2.2,2.2,2.2,501,0,0,2026-01-29 09:22:00
ABVE,2.21,2.21,2.21,2.21,1003,2.19,2.24,2026-01-29 09:24:00
ABVE,2.21,2.21,2.21,2.21,489,0,0,2026-01-29 09:24:00
ABVE,2.22,2.22,2.21,2.21,934,0,0,2026-01-29 09:25:00
ABVE,2.22,2.22,2.22,2.22,500,0,0,2026-01-29 09:26:00
ABVE,2.22,2.22,2.22,2.22,389,0,0,2026-01-29 09:27:00
ABVE,2.22,2.22,2.22,2.22,431,0,0,2026-01-29 09:28:00
ABVE,2.22,2.22,2.22,2.22,876,2.19,2.27,2026-01-29 09:30:00
ABVE,2.18,2.2,2.07,2.1,63655,0,0,2026-01-29 09:30:00
ABVE,2.1,2.12,2.1,2.12,2919,0,0,2026-01-29 09:31:00
ABVE,2.12,2.15,2.11,2.14,51908,0,0,2026-01-29 09:32:00
ABVE,2.13,2.16,2.13,2.15,27060,2.13,2.16,2026-01-29 09:34:00
ABVE,2.13,2.15,2.13,2.15,27873,0,0,2026-01-29 09:34:00
ABVE,2.13,2.14,2.09,2.09,104461,0,0,2026-01-29 09:35:00
ABVE,2.1,2.12,2.08,2.12,22698,0,0,2026-01-29 09:36:00
ABVE,2.13,2.15,2.13,2.13,23832,0,0,2026-01-29 09:37:00
ABVE,2.15,2.17,2.15,2.17,3853,0,0,2026-01-29 09:38:00
ABVE,2.18,2.18,2.17,2.17,1319,0,0,2026-01-29 09:39:00
ABVE,2.16,2.19,2.16,2.19,2998,0,0,2026-01-29 09:40:00
ABVE,2.19,2.19,2.18,2.18,1426,0,0,2026-01-29 09:41:00
ABVE,2.17,2.18,2.17,2.18,1221,0,0,2026-01-29 09:42:00
ABVE,2.19,2.2,2.19,2.2,32785,0,0,2026-01-29 09:43:00
ABVE,2.2,2.21,2.2,2.21,4153,0,0,2026-01-29 09:44:00
ABVE,2.22,2.22,2.22,2.22,998,0,0,2026-01-29 09:46:00
ABVE,2.22,2.23,2.22,2.23,1860,0,0,2026-01-29 09:47:00
ABVE,2.23,2.23,2.22,2.22,2442,0,0,2026-01-29 09:48:00
ABVE,2.21,2.21,2.19,2.19,13210,0,0,2026-01-29 09:49:00
ABVE,2.19,2.19,2.19,2.19,884,0,0,2026-01-29 09:50:00
ABVE,2.19,2.2,2.19,2.19,886,0,0,2026-01-29 09:51:00
ABVE,2.19,2.19,2.19,2.19,852,0,0,2026-01-29 09:52:00
ABVE,2.2,2.2,2.17,2.17,7172,0,0,2026-01-29 09:53:00
ABVE,2.17,2.18,2.17,2.18,1900,0,0,2026-01-29 09:54:00
ABVE,2.18,2.19,2.15,2.16,9380,0,0,2026-01-29 09:55:00
ABVE,2.15,2.18,2.15,2.18,9776,0,0,2026-01-29 09:56:00
ABVE,2.17,2.17,2.15,2.17,17769,0,0,2026-01-29 09:57:00
ABVE,2.18,2.18,2.17,2.17,919,0,0,2026-01-29 09:58:00
ABVE,2.17,2.17,2.16,2.17,6117,0,0,2026-01-29 09:59:00
ABVE,2.19,2.19,2.17,2.17,10807,0,0,2026-01-29 10:00:00
ABVE,2.17,2.18,2.17,2.18,6389,0,0,2026-01-29 10:01:00
ABVE,2.18,2.18,2.17,2.17,607,0,0,2026-01-29 10:02:00
ABVE,2.18,2.19,2.18,2.19,3595,0,0,2026-01-29 10:03:00
ABVE,2.19,2.23,2.19,2.23,9263,0,0,2026-01-29 10:04:00
ABVE,2.23,2.24,2.21,2.21,5260,0,0,2026-01-29 10:05:00
ABVE,2.21,2.22,2.21,2.22,1838,0,0,2026-01-29 10:06:00
ABVE,2.23,2.23,2.22,2.23,2407,0,0,2026-01-29 10:07:00
ABVE,2.23,2.23,2.23,2.23,1134,2.22,2.23,2026-01-29 10:09:00
ABVE,2.23,2.23,2.21,2.21,4626,0,0,2026-01-29 10:09:00
ABVE,2.21,2.21,2.2,2.2,1275,0,0,2026-01-29 10:10:00
ABVE,2.21,2.21,2.21,2.21,1599,0,0,2026-01-29 10:11:00
ABVE,2.22,2.23,2.22,2.22,7999,0,0,2026-01-29 10:12:00
ABVE,2.2,2.2,2.2,2.2,502,0,0,2026-01-29 10:13:00
ABVE,2.19,2.19,2.19,2.19,1063,0,0,2026-01-29 10:15:00
ABVE,2.19,2.19,2.19,2.19,3709,0,0,2026-01-29 10:16:00
ABVE,2.19,2.19,2.18,2.18,1658,0,0,2026-01-29 10:17:00
ABVE,2.18,2.18,2.18,2.18,2996,0,0,2026-01-29 10:18:00
ABVE,2.17,2.18,2.17,2.18,1890,0,0,2026-01-29 10:19:00
ABVE,2.18,2.18,2.17,2.17,1351,0,0,2026-01-29 10:20:00
ABVE,2.18,2.18,2.18,2.18,105,0,0,2026-01-29 10:21:00
ABVE,2.19,2.19,2.18,2.18,939,0,0,2026-01-29 10:22:00
ABVE,2.18,2.18,2.17,2.17,2345,0,0,2026-01-29 10:23:00
ABVE,2.17,2.17,2.17,2.17,488,0,0,2026-01-29 10:24:00
ABVE,2.18,2.18,2.17,2.17,6167,0,0,2026-01-29 10:25:00
ABVE,2.19,2.19,2.18,2.18,598,0,0,2026-01-29 10:26:00
ABVE,2.19,2.19,2.17,2.17,2992,0,0,2026-01-29 10:27:00
ABVE,2.19,2.19,2.19,2.19,103,0,0,2026-01-29 10:30:00
ABVE,2.18,2.19,2.18,2.18,1959,0,0,2026-01-29 10:31:00
ABVE,2.19,2.19,2.17,2.17,1100,0,0,2026-01-29 10:32:00
ABVE,2.18,2.18,2.18,2.18,618,0,0,2026-01-29 10:33:00
ABVE,2.18,2.18,2.18,2.18,425,0,0,2026-01-29 10:34:00
ABVE,2.18,2.18,2.18,2.18,1260,0,0,2026-01-29 10:35:00
ABVE,2.18,2.18,2.18,2.18,971,0,0,2026-01-29 10:36:00
ABVE,2.18,2.18,2.17,2.18,1245,0,0,2026-01-29 10:37:00
ABVE,2.18,2.18,2.18,2.18,1019,0,0,2026-01-29 10:38:00
ABVE,2.18,2.18,2.17,2.17,7272,0,0,2026-01-29 10:39:00
ABVE,2.17,2.18,2.17,2.18,12522,0,0,2026-01-29 10:40:00
ABVE,2.19,2.19,2.17,2.17,1770,0,0,2026-01-29 10:41:00
ABVE,2.18,2.18,2.18,2.18,973,0,0,2026-01-29 10:42:00
ABVE,2.18,2.18,2.17,2.17,2820,0,0,2026-01-29 10:43:00
ABVE,2.17,2.17,2.17,2.17,1405,2.16,2.17,2026-01-29 10:45:00
ABVE,2.17,2.18,2.17,2.18,2530,0,0,2026-01-29 10:45:00
ABVE,2.19,2.19,2.19,2.19,260,0,0,2026-01-29 10:46:00
ABVE,2.19,2.19,2.19,2.19,605,0,0,2026-01-29 10:48:00
ABVE,2.19,2.19,2.19,2.19,604,0,0,2026-01-29 10:49:00
ABVE,2.19,2.19,2.19,2.19,2516,0,0,2026-01-29 10:50:00
ABVE,2.19,2.19,2.18,2.19,3362,0,0,2026-01-29 10:51:00
ABVE,2.19,2.19,2.18,2.18,1694,0,0,2026-01-29 10:53:00
ABVE,2.18,2.18,2.18,2.18,1723,0,0,2026-01-29 10:54:00
ABVE,2.19,2.19,2.18,2.19,789,0,0,2026-01-29 10:55:00
ABVE,2.19,2.19,2.18,2.18,4342,0,0,2026-01-29 10:56:00
ABVE,2.18,2.2,2.18,2.2,2800,0,0,2026-01-29 10:57:00
ABVE,2.21,2.21,2.2,2.2,672,0,0,2026-01-29 10:59:00
ABVE,2.2,2.21,2.2,2.2,2655,0,0,2026-01-29 11:00:00
ABVE,2.2,2.2,2.19,2.19,1142,0,0,2026-01-29 11:01:00
ABVE,2.19,2.21,2.19,2.21,1206,0,0,2026-01-29 11:02:00
ABVE,2.21,2.22,2.21,2.21,3326,0,0,2026-01-29 11:03:00
ABVE,2.22,2.24,2.22,2.24,13567,0,0,2026-01-29 11:04:00
ABVE,2.23,2.23,2.23,2.23,2809,0,0,2026-01-29 11:05:00
ABVE,2.23,2.24,2.23,2.23,10334,0,0,2026-01-29 11:06:00
ABVE,2.23,2.24,2.23,2.23,3628,0,0,2026-01-29 11:07:00
ABVE,2.24,2.24,2.23,2.24,4245,0,0,2026-01-29 11:08:00
ABVE,2.24,2.24,2.23,2.23,3571,0,0,2026-01-29 11:09:00
ABVE,2.22,2.23,2.22,2.22,615,0,0,2026-01-29 11:10:00
ABVE,2.22,2.23,2.22,2.22,662,0,0,2026-01-29 11:11:00
ABVE,2.22,2.23,2.22,2.22,5500,0,0,2026-01-29 11:12:00
ABVE,2.22,2.22,2.22,2.22,3519,0,0,2026-01-29 11:13:00
ABVE,2.23,2.23,2.22,2.23,1425,0,0,2026-01-29 11:14:00
ABVE,2.23,2.23,2.22,2.23,559,0,0,2026-01-29 11:15:00
ABVE,2.23,2.23,2.22,2.23,4423,0,0,2026-01-29 11:16:00
ABVE,2.22,2.23,2.21,2.21,3043,0,0,2026-01-29 11:17:00
ABVE,2.21,2.21,2.17,2.17,10596,0,0,2026-01-29 11:18:00
ABVE,2.17,2.18,2.17,2.18,1816,0,0,2026-01-29 11:19:00
ABVE,2.18,2.18,2.17,2.17,5856,0,0,2026-01-29 11:20:00
ABVE,2.17,2.19,2.17,2.18,8871,0,0,2026-01-29 11:21:00
ABVE,2.17,2.17,2.17,2.17,3784,0,0,2026-01-29 11:22:00
ABVE,2.17,2.17,2.17,2.17,790,0,0,2026-01-29 11:23:00
ABVE,2.17,2.18,2.17,2.17,9279,0,0,2026-01-29 11:24:00
ABVE,2.18,2.18,2.15,2.15,9376,0,0,2026-01-29 11:25:00
ABVE,2.15,2.15,2.15,2.15,2117,0,0,2026-01-29 11:26:00
ABVE,2.15,2.16,2.15,2.15,1504,0,0,2026-01-29 11:27:00
ABVE,2.15,2.15,2.15,2.15,3243,0,0,2026-01-29 11:28:00
ABVE,2.15,2.15,2.15,2.15,2554,0,0,2026-01-29 11:29:00
ABVE,2.15,2.16,2.15,2.15,1042,0,0,2026-01-29 11:30:00
ABVE,2.15,2.15,2.15,2.15,666,0,0,2026-01-29 11:31:00
ABVE,2.15,2.15,2.15,2.15,814,0,0,2026-01-29 11:32:00
ABVE,2.15,2.15,2.15,2.15,692,0,0,2026-01-29 11:33:00
ABVE,2.15,2.16,2.15,2.15,1660,0,0,2026-01-29 11:34:00
ABVE,2.15,2.15,2.15,2.15,1038,0,0,2026-01-29 11:35:00
ABVE,2.15,2.15,2.15,2.15,722,0,0,2026-01-29 11:36:00
ABVE,2.15,2.15,2.15,2.15,399,0,0,2026-01-29 11:37:00
ABVE,2.15,2.16,2.15,2.15,22338,0,0,2026-01-29 11:38:00
ABVE,2.15,2.16,2.15,2.15,1731,0,0,2026-01-29 11:40:00
ABVE,2.15,2.15,2.15,2.15,2172,0,0,2026-01-29 11:41:00
ABVE,2.15,2.15,2.15,2.15,228,0,0,2026-01-29 11:42:00
ABVE,2.15,2.15,2.15,2.15,797,0,0,2026-01-29 11:43:00
ABVE,2.15,2.15,2.15,2.15,316,0,0,2026-01-29 11:44:00
ABVE,2.15,2.15,2.15,2.15,480,0,0,2026-01-29 11:45:00
ABVE,2.15,2.15,2.15,2.15,5813,0,0,2026-01-29 11:46:00
ABVE,2.14,2.14,2.14,2.14,577,0,0,2026-01-29 11:47:00
ABVE,2.14,2.15,2.14,2.15,586,0,0,2026-01-29 11:48:00
ABVE,2.14,2.15,2.14,2.15,869,0,0,2026-01-29 11:49:00
ABVE,2.14,2.14,2.14,2.14,422,0,0,2026-01-29 11:50:00
ABVE,2.14,2.15,2.14,2.15,11104,0,0,2026-01-29 11:51:00
ABVE,2.15,2.15,2.15,2.15,623,0,0,2026-01-29 11:52:00
ABVE,2.15,2.15,2.1,2.1,56805,0,0,2026-01-29 11:53:00
ABVE,2.09,2.1,2.09,2.1,1005,0,0,2026-01-29 11:54:00
ABVE,2.1,2.11,2.1,2.11,8322,0,0,2026-01-29 11:55:00
ABVE,2.11,2.12,2.11,2.12,858,0,0,2026-01-29 11:57:00
ABVE,2.12,2.12,2.11,2.12,883,0,0,2026-01-29 11:58:00
ABVE,2.12,2.12,2.11,2.11,4746,0,0,2026-01-29 11:59:00
ABVE,2.11,2.11,2.1,2.1,11602,0,0,2026-01-29 12:00:00
ABVE,2.1,2.1,2.1,2.1,7446,0,0,2026-01-29 12:01:00
ABVE,2.1,2.1,2.1,2.1,1526,0,0,2026-01-29 12:02:00
ABVE,2.1,2.1,2.1,2.1,427,0,0,2026-01-29 12:03:00
ABVE,2.1,2.11,2.1,2.1,1447,0,0,2026-01-29 12:04:00
ABVE,2.1,2.11,2.1,2.11,4185,0,0,2026-01-29 12:05:00
ABVE,2.1,2.1,2.1,2.1,1403,0,0,2026-01-29 12:07:00
ABVE,2.1,2.1,2.1,2.1,5788,0,0,2026-01-29 12:09:00
ABVE,2.1,2.1,2.1,2.1,6376,0,0,2026-01-29 12:11:00
ABVE,2.1,2.1,2.08,2.08,16281,0,0,2026-01-29 12:13:00
ABVE,2.08,2.08,2.08,2.08,4934,0,0,2026-01-29 12:14:00
ABVE,2.09,2.09,2.08,2.09,13753,0,0,2026-01-29 12:15:00
ABVE,2.08,2.08,2.08,2.08,589,0,0,2026-01-29 12:16:00
ABVE,2.08,2.1,2.08,2.1,3374,0,0,2026-01-29 12:17:00
ABVE,2.1,2.11,2.1,2.11,1998,0,0,2026-01-29 12:18:00
ABVE,2.11,2.12,2.11,2.12,1209,0,0,2026-01-29 12:19:00
ABVE,2.13,2.14,2.13,2.14,2294,0,0,2026-01-29 12:21:00
ABVE,2.13,2.13,2.12,2.12,3603,0,0,2026-01-29 12:22:00
ABVE,2.11,2.13,2.11,2.13,2764,0,0,2026-01-29 12:23:00
ABVE,2.15,2.15,2.13,2.13,1991,0,0,2026-01-29 12:24:00
ABVE,2.13,2.13,2.13,2.13,2466,0,0,2026-01-29 12:25:00
ABVE,2.14,2.14,2.14,2.14,400,0,0,2026-01-29 12:28:00
ABVE,2.14,2.15,2.14,2.14,1742,0,0,2026-01-29 12:29:00
ABVE,2.15,2.15,2.12,2.12,4250,0,0,2026-01-29 12:30:00
ABVE,2.12,2.12,2.12,2.12,346,0,0,2026-01-29 12:32:00
ABVE,2.1,2.1,2.09,2.09,2202,0,0,2026-01-29 12:33:00
ABVE,2.1,2.1,2.09,2.09,216,0,0,2026-01-29 12:34:00
