Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ACEL,11.22,11.22,11.1,11.1,4734,0,0,2026-01-29 09:30:00
ACEL,11.19,11.19,11.14,11.14,522,0,0,2026-01-29 09:37:00
ACEL,11.2,11.2,11.2,11.2,200,0,0,2026-01-29 09:42:00
ACEL,11.22,11.22,11.18,11.18,2317,0,0,2026-01-29 09:44:00
ACEL,11.18,11.18,11.13,11.13,1348,0,0,2026-01-29 09:47:00
ACEL,11.12,11.12,11.12,11.12,352,0,0,2026-01-29 09:50:00
ACEL,11.13,11.16,11.13,11.16,623,0,0,2026-01-29 09:54:00
ACEL,11.15,11.17,11.15,11.17,1336,0,0,2026-01-29 10:00:00
ACEL,11.17,11.17,11.17,11.17,110,0,0,2026-01-29 10:01:00
ACEL,11.17,11.17,11.16,11.16,1151,0,0,2026-01-29 10:02:00
ACEL,11.16,11.16,11.16,11.16,222,0,0,2026-01-29 10:04:00
ACEL,11.16,11.16,11.16,11.16,302,0,0,2026-01-29 10:05:00
ACEL,11.17,11.17,11.16,11.16,393,0,0,2026-01-29 10:08:00
ACEL,11.18,11.19,11.18,11.19,902,0,0,2026-01-29 10:09:00
ACEL,11.18,11.18,11.18,11.18,1535,0,0,2026-01-29 10:10:00
ACEL,11.18,11.19,11.18,11.18,879,0,0,2026-01-29 10:11:00
ACEL,11.2,11.2,11.2,11.2,691,0,0,2026-01-29 10:14:00
ACEL,11.21,11.21,11.21,11.21,330,0,0,2026-01-29 10:15:00
ACEL,11.21,11.21,11.21,11.21,816,0,0,2026-01-29 10:19:00
ACEL,11.21,11.21,11.19,11.19,5422,0,0,2026-01-29 10:40:00
ACEL,11.19,11.19,11.19,11.19,879,11.17,11.19,2026-01-29 10:45:01
ACEL,11.18,11.18,11.18,11.18,413,0,0,2026-01-29 10:45:00
ACEL,11.18,11.19,11.18,11.19,1061,0,0,2026-01-29 10:46:00
ACEL,11.2,11.2,11.2,11.2,335,0,0,2026-01-29 10:47:00
ACEL,11.19,11.21,11.18,11.21,2897,0,0,2026-01-29 10:49:00
ACEL,11.21,11.21,11.21,11.21,937,0,0,2026-01-29 10:53:00
ACEL,11.21,11.21,11.21,11.21,1683,0,0,2026-01-29 10:54:00
ACEL,11.22,11.23,11.22,11.23,683,0,0,2026-01-29 10:55:00
ACEL,11.23,11.24,11.23,11.24,1510,0,0,2026-01-29 10:56:00
ACEL,11.23,11.23,11.21,11.21,2351,0,0,2026-01-29 11:00:00
ACEL,11.21,11.21,11.21,11.21,109,0,0,2026-01-29 11:10:00
ACEL,11.22,11.22,11.21,11.21,921,0,0,2026-01-29 11:11:00
ACEL,11.21,11.22,11.21,11.22,851,0,0,2026-01-29 11:12:00
ACEL,11.24,11.24,11.24,11.24,162,0,0,2026-01-29 11:16:00
ACEL,11.23,11.23,11.22,11.22,3443,0,0,2026-01-29 11:22:00
ACEL,11.21,11.21,11.2,11.2,953,0,0,2026-01-29 11:25:00
ACEL,11.2,11.21,11.2,11.21,596,0,0,2026-01-29 11:26:00
ACEL,11.2,11.2,11.2,11.2,475,0,0,2026-01-29 11:27:00
ACEL,11.22,11.22,11.21,11.21,1029,0,0,2026-01-29 11:32:00
ACEL,11.22,11.22,11.22,11.22,114,0,0,2026-01-29 11:38:00
ACEL,11.22,11.22,11.22,11.22,305,0,0,2026-01-29 11:39:00
ACEL,11.22,11.22,11.22,11.22,109,0,0,2026-01-29 11:40:00
ACEL,11.23,11.23,11.23,11.23,639,0,0,2026-01-29 11:41:00
ACEL,11.23,11.23,11.23,11.23,145,0,0,2026-01-29 11:43:00
ACEL,11.24,11.24,11.24,11.24,850,0,0,2026-01-29 11:46:00
ACEL,11.25,11.26,11.25,11.26,806,0,0,2026-01-29 11:47:00
ACEL,11.27,11.27,11.27,11.27,116,0,0,2026-01-29 11:48:00
ACEL,11.26,11.26,11.26,11.26,506,0,0,2026-01-29 11:49:00
ACEL,11.27,11.27,11.27,11.27,286,0,0,2026-01-29 11:57:00
ACEL,11.28,11.28,11.28,11.28,749,0,0,2026-01-29 11:58:00
ACEL,11.28,11.28,11.28,11.28,402,0,0,2026-01-29 11:59:00
ACEL,11.28,11.28,11.28,11.28,221,0,0,2026-01-29 12:03:00
ACEL,11.29,11.3,11.29,11.3,1841,0,0,2026-01-29 12:04:00
ACEL,11.31,11.31,11.31,11.31,138,0,0,2026-01-29 12:10:00
ACEL,11.31,11.31,11.31,11.31,303,0,0,2026-01-29 12:16:00
ACEL,11.31,11.32,11.31,11.32,946,0,0,2026-01-29 12:17:00
ACEL,11.32,11.32,11.3,11.3,3430,0,0,2026-01-29 12:18:00
ACEL,11.3,11.3,11.3,11.3,485,0,0,2026-01-29 12:21:00
