Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ACLS,92.03,92.03,92.03,92.03,275,91.2,94.5,2026-01-29 04:53:00
ACLS,91.96,93.21,91.96,92.61,5978,0,0,2026-01-29 09:30:00
ACLS,92.61,92.61,92.61,92.61,1141,0,0,2026-01-29 09:31:00
ACLS,92.02,92.02,92.02,92.02,330,0,0,2026-01-29 09:32:00
ACLS,93,93,92.61,93,1517,92.04,93.3,2026-01-29 09:34:00
ACLS,92.04,92.04,91.71,91.71,580,0,0,2026-01-29 09:35:00
ACLS,91.8,91.8,91.61,91.61,2647,0,0,2026-01-29 09:37:00
ACLS,92.49,92.5,92.06,92.5,734,0,0,2026-01-29 09:39:00
ACLS,92.25,92.98,92.25,92.36,2636,0,0,2026-01-29 09:40:00
ACLS,92.93,92.93,92.48,92.84,643,0,0,2026-01-29 09:41:00
ACLS,92.52,92.52,92.06,92.06,807,0,0,2026-01-29 09:42:00
ACLS,92.52,92.52,92.07,92.07,813,0,0,2026-01-29 09:43:00
ACLS,92.45,92.83,92.45,92.77,3402,0,0,2026-01-29 09:45:00
ACLS,92.07,92.07,92.07,92.07,361,0,0,2026-01-29 09:46:00
ACLS,92.15,92.15,92.09,92.1,1081,0,0,2026-01-29 09:47:00
ACLS,92.41,92.65,92.41,92.53,1559,0,0,2026-01-29 09:49:00
ACLS,92.18,92.18,92.08,92.08,1525,0,0,2026-01-29 09:50:00
ACLS,91.91,91.91,91.91,91.91,264,0,0,2026-01-29 09:51:00
ACLS,91.72,91.72,91.54,91.54,713,0,0,2026-01-29 09:53:00
ACLS,91.6,91.91,91.52,91.91,1707,0,0,2026-01-29 09:54:00
ACLS,91.84,91.84,91.84,91.84,542,0,0,2026-01-29 09:55:00
ACLS,91.76,91.76,91.76,91.76,174,0,0,2026-01-29 09:57:00
ACLS,91.6,91.6,91.19,91.19,1228,0,0,2026-01-29 09:58:00
ACLS,91.07,91.07,90.75,90.78,2471,0,0,2026-01-29 09:59:00
ACLS,90.68,90.69,90.38,90.38,1113,0,0,2026-01-29 10:00:00
ACLS,90.35,90.45,90.12,90.12,2707,0,0,2026-01-29 10:01:00
ACLS,90.28,90.33,90.12,90.33,2227,0,0,2026-01-29 10:02:00
ACLS,90.35,90.58,90.1,90.31,2779,0,0,2026-01-29 10:03:00
ACLS,90.58,90.9,90.58,90.9,2484,0,0,2026-01-29 10:04:00
ACLS,90.62,90.62,90.62,90.62,333,0,0,2026-01-29 10:05:00
ACLS,90.5,90.62,90.39,90.39,418,0,0,2026-01-29 10:06:00
ACLS,90.33,90.48,90.28,90.28,1578,0,0,2026-01-29 10:07:00
ACLS,90.26,90.3,90.26,90.28,1294,0,0,2026-01-29 10:08:00
ACLS,90.32,90.32,90.09,90.09,1707,0,0,2026-01-29 10:09:00
ACLS,90.05,90.45,90.05,90.11,1818,0,0,2026-01-29 10:10:00
ACLS,90.1,90.26,90.1,90.26,2775,0,0,2026-01-29 10:11:00
ACLS,90.12,90.12,89.71,89.94,4977,0,0,2026-01-29 10:12:00
ACLS,89.71,89.73,89.71,89.73,808,0,0,2026-01-29 10:13:00
ACLS,89.58,89.58,89.58,89.58,955,0,0,2026-01-29 10:14:00
ACLS,89.78,90.06,89.5,89.84,11812,0,0,2026-01-29 10:15:00
ACLS,89.72,90.14,89.67,90.0,2130,0,0,2026-01-29 10:16:00
ACLS,90.0,90.0,89.75,89.75,935,0,0,2026-01-29 10:17:00
ACLS,89.95,89.95,89.95,89.95,446,0,0,2026-01-29 10:18:00
ACLS,89.95,90.0,89.77,89.77,1027,0,0,2026-01-29 10:19:00
ACLS,89.74,89.82,89.64,89.64,971,0,0,2026-01-29 10:20:00
ACLS,90.19,90.25,89.88,90.03,2189,0,0,2026-01-29 10:21:00
ACLS,90.01,90.01,90.01,90.01,220,0,0,2026-01-29 10:23:00
ACLS,90.01,90.14,89.54,90.1,977,0,0,2026-01-29 10:24:00
ACLS,90.26,90.26,90.26,90.26,746,0,0,2026-01-29 10:25:00
ACLS,90.45,90.45,90.45,90.45,1146,0,0,2026-01-29 10:27:00
ACLS,90.14,90.14,90.13,90.13,610,0,0,2026-01-29 10:28:00
ACLS,90.44,90.44,90.16,90.16,575,0,0,2026-01-29 10:29:00
ACLS,90.27,90.27,90.27,90.27,2048,0,0,2026-01-29 10:30:00
ACLS,90.41,90.43,90.41,90.41,673,0,0,2026-01-29 10:31:00
ACLS,90.22,90.45,90.21,90.29,1899,0,0,2026-01-29 10:33:00
ACLS,90.51,90.51,90.39,90.39,937,0,0,2026-01-29 10:34:00
ACLS,90.25,90.25,90.1,90.19,2320,0,0,2026-01-29 10:35:00
ACLS,90.15,90.15,89.96,89.96,311,0,0,2026-01-29 10:38:00
ACLS,89.95,89.95,89.93,89.93,904,0,0,2026-01-29 10:40:00
ACLS,89.81,89.81,89.66,89.66,759,0,0,2026-01-29 10:42:00
ACLS,89.67,90.15,89.67,90.15,3777,0,0,2026-01-29 10:45:00
ACLS,90.13,90.13,90.13,90.13,301,0,0,2026-01-29 10:46:00
ACLS,90.26,90.31,90.26,90.31,477,0,0,2026-01-29 10:47:00
ACLS,90.31,90.31,90.14,90.3,2926,0,0,2026-01-29 10:48:00
ACLS,90.3,90.3,90.04,90.04,3132,0,0,2026-01-29 10:49:00
ACLS,89.88,89.88,89.85,89.85,1256,0,0,2026-01-29 10:50:00
ACLS,89.81,89.89,89.77,89.77,3192,0,0,2026-01-29 10:51:00
ACLS,89.77,89.77,89.77,89.77,435,0,0,2026-01-29 10:52:00
ACLS,89.63,89.77,89.63,89.77,1232,0,0,2026-01-29 10:53:00
ACLS,89.77,89.77,89.56,89.7,1292,0,0,2026-01-29 10:54:00
ACLS,89.74,89.94,89.74,89.83,1517,0,0,2026-01-29 10:55:00
ACLS,89.77,90.38,89.77,90.3,1799,0,0,2026-01-29 10:56:00
ACLS,90.31,90.31,90.31,90.31,342,0,0,2026-01-29 10:57:00
ACLS,90.04,90.04,89.9,89.9,1315,0,0,2026-01-29 10:58:00
ACLS,89.75,89.75,89.75,89.75,154,0,0,2026-01-29 10:59:00
