Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AEBI,13.75,13.75,13.75,13.75,2288,0,0,2026-01-29 09:30:00
AEBI,13.96,13.96,13.96,13.96,101,0,0,2026-01-29 09:40:00
AEBI,13.76,13.95,13.71,13.95,4473,0,0,2026-01-29 09:44:00
AEBI,13.99,13.99,13.99,13.99,115,0,0,2026-01-29 09:45:00
AEBI,13.72,13.75,13.67,13.67,1738,0,0,2026-01-29 09:46:00
AEBI,13.54,13.66,13.54,13.64,421,0,0,2026-01-29 09:47:00
AEBI,13.65,13.65,13.64,13.64,203,0,0,2026-01-29 09:48:00
AEBI,13.66,13.66,13.6,13.66,305,0,0,2026-01-29 09:49:00
AEBI,13.52,13.52,13.52,13.52,102,0,0,2026-01-29 09:50:00
AEBI,13.52,13.52,13.52,13.52,202,0,0,2026-01-29 09:52:00
AEBI,13.65,13.65,13.65,13.65,277,0,0,2026-01-29 09:53:00
AEBI,13.65,13.65,13.65,13.65,151,0,0,2026-01-29 09:54:00
AEBI,13.65,13.65,13.65,13.65,102,0,0,2026-01-29 09:55:00
AEBI,13.65,13.65,13.59,13.59,202,0,0,2026-01-29 09:56:00
AEBI,13.65,13.65,13.65,13.65,101,0,0,2026-01-29 09:57:00
AEBI,13.65,13.65,13.65,13.65,202,0,0,2026-01-29 09:58:00
AEBI,13.52,13.52,13.52,13.52,129,0,0,2026-01-29 10:00:00
AEBI,13.52,13.52,13.52,13.52,128,0,0,2026-01-29 10:01:00
AEBI,13.64,13.64,13.52,13.52,260,0,0,2026-01-29 10:02:00
AEBI,13.52,13.53,13.52,13.53,684,0,0,2026-01-29 10:03:00
AEBI,13.51,13.63,13.51,13.63,1308,0,0,2026-01-29 10:04:00
AEBI,13.53,13.62,13.53,13.62,460,13.53,13.72,2026-01-29 10:06:00
AEBI,13.53,13.53,13.53,13.53,100,0,0,2026-01-29 10:06:00
AEBI,13.53,13.53,13.53,13.53,130,0,0,2026-01-29 10:07:00
AEBI,13.53,13.53,13.53,13.53,100,0,0,2026-01-29 10:08:00
AEBI,13.53,13.54,13.53,13.54,200,0,0,2026-01-29 10:09:00
AEBI,13.53,13.53,13.53,13.53,215,0,0,2026-01-29 10:10:00
AEBI,13.53,13.53,13.53,13.53,115,0,0,2026-01-29 10:11:00
AEBI,13.62,13.67,13.53,13.53,315,0,0,2026-01-29 10:12:00
AEBI,13.53,13.53,13.53,13.53,100,0,0,2026-01-29 10:13:00
AEBI,13.68,13.68,13.61,13.61,584,0,0,2026-01-29 10:15:00
AEBI,13.6,13.6,13.6,13.6,100,0,0,2026-01-29 10:16:00
AEBI,13.6,13.6,13.54,13.54,200,0,0,2026-01-29 10:18:00
AEBI,13.6,13.66,13.6,13.66,200,0,0,2026-01-29 10:19:00
AEBI,13.6,13.6,13.6,13.6,103,0,0,2026-01-29 10:20:00
AEBI,13.65,13.7,13.65,13.7,1249,0,0,2026-01-29 10:21:00
AEBI,13.71,13.71,13.71,13.71,474,0,0,2026-01-29 10:22:00
AEBI,13.67,13.67,13.61,13.61,488,0,0,2026-01-29 10:24:00
AEBI,13.61,13.61,13.61,13.61,215,0,0,2026-01-29 10:26:00
AEBI,13.69,13.69,13.68,13.68,246,0,0,2026-01-29 10:27:00
AEBI,13.61,13.61,13.61,13.61,100,0,0,2026-01-29 10:28:00
AEBI,13.59,13.59,13.59,13.59,203,0,0,2026-01-29 10:30:00
AEBI,13.59,13.61,13.55,13.55,480,0,0,2026-01-29 10:32:00
AEBI,13.57,13.57,13.57,13.57,224,0,0,2026-01-29 10:34:00
AEBI,13.61,13.61,13.51,13.61,1636,0,0,2026-01-29 10:35:00
AEBI,13.61,13.61,13.61,13.61,165,0,0,2026-01-29 10:36:00
AEBI,13.61,13.61,13.61,13.61,100,0,0,2026-01-29 10:37:00
AEBI,13.61,13.64,13.61,13.64,200,0,0,2026-01-29 10:38:00
AEBI,13.57,13.58,13.57,13.58,200,0,0,2026-01-29 10:39:00
