Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AEO,23.09,23.1,23.09,23.1,1390,22.98,23.39,2026-01-29 04:22:00
AEO,23.15,23.18,23.15,23.18,21286,0,0,2026-01-29 09:30:00
AEO,23.19,23.19,23.17,23.17,3776,0,0,2026-01-29 09:31:00
AEO,23.22,23.25,23.05,23.05,8455,0,0,2026-01-29 09:32:00
AEO,23,23.05,23,23.05,1857,22.98,23.08,2026-01-29 09:34:00
AEO,23.01,23.18,23.01,23.18,10356,0,0,2026-01-29 09:34:00
AEO,23.23,23.26,23.17,23.26,3420,0,0,2026-01-29 09:35:00
AEO,23.26,23.32,23.2,23.22,6079,0,0,2026-01-29 09:36:00
AEO,23.23,23.3,23.23,23.3,5138,0,0,2026-01-29 09:37:00
AEO,23.27,23.3,23.22,23.29,14077,0,0,2026-01-29 09:38:00
AEO,23.31,23.35,23.29,23.32,13116,0,0,2026-01-29 09:39:00
AEO,23.32,23.32,23.3,23.3,5732,0,0,2026-01-29 09:40:00
AEO,23.29,23.29,23.26,23.27,6072,0,0,2026-01-29 09:41:00
AEO,23.24,23.25,23.22,23.23,3856,0,0,2026-01-29 09:42:00
AEO,23.21,23.29,23.17,23.18,25560,0,0,2026-01-29 09:43:00
AEO,23.19,23.19,23.16,23.17,4335,0,0,2026-01-29 09:44:00
AEO,23.19,23.19,23.16,23.18,4707,0,0,2026-01-29 09:45:00
AEO,23.2,23.2,23.13,23.13,5514,0,0,2026-01-29 09:46:00
AEO,23.13,23.14,23.1,23.1,5279,0,0,2026-01-29 09:47:00
AEO,23.12,23.13,23.09,23.11,4559,0,0,2026-01-29 09:48:00
AEO,23.14,23.14,23.11,23.11,5573,0,0,2026-01-29 09:49:00
AEO,23.13,23.16,23.13,23.15,3445,0,0,2026-01-29 09:50:00
AEO,23.15,23.15,23.11,23.11,2647,0,0,2026-01-29 09:51:00
AEO,23.12,23.13,23.12,23.12,3783,0,0,2026-01-29 09:52:00
AEO,23.15,23.18,23.15,23.15,4234,0,0,2026-01-29 09:53:00
