Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AES,15.27,15.27,15.27,15.27,800,0,0,2026-01-29 08:10:00
AES,15.27,15.27,15.27,15.27,300,0,0,2026-01-29 08:14:00
AES,15.26,15.26,15.26,15.26,100,0,0,2026-01-29 08:27:00
AES,15.25,15.25,15.25,15.25,100,0,0,2026-01-29 08:31:00
AES,15.27,15.27,15.27,15.27,279,0,0,2026-01-29 08:32:00
AES,15.27,15.27,15.27,15.27,555,0,0,2026-01-29 08:37:00
AES,15.27,15.27,15.27,15.27,1710,0,0,2026-01-29 08:41:00
AES,15.28,15.28,15.28,15.28,191,0,0,2026-01-29 08:42:00
AES,15.28,15.28,15.28,15.28,5000,0,0,2026-01-29 08:46:00
AES,15.28,15.3,15.28,15.3,4559,15.31,15.35,2026-01-29 08:48:00
AES,15.31,15.31,15.28,15.28,937,0,0,2026-01-29 08:50:00
AES,15.3,15.3,15.3,15.3,231,15.27,15.3,2026-01-29 08:53:00
AES,15.29,15.29,15.29,15.29,183,15.28,15.3,2026-01-29 09:01:00
AES,15.3,15.3,15.3,15.3,203,0,0,2026-01-29 09:01:00
AES,15.29,15.29,15.29,15.29,134,0,0,2026-01-29 09:04:00
AES,15.3,15.3,15.3,15.3,905,15.28,15.3,2026-01-29 09:06:00
AES,15.3,15.3,15.3,15.3,1766,0,0,2026-01-29 09:06:00
AES,15.3,15.3,15.3,15.3,100,0,0,2026-01-29 09:10:00
AES,15.3,15.3,15.28,15.28,2100,0,0,2026-01-29 09:11:00
AES,15.3,15.3,15.3,15.3,357,0,0,2026-01-29 09:12:00
AES,15.29,15.29,15.29,15.29,315,0,0,2026-01-29 09:17:00
AES,15.3,15.3,15.3,15.3,100,0,0,2026-01-29 09:19:00
AES,15.28,15.29,15.27,15.27,1251,0,0,2026-01-29 09:20:00
AES,15.26,15.26,15.25,15.25,1512,0,0,2026-01-29 09:27:00
AES,15.25,15.25,15.22,15.25,4584,0,0,2026-01-29 09:28:00
AES,15.2,15.22,15.2,15.21,4435,15.22,15.25,2026-01-29 09:30:01
AES,15.2,15.33,15.2,15.29,186658,0,0,2026-01-29 09:30:00
AES,15.28,15.35,15.26,15.34,19257,0,0,2026-01-29 09:31:00
AES,15.33,15.33,15.3,15.31,16565,15.29,15.32,2026-01-29 09:33:00
AES,15.3,15.32,15.23,15.27,24359,15.25,15.27,2026-01-29 09:34:00
AES,15.27,15.3,15.23,15.3,27771,0,0,2026-01-29 09:34:00
AES,15.3,15.31,15.27,15.29,38496,0,0,2026-01-29 09:35:00
AES,15.29,15.3,15.25,15.26,37332,0,0,2026-01-29 09:36:00
AES,15.26,15.27,15.22,15.25,20079,0,0,2026-01-29 09:37:00
AES,15.26,15.28,15.25,15.27,27623,0,0,2026-01-29 09:38:00
AES,15.26,15.3,15.26,15.26,27400,0,0,2026-01-29 09:39:00
AES,15.26,15.29,15.25,15.29,20020,0,0,2026-01-29 09:40:00
AES,15.29,15.31,15.27,15.28,53139,0,0,2026-01-29 09:41:00
AES,15.27,15.27,15.24,15.24,17779,0,0,2026-01-29 09:42:00
AES,15.25,15.26,15.23,15.23,20894,0,0,2026-01-29 09:43:00
AES,15.23,15.25,15.22,15.24,56347,0,0,2026-01-29 09:44:00
AES,15.24,15.27,15.19,15.26,419590,0,0,2026-01-29 09:45:00
AES,15.26,15.28,15.23,15.24,53985,0,0,2026-01-29 09:46:00
AES,15.24,15.25,15.21,15.21,29617,0,0,2026-01-29 09:47:00
AES,15.21,15.29,15.21,15.29,39735,0,0,2026-01-29 09:48:00
AES,15.29,15.31,15.29,15.3,25221,0,0,2026-01-29 09:49:00
AES,15.29,15.3,15.27,15.28,15994,0,0,2026-01-29 09:50:00
AES,15.28,15.29,15.25,15.26,9905,0,0,2026-01-29 09:51:00
AES,15.26,15.27,15.25,15.27,8823,0,0,2026-01-29 09:52:00
AES,15.26,15.26,15.22,15.23,15042,0,0,2026-01-29 09:53:00
AES,15.22,15.23,15.2,15.22,28373,0,0,2026-01-29 09:54:00
AES,15.22,15.23,15.22,15.23,9475,0,0,2026-01-29 09:55:00
AES,15.23,15.23,15.21,15.22,41315,0,0,2026-01-29 09:56:00
AES,15.22,15.23,15.2,15.21,39005,0,0,2026-01-29 09:57:00
AES,15.21,15.23,15.21,15.23,30741,0,0,2026-01-29 09:58:00
AES,15.23,15.24,15.19,15.19,62676,0,0,2026-01-29 09:59:00
AES,15.19,15.19,15.13,15.13,32759,0,0,2026-01-29 10:00:00
AES,15.13,15.14,15.07,15.07,50493,0,0,2026-01-29 10:01:00
AES,15.07,15.11,15.06,15.06,53125,0,0,2026-01-29 10:02:00
AES,15.06,15.07,15.05,15.06,22520,0,0,2026-01-29 10:03:00
AES,15.06,15.07,15.06,15.06,20929,0,0,2026-01-29 10:04:00
AES,15.07,15.09,15.04,15.05,35530,0,0,2026-01-29 10:05:00
AES,15.05,15.05,15.02,15.02,9423,0,0,2026-01-29 10:06:00
AES,15.02,15.04,15.01,15.04,30037,0,0,2026-01-29 10:07:00
