Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AFCG,2.46,2.46,2.46,2.46,1241,0,0,2026-01-29 09:30:00
AFCG,2.45,2.45,2.45,2.45,4769,0,0,2026-01-29 09:33:00
AFCG,2.46,2.46,2.45,2.45,1765,0,0,2026-01-29 09:34:00
AFCG,2.45,2.45,2.42,2.42,51143,2.41,2.42,2026-01-29 09:36:00
AFCG,2.42,2.42,2.42,2.42,2308,0,0,2026-01-29 09:38:00
AFCG,2.43,2.43,2.43,2.43,467,0,0,2026-01-29 09:40:00
AFCG,2.44,2.44,2.44,2.44,112,0,0,2026-01-29 09:42:00
AFCG,2.44,2.44,2.44,2.44,655,0,0,2026-01-29 09:43:00
AFCG,2.44,2.44,2.44,2.44,122,0,0,2026-01-29 09:44:00
AFCG,2.43,2.43,2.43,2.43,227,0,0,2026-01-29 09:50:00
AFCG,2.44,2.44,2.4,2.4,4572,0,0,2026-01-29 09:51:00
AFCG,2.41,2.41,2.41,2.41,571,0,0,2026-01-29 09:52:00
AFCG,2.4,2.44,2.4,2.43,10583,0,0,2026-01-29 09:53:00
AFCG,2.42,2.42,2.41,2.41,924,0,0,2026-01-29 09:54:00
AFCG,2.42,2.42,2.41,2.41,958,0,0,2026-01-29 10:01:00
AFCG,2.4,2.4,2.39,2.4,10234,0,0,2026-01-29 10:02:00
AFCG,2.4,2.4,2.4,2.4,545,0,0,2026-01-29 10:05:00
AFCG,2.4,2.4,2.4,2.4,447,0,0,2026-01-29 10:06:00
AFCG,2.4,2.4,2.4,2.4,1099,0,0,2026-01-29 10:11:00
AFCG,2.39,2.39,2.39,2.39,1060,0,0,2026-01-29 10:19:00
AFCG,2.4,2.4,2.4,2.4,301,0,0,2026-01-29 10:20:00
AFCG,2.4,2.4,2.39,2.39,1800,0,0,2026-01-29 10:22:00
AFCG,2.4,2.4,2.4,2.4,511,0,0,2026-01-29 10:23:00
