Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AGIG,3.55,3.55,3.55,3.55,500,0,0,2026-01-29 08:15:00
AGIG,3.6,3.6,3.59,3.59,10440,0,0,2026-01-29 08:18:00
AGIG,3.6,3.6,3.6,3.6,1114,0,0,2026-01-29 08:19:00
AGIG,3.6,3.6,3.59,3.6,939,0,0,2026-01-29 08:20:00
AGIG,3.6,3.6,3.6,3.6,101,0,0,2026-01-29 08:22:00
AGIG,3.6,3.6,3.6,3.6,100,0,0,2026-01-29 08:31:00
AGIG,3.6,3.6,3.6,3.6,250,0,0,2026-01-29 08:36:00
AGIG,3.6,3.6,3.6,3.6,3537,3.58,3.64,2026-01-29 08:41:00
AGIG,3.6,3.6,3.6,3.6,300,3.58,3.64,2026-01-29 08:42:00
AGIG,3.61,3.61,3.6,3.6,600,3.56,3.64,2026-01-29 08:46:00
AGIG,3.6,3.6,3.6,3.6,200,0,0,2026-01-29 08:51:00
AGIG,3.56,3.56,3.56,3.56,2207,3.56,3.64,2026-01-29 08:55:00
AGIG,3.64,3.64,3.62,3.62,225,0,0,2026-01-29 08:55:00
AGIG,3.6,3.6,3.6,3.6,200,0,0,2026-01-29 08:56:00
AGIG,3.63,3.63,3.63,3.63,145,0,0,2026-01-29 08:59:00
AGIG,3.64,3.64,3.64,3.64,100,3.6,3.64,2026-01-29 09:01:00
AGIG,3.61,3.61,3.61,3.61,200,0,0,2026-01-29 09:02:00
AGIG,3.6,3.6,3.6,3.6,304,0,0,2026-01-29 09:03:00
AGIG,3.64,3.64,3.64,3.64,650,0,0,2026-01-29 09:06:00
AGIG,3.64,3.64,3.64,3.64,1350,0,0,2026-01-29 09:09:00
AGIG,3.64,3.64,3.64,3.64,1000,0,0,2026-01-29 09:16:00
AGIG,3.66,3.66,3.66,3.66,206,0,0,2026-01-29 09:17:00
AGIG,3.65,3.65,3.64,3.64,419,0,0,2026-01-29 09:19:00
AGIG,3.69,3.69,3.69,3.69,830,0,0,2026-01-29 09:20:00
AGIG,3.69,3.69,3.69,3.69,400,0,0,2026-01-29 09:22:00
AGIG,3.66,3.66,3.66,3.66,100,3.64,3.7,2026-01-29 09:24:00
AGIG,3.69,3.7,3.69,3.69,4330,0,0,2026-01-29 09:24:00
AGIG,3.69,3.7,3.68,3.7,2022,0,0,2026-01-29 09:25:00
AGIG,3.72,3.73,3.71,3.73,2224,0,0,2026-01-29 09:26:00
AGIG,3.75,3.84,3.73,3.8,27735,0,0,2026-01-29 09:30:00
AGIG,3.84,3.89,3.77,3.89,19613,0,0,2026-01-29 09:31:00
AGIG,3.89,3.89,3.81,3.89,7013,3.8,3.89,2026-01-29 09:33:00
AGIG,3.88,3.88,3.78,3.83,14056,0,0,2026-01-29 09:33:00
AGIG,3.81,3.85,3.77,3.84,11145,0,0,2026-01-29 09:34:00
AGIG,3.79,3.81,3.72,3.76,7762,3.73,3.79,2026-01-29 09:36:00
AGIG,3.73,3.73,3.61,3.62,8141,0,0,2026-01-29 09:36:00
AGIG,3.61,3.8,3.61,3.78,37956,0,0,2026-01-29 09:37:00
AGIG,3.75,3.8,3.75,3.8,6811,0,0,2026-01-29 09:38:00
AGIG,3.79,3.94,3.76,3.94,118957,0,0,2026-01-29 09:39:00
AGIG,3.94,3.97,3.86,3.94,12687,0,0,2026-01-29 09:40:00
AGIG,3.95,3.97,3.88,3.89,23388,0,0,2026-01-29 09:41:00
AGIG,3.88,3.89,3.67,3.76,15675,0,0,2026-01-29 09:42:00
AGIG,3.78,3.86,3.77,3.86,5514,0,0,2026-01-29 09:43:00
AGIG,3.85,3.85,3.77,3.77,301,0,0,2026-01-29 09:44:00
AGIG,3.78,3.78,3.75,3.75,1516,0,0,2026-01-29 09:45:00
AGIG,3.78,3.79,3.71,3.72,1718,0,0,2026-01-29 09:46:00
AGIG,3.72,3.78,3.72,3.78,3875,0,0,2026-01-29 09:47:00
AGIG,3.74,3.78,3.67,3.77,30488,0,0,2026-01-29 09:48:00
AGIG,3.74,3.78,3.71,3.78,3999,0,0,2026-01-29 09:49:00
AGIG,3.77,3.85,3.73,3.79,9007,0,0,2026-01-29 09:50:00
AGIG,3.79,3.79,3.75,3.75,1056,0,0,2026-01-29 09:51:00
AGIG,3.79,3.79,3.76,3.77,5496,0,0,2026-01-29 09:52:00
AGIG,3.79,3.81,3.79,3.81,1629,0,0,2026-01-29 09:53:00
AGIG,3.81,3.85,3.79,3.85,12359,0,0,2026-01-29 09:54:00
AGIG,3.84,3.85,3.82,3.82,4521,0,0,2026-01-29 09:55:00
AGIG,3.81,3.81,3.77,3.77,873,0,0,2026-01-29 09:56:00
AGIG,3.81,3.81,3.78,3.79,5613,0,0,2026-01-29 09:57:00
AGIG,3.78,3.78,3.73,3.73,1660,0,0,2026-01-29 09:58:00
AGIG,3.76,3.76,3.71,3.73,7909,0,0,2026-01-29 09:59:00
AGIG,3.75,3.75,3.73,3.73,6073,0,0,2026-01-29 10:00:00
AGIG,3.75,3.75,3.71,3.71,6778,0,0,2026-01-29 10:01:00
AGIG,3.76,3.81,3.76,3.81,7859,0,0,2026-01-29 10:02:00
AGIG,3.77,3.8,3.74,3.75,3251,0,0,2026-01-29 10:03:00
AGIG,3.74,3.76,3.73,3.73,8359,0,0,2026-01-29 10:04:00
AGIG,3.77,3.77,3.72,3.74,2550,0,0,2026-01-29 10:05:00
AGIG,3.73,3.75,3.73,3.74,17686,0,0,2026-01-29 10:06:00
AGIG,3.75,3.76,3.67,3.67,31961,0,0,2026-01-29 10:07:00
AGIG,3.68,3.68,3.56,3.57,22826,0,0,2026-01-29 10:08:00
AGIG,3.57,3.57,3.55,3.57,10075,0,0,2026-01-29 10:09:00
AGIG,3.59,3.67,3.59,3.64,7097,0,0,2026-01-29 10:10:00
AGIG,3.64,3.67,3.63,3.63,4665,0,0,2026-01-29 10:11:00
AGIG,3.63,3.63,3.6,3.62,3406,0,0,2026-01-29 10:12:00
AGIG,3.6,3.6,3.58,3.59,3826,0,0,2026-01-29 10:13:00
AGIG,3.58,3.63,3.57,3.6,8206,0,0,2026-01-29 10:14:00
AGIG,3.6,3.65,3.6,3.64,4197,0,0,2026-01-29 10:15:00
AGIG,3.63,3.65,3.62,3.63,5181,0,0,2026-01-29 10:16:00
AGIG,3.62,3.62,3.59,3.6,11531,0,0,2026-01-29 10:17:00
AGIG,3.57,3.62,3.57,3.61,1776,0,0,2026-01-29 10:18:00
AGIG,3.6,3.6,3.59,3.6,4078,0,0,2026-01-29 10:19:00
AGIG,3.6,3.61,3.58,3.58,7353,0,0,2026-01-29 10:20:00
AGIG,3.61,3.62,3.6,3.6,1558,0,0,2026-01-29 10:21:00
AGIG,3.62,3.63,3.62,3.63,2058,0,0,2026-01-29 10:22:00
AGIG,3.61,3.62,3.6,3.6,3153,0,0,2026-01-29 10:23:00
AGIG,3.58,3.58,3.48,3.5,26695,0,0,2026-01-29 10:24:00
AGIG,3.53,3.53,3.38,3.38,45651,0,0,2026-01-29 10:25:00
AGIG,3.35,3.39,3.34,3.35,64618,0,0,2026-01-29 10:26:00
AGIG,3.31,3.35,3.31,3.34,7219,0,0,2026-01-29 10:27:00
AGIG,3.34,3.45,3.33,3.44,153156,0,0,2026-01-29 10:28:00
AGIG,3.46,3.46,3.36,3.36,10560,0,0,2026-01-29 10:29:00
AGIG,3.36,3.41,3.35,3.38,12314,0,0,2026-01-29 10:30:00
AGIG,3.4,3.4,3.36,3.36,668,0,0,2026-01-29 10:31:00
AGIG,3.38,3.42,3.38,3.4,5440,0,0,2026-01-29 10:32:00
AGIG,3.4,3.4,3.39,3.4,2668,0,0,2026-01-29 10:33:00
AGIG,3.41,3.41,3.37,3.4,9018,0,0,2026-01-29 10:34:00
