Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AHH,6.84,6.84,6.84,6.84,6830,0,0,2026-01-29 09:30:00
AHH,6.83,6.83,6.81,6.82,1841,0,0,2026-01-29 09:32:00
AHH,6.8,6.8,6.8,6.8,6761,6.8,6.82,2026-01-29 09:34:00
AHH,6.81,6.81,6.81,6.81,1106,0,0,2026-01-29 09:34:00
AHH,6.82,6.84,6.82,6.84,1279,0,0,2026-01-29 09:35:00
AHH,6.87,6.87,6.87,6.87,410,0,0,2026-01-29 09:36:00
AHH,6.87,6.87,6.87,6.87,2627,0,0,2026-01-29 09:37:00
AHH,6.88,6.88,6.88,6.88,1017,0,0,2026-01-29 09:38:00
AHH,6.89,6.91,6.89,6.91,1462,0,0,2026-01-29 09:39:00
AHH,6.89,6.91,6.89,6.91,424,0,0,2026-01-29 09:40:00
AHH,6.89,6.89,6.88,6.88,624,0,0,2026-01-29 09:41:00
AHH,6.88,6.88,6.87,6.88,8862,0,0,2026-01-29 09:42:00
AHH,6.87,6.89,6.87,6.88,10043,0,0,2026-01-29 09:43:00
AHH,6.88,6.88,6.88,6.88,3037,0,0,2026-01-29 09:44:00
AHH,6.88,6.88,6.87,6.87,2771,0,0,2026-01-29 09:45:00
AHH,6.87,6.88,6.87,6.88,1355,0,0,2026-01-29 09:46:00
AHH,6.87,6.87,6.86,6.86,780,0,0,2026-01-29 09:47:00
AHH,6.87,6.87,6.86,6.86,533,0,0,2026-01-29 09:48:00
AHH,6.87,6.87,6.87,6.87,1090,6.86,6.88,2026-01-29 09:50:00
AHH,6.87,6.87,6.87,6.87,593,0,0,2026-01-29 09:50:00
AHH,6.88,6.88,6.86,6.86,1000,0,0,2026-01-29 09:51:00
AHH,6.86,6.86,6.86,6.86,866,0,0,2026-01-29 09:52:00
AHH,6.86,6.87,6.86,6.87,1191,0,0,2026-01-29 09:53:00
AHH,6.87,6.87,6.87,6.87,726,0,0,2026-01-29 09:54:00
AHH,6.88,6.88,6.88,6.88,3707,0,0,2026-01-29 09:55:00
AHH,6.88,6.88,6.87,6.87,676,0,0,2026-01-29 09:56:00
AHH,6.88,6.88,6.88,6.88,373,0,0,2026-01-29 09:57:00
AHH,6.88,6.88,6.88,6.88,414,0,0,2026-01-29 09:58:00
AHH,6.88,6.88,6.88,6.88,3886,0,0,2026-01-29 09:59:00
AHH,6.88,6.88,6.88,6.88,957,0,0,2026-01-29 10:00:00
AHH,6.88,6.88,6.88,6.88,1170,0,0,2026-01-29 10:01:00
AHH,6.88,6.88,6.87,6.87,2850,0,0,2026-01-29 10:02:00
AHH,6.87,6.87,6.86,6.87,971,0,0,2026-01-29 10:03:00
AHH,6.86,6.86,6.85,6.85,3698,0,0,2026-01-29 10:04:00
AHH,6.84,6.84,6.84,6.84,301,0,0,2026-01-29 10:05:00
AHH,6.84,6.84,6.84,6.84,867,0,0,2026-01-29 10:06:00
