Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AHT,3.93,3.93,3.93,3.93,595,0,0,2026-01-29 09:30:00
AHT,3.94,3.94,3.94,3.94,101,3.93,4.17,2026-01-29 09:33:00
AHT,3.94,3.94,3.94,3.94,225,0,0,2026-01-29 09:35:00
AHT,3.93,3.93,3.9,3.9,921,0,0,2026-01-29 09:47:00
AHT,3.89,3.89,3.89,3.89,5619,0,0,2026-01-29 09:49:00
AHT,3.84,3.84,3.84,3.84,156,0,0,2026-01-29 09:51:00
AHT,3.89,3.9,3.89,3.9,465,0,0,2026-01-29 09:53:00
AHT,3.9,3.9,3.9,3.9,100,0,0,2026-01-29 10:01:00
AHT,3.9,3.9,3.9,3.9,700,0,0,2026-01-29 10:02:00
AHT,3.86,3.86,3.86,3.86,112,0,0,2026-01-29 10:32:00
AHT,3.84,3.9,3.84,3.9,5000,0,0,2026-01-29 10:39:00
AHT,3.9,3.9,3.9,3.9,100,0,0,2026-01-29 10:43:00
AHT,3.92,3.92,3.92,3.92,121,0,0,2026-01-29 11:13:00
AHT,3.9,3.9,3.89,3.89,200,0,0,2026-01-29 11:14:00
AHT,3.93,3.93,3.93,3.93,100,0,0,2026-01-29 11:15:00
AHT,3.86,3.86,3.86,3.86,503,0,0,2026-01-29 11:26:00
AHT,3.92,3.92,3.92,3.92,2108,0,0,2026-01-29 12:32:00
