Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AIOT,5.26,5.26,5.26,5.26,754,0,0,2026-01-29 08:20:00
AIOT,5.28,5.38,5.27,5.28,6413,0,0,2026-01-29 09:30:00
AIOT,5.26,5.26,5.24,5.25,9952,0,0,2026-01-29 09:31:00
AIOT,5.22,5.24,5.21,5.24,1984,0,0,2026-01-29 09:32:00
AIOT,5.21,5.22,5.18,5.19,9086,5.18,5.2,2026-01-29 09:34:00
AIOT,5.18,5.18,5.18,5.18,110,0,0,2026-01-29 09:34:00
AIOT,5.18,5.18,5.18,5.18,577,0,0,2026-01-29 09:35:00
AIOT,5.16,5.16,5.16,5.16,465,0,0,2026-01-29 09:36:00
AIOT,5.17,5.19,5.17,5.19,1037,0,0,2026-01-29 09:37:00
AIOT,5.2,5.2,5.2,5.2,412,0,0,2026-01-29 09:38:00
AIOT,5.22,5.24,5.22,5.24,1060,0,0,2026-01-29 09:40:00
AIOT,5.24,5.24,5.24,5.24,101,0,0,2026-01-29 09:42:00
AIOT,5.21,5.21,5.2,5.2,8953,0,0,2026-01-29 09:43:00
AIOT,5.21,5.21,5.19,5.19,1877,0,0,2026-01-29 09:45:00
AIOT,5.18,5.2,5.17,5.2,7501,0,0,2026-01-29 09:46:00
AIOT,5.2,5.2,5.2,5.2,231,0,0,2026-01-29 09:47:00
AIOT,5.21,5.21,5.21,5.21,853,0,0,2026-01-29 09:50:00
AIOT,5.21,5.21,5.21,5.21,755,0,0,2026-01-29 09:51:00
AIOT,5.21,5.21,5.21,5.21,949,0,0,2026-01-29 09:53:00
AIOT,5.22,5.22,5.22,5.22,940,0,0,2026-01-29 09:54:00
AIOT,5.21,5.21,5.21,5.21,372,0,0,2026-01-29 09:55:00
AIOT,5.2,5.2,5.2,5.2,807,0,0,2026-01-29 09:56:00
AIOT,5.19,5.19,5.19,5.19,229,0,0,2026-01-29 09:57:00
AIOT,5.19,5.19,5.19,5.19,239,0,0,2026-01-29 09:58:00
AIOT,5.18,5.18,5.16,5.16,4675,0,0,2026-01-29 09:59:00
AIOT,5.15,5.16,5.14,5.14,7656,0,0,2026-01-29 10:00:00
AIOT,5.14,5.14,5.13,5.14,2071,0,0,2026-01-29 10:01:00
AIOT,5.13,5.16,5.13,5.16,2142,0,0,2026-01-29 10:02:00
AIOT,5.15,5.15,5.15,5.15,615,0,0,2026-01-29 10:03:00
AIOT,5.15,5.15,5.14,5.14,4946,0,0,2026-01-29 10:04:00
AIOT,5.14,5.14,5.14,5.14,7912,0,0,2026-01-29 10:05:00
AIOT,5.14,5.14,5.13,5.13,1900,0,0,2026-01-29 10:06:00
AIOT,5.14,5.14,5.13,5.13,1152,0,0,2026-01-29 10:07:00
AIOT,5.13,5.13,5.13,5.13,820,0,0,2026-01-29 10:08:00
AIOT,5.13,5.13,5.13,5.13,1011,0,0,2026-01-29 10:09:00
AIOT,5.13,5.13,5.12,5.13,14424,0,0,2026-01-29 10:10:00
AIOT,5.14,5.15,5.14,5.15,2959,0,0,2026-01-29 10:11:00
AIOT,5.14,5.14,5.13,5.13,5062,0,0,2026-01-29 10:12:00
AIOT,5.13,5.13,5.12,5.12,1099,0,0,2026-01-29 10:13:00
AIOT,5.12,5.13,5.12,5.13,9432,0,0,2026-01-29 10:14:00
AIOT,5.13,5.13,5.13,5.13,372,0,0,2026-01-29 10:15:00
AIOT,5.13,5.13,5.13,5.13,4142,0,0,2026-01-29 10:16:00
AIOT,5.13,5.15,5.13,5.15,1972,0,0,2026-01-29 10:18:00
AIOT,5.15,5.15,5.14,5.14,11038,0,0,2026-01-29 10:19:00
AIOT,5.13,5.15,5.13,5.15,1407,0,0,2026-01-29 10:20:00
AIOT,5.15,5.16,5.15,5.16,594,0,0,2026-01-29 10:21:00
AIOT,5.16,5.16,5.16,5.16,4235,0,0,2026-01-29 10:22:00
AIOT,5.17,5.17,5.17,5.17,1813,0,0,2026-01-29 10:23:00
AIOT,5.17,5.17,5.17,5.17,1142,0,0,2026-01-29 10:24:00
AIOT,5.18,5.18,5.18,5.18,1461,0,0,2026-01-29 10:26:00
AIOT,5.17,5.18,5.17,5.18,1209,0,0,2026-01-29 10:27:00
AIOT,5.18,5.18,5.18,5.18,725,0,0,2026-01-29 10:28:00
AIOT,5.18,5.18,5.18,5.18,1221,0,0,2026-01-29 10:29:00
AIOT,5.19,5.19,5.19,5.19,323,0,0,2026-01-29 10:30:00
AIOT,5.18,5.18,5.18,5.18,283,0,0,2026-01-29 10:31:00
AIOT,5.18,5.18,5.18,5.18,610,0,0,2026-01-29 10:32:00
AIOT,5.18,5.18,5.16,5.16,2206,0,0,2026-01-29 10:33:00
AIOT,5.16,5.16,5.16,5.16,627,0,0,2026-01-29 10:34:00
AIOT,5.15,5.15,5.13,5.13,12587,0,0,2026-01-29 10:35:00
AIOT,5.13,5.13,5.13,5.13,1847,0,0,2026-01-29 10:36:00
AIOT,5.13,5.13,5.13,5.13,337,0,0,2026-01-29 10:37:00
AIOT,5.13,5.13,5.11,5.12,10351,0,0,2026-01-29 10:38:00
AIOT,5.12,5.12,5.12,5.12,3061,0,0,2026-01-29 10:39:00
AIOT,5.11,5.11,5.11,5.11,5375,0,0,2026-01-29 10:40:00
AIOT,5.11,5.11,5.11,5.11,1800,0,0,2026-01-29 10:41:00
AIOT,5.1,5.1,5.09,5.1,7960,0,0,2026-01-29 10:43:00
AIOT,5.09,5.09,5.09,5.09,969,5.09,5.1,2026-01-29 10:45:00
AIOT,5.09,5.09,5.08,5.08,3650,0,0,2026-01-29 10:45:00
AIOT,5.08,5.08,5.07,5.08,8042,0,0,2026-01-29 10:46:00
AIOT,5.08,5.11,5.08,5.11,4370,0,0,2026-01-29 10:47:00
AIOT,5.1,5.11,5.1,5.11,1009,0,0,2026-01-29 10:48:00
AIOT,5.11,5.12,5.1,5.11,15983,0,0,2026-01-29 10:49:00
AIOT,5.11,5.11,5.11,5.11,1211,0,0,2026-01-29 10:50:00
AIOT,5.11,5.11,5.11,5.11,696,0,0,2026-01-29 10:51:00
AIOT,5.1,5.1,5.09,5.09,1342,0,0,2026-01-29 10:52:00
AIOT,5.09,5.09,5.09,5.09,451,0,0,2026-01-29 10:53:00
AIOT,5.09,5.09,5.09,5.09,1160,0,0,2026-01-29 10:55:00
AIOT,5.1,5.11,5.1,5.11,18974,0,0,2026-01-29 10:56:00
