Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AIRO,11.36,11.36,11.36,11.36,100,0,0,2026-01-29 08:14:00
AIRO,11.37,11.37,11.37,11.37,100,0,0,2026-01-29 09:01:00
AIRO,11.45,11.45,11.45,11.45,151,0,0,2026-01-29 09:12:00
AIRO,11.37,11.37,11.37,11.37,101,0,0,2026-01-29 09:19:00
AIRO,11.42,11.42,11.06,11.06,17217,0,0,2026-01-29 09:30:00
AIRO,11.06,11.1,10.87,11.06,9738,0,0,2026-01-29 09:31:00
AIRO,11.06,11.07,11.04,11.07,1104,0,0,2026-01-29 09:32:00
AIRO,11.08,11.08,11.08,11.08,810,0,0,2026-01-29 09:33:00
AIRO,11.01,11.04,11.01,11.04,702,0,0,2026-01-29 09:34:00
AIRO,11.04,11.04,10.91,10.92,2157,0,0,2026-01-29 09:35:00
AIRO,10.95,10.95,10.9,10.9,3050,0,0,2026-01-29 09:36:00
AIRO,10.9,11.14,10.9,11.14,6430,0,0,2026-01-29 09:37:00
AIRO,11.15,11.24,11.15,11.24,666,0,0,2026-01-29 09:38:00
AIRO,11.25,11.25,11.21,11.21,661,0,0,2026-01-29 09:39:00
AIRO,11.3,11.3,11.3,11.3,134,0,0,2026-01-29 09:40:00
AIRO,11.28,11.3,11.28,11.3,3795,0,0,2026-01-29 09:41:00
AIRO,11.3,11.3,11.3,11.3,370,0,0,2026-01-29 09:42:00
AIRO,11.28,11.28,11.2,11.2,1815,0,0,2026-01-29 09:44:00
AIRO,11.16,11.17,11.16,11.17,1241,0,0,2026-01-29 09:46:00
AIRO,11.16,11.16,11.13,11.13,2588,0,0,2026-01-29 09:47:00
AIRO,11.08,11.2,11.08,11.08,1199,0,0,2026-01-29 09:48:00
AIRO,11.18,11.29,11.18,11.29,472,0,0,2026-01-29 09:49:00
AIRO,11.3,11.3,11.3,11.3,120,0,0,2026-01-29 09:52:00
AIRO,11.1,11.1,11.1,11.1,735,0,0,2026-01-29 09:55:00
AIRO,11.16,11.16,11.16,11.16,709,0,0,2026-01-29 09:56:00
AIRO,11.08,11.08,11.03,11.03,2790,0,0,2026-01-29 09:57:00
AIRO,11.03,11.03,10.94,10.98,5028,0,0,2026-01-29 09:58:00
AIRO,10.98,11.0,10.94,11.0,1577,0,0,2026-01-29 09:59:00
AIRO,11.04,11.04,10.93,10.94,1384,0,0,2026-01-29 10:00:00
AIRO,10.94,10.95,10.9,10.91,5531,0,0,2026-01-29 10:01:00
AIRO,10.91,10.95,10.9,10.95,1557,0,0,2026-01-29 10:02:00
AIRO,10.9,10.9,10.9,10.9,184,0,0,2026-01-29 10:03:00
AIRO,10.87,10.87,10.87,10.87,326,0,0,2026-01-29 10:04:00
