Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AMAL,37.65,37.65,37.65,37.65,554,0,0,2026-01-29 09:30:00
AMAL,37.79,37.79,37.79,37.79,109,0,0,2026-01-29 09:43:00
AMAL,37.9,37.9,37.9,37.9,114,0,0,2026-01-29 09:50:00
AMAL,37.66,37.66,37.66,37.66,161,0,0,2026-01-29 10:02:00
AMAL,37.91,37.91,37.91,37.91,142,0,0,2026-01-29 10:07:00
AMAL,37.91,37.91,37.91,37.91,426,0,0,2026-01-29 10:08:00
AMAL,37.93,37.93,37.66,37.91,898,0,0,2026-01-29 10:11:00
AMAL,37.9,37.9,37.9,37.9,726,0,0,2026-01-29 10:14:00
AMAL,37.93,37.93,37.93,37.93,125,0,0,2026-01-29 10:15:00
AMAL,37.93,37.93,37.93,37.93,172,0,0,2026-01-29 10:23:00
AMAL,37.81,37.81,37.81,37.81,132,0,0,2026-01-29 10:31:00
AMAL,37.81,37.81,37.81,37.81,1086,0,0,2026-01-29 10:35:00
AMAL,37.95,37.95,37.95,37.95,226,0,0,2026-01-29 10:36:00
AMAL,37.91,37.91,37.91,37.91,529,37.91,37.99,2026-01-29 10:45:00
AMAL,37.96,37.96,37.91,37.91,1877,0,0,2026-01-29 10:45:00
AMAL,37.91,38.04,37.88,37.89,3234,0,0,2026-01-29 10:47:00
AMAL,37.85,37.85,37.85,37.85,180,0,0,2026-01-29 10:48:00
AMAL,37.84,37.84,37.84,37.84,243,0,0,2026-01-29 10:49:00
AMAL,37.75,37.75,37.75,37.75,250,0,0,2026-01-29 10:50:00
AMAL,37.77,37.77,37.77,37.77,645,0,0,2026-01-29 10:51:00
AMAL,37.67,37.67,37.67,37.67,198,0,0,2026-01-29 10:54:00
AMAL,37.78,37.86,37.78,37.86,922,0,0,2026-01-29 10:56:00
AMAL,37.82,37.82,37.82,37.82,332,0,0,2026-01-29 10:57:00
AMAL,37.82,37.82,37.82,37.82,141,0,0,2026-01-29 10:58:00
AMAL,37.82,37.85,37.82,37.85,1153,0,0,2026-01-29 11:00:00
AMAL,37.8,37.8,37.8,37.8,265,0,0,2026-01-29 11:01:00
AMAL,37.79,37.79,37.79,37.79,124,0,0,2026-01-29 11:03:00
