Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AMPL,9.91,9.91,9.91,9.91,334,9.7,10.49,2026-01-29 08:00:05
AMPL,9.75,9.8,9.71,9.71,2212,0,0,2026-01-29 09:28:00
AMPL,9.71,9.79,9.57,9.62,17969,0,0,2026-01-29 09:30:00
AMPL,9.53,9.57,9.42,9.45,7860,0,0,2026-01-29 09:31:00
AMPL,9.4,9.41,9.38,9.4,9215,9.37,9.45,2026-01-29 09:33:00
AMPL,9.39,9.4,9.39,9.4,1593,0,0,2026-01-29 09:33:00
AMPL,9.45,9.5,9.45,9.46,4643,0,0,2026-01-29 09:34:00
AMPL,9.44,9.44,9.36,9.37,5455,0,0,2026-01-29 09:35:00
AMPL,9.36,9.4,9.36,9.37,7258,0,0,2026-01-29 09:36:00
AMPL,9.33,9.45,9.33,9.45,4267,0,0,2026-01-29 09:37:00
AMPL,9.48,9.48,9.48,9.48,1159,0,0,2026-01-29 09:38:00
AMPL,9.51,9.51,9.43,9.45,4258,0,0,2026-01-29 09:39:00
AMPL,9.41,9.41,9.39,9.39,3268,0,0,2026-01-29 09:40:00
AMPL,9.33,9.34,9.29,9.31,12003,0,0,2026-01-29 09:41:00
AMPL,9.3,9.3,9.3,9.3,676,0,0,2026-01-29 09:42:00
AMPL,9.25,9.25,9.21,9.23,6502,0,0,2026-01-29 09:44:00
AMPL,9.23,9.24,9.21,9.21,3390,0,0,2026-01-29 09:45:00
AMPL,9.21,9.23,9.21,9.21,3004,0,0,2026-01-29 09:46:00
AMPL,9.21,9.24,9.21,9.24,2540,0,0,2026-01-29 09:47:00
AMPL,9.26,9.27,9.25,9.27,840,0,0,2026-01-29 09:48:00
AMPL,9.25,9.29,9.25,9.29,1182,0,0,2026-01-29 09:49:00
AMPL,9.3,9.3,9.3,9.3,2065,0,0,2026-01-29 09:50:00
AMPL,9.28,9.29,9.27,9.28,3106,0,0,2026-01-29 09:51:00
AMPL,9.28,9.28,9.28,9.28,198,0,0,2026-01-29 09:52:00
AMPL,9.29,9.32,9.29,9.32,1880,0,0,2026-01-29 09:54:00
AMPL,9.32,9.32,9.27,9.3,1936,0,0,2026-01-29 09:55:00
AMPL,9.28,9.28,9.25,9.26,3673,0,0,2026-01-29 09:56:00
AMPL,9.24,9.25,9.24,9.25,1484,0,0,2026-01-29 09:57:00
AMPL,9.24,9.24,9.24,9.24,1685,0,0,2026-01-29 09:58:00
AMPL,9.24,9.24,9.2,9.2,12039,0,0,2026-01-29 09:59:00
AMPL,9.2,9.2,9.18,9.2,2588,0,0,2026-01-29 10:00:00
AMPL,9.21,9.22,9.21,9.22,1071,0,0,2026-01-29 10:01:00
AMPL,9.24,9.26,9.24,9.26,390,0,0,2026-01-29 10:02:00
AMPL,9.24,9.26,9.24,9.26,663,0,0,2026-01-29 10:03:00
AMPL,9.21,9.22,9.2,9.22,9572,0,0,2026-01-29 10:04:00
AMPL,9.26,9.26,9.26,9.26,972,9.25,9.27,2026-01-29 10:06:00
AMPL,9.25,9.25,9.24,9.24,1276,0,0,2026-01-29 10:06:00
AMPL,9.23,9.23,9.21,9.22,1627,0,0,2026-01-29 10:07:00
AMPL,9.24,9.24,9.24,9.24,1046,9.24,9.26,2026-01-29 10:09:00
AMPL,9.26,9.26,9.26,9.26,596,0,0,2026-01-29 10:09:00
AMPL,9.24,9.24,9.21,9.22,1994,0,0,2026-01-29 10:10:00
AMPL,9.22,9.26,9.22,9.26,1463,0,0,2026-01-29 10:11:00
AMPL,9.27,9.27,9.26,9.26,803,0,0,2026-01-29 10:12:00
AMPL,9.26,9.26,9.23,9.24,2160,0,0,2026-01-29 10:13:00
