Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ANGI,13.41,13.46,13.35,13.44,18713,0,0,2026-01-29 09:30:00
ANGI,13.34,13.36,13.24,13.29,2654,0,0,2026-01-29 09:33:00
ANGI,13.18,13.18,13.18,13.18,150,13.16,13.35,2026-01-29 09:36:00
ANGI,13.22,13.26,13.16,13.23,1529,0,0,2026-01-29 09:37:00
ANGI,13.21,13.28,13.21,13.28,2407,0,0,2026-01-29 09:40:00
ANGI,13.28,13.28,13.21,13.21,961,0,0,2026-01-29 09:41:00
ANGI,13.2,13.2,13.2,13.2,401,0,0,2026-01-29 09:42:00
ANGI,13.13,13.13,13.13,13.13,125,0,0,2026-01-29 09:43:00
ANGI,13.13,13.13,13.12,13.12,530,0,0,2026-01-29 09:44:00
ANGI,13.07,13.1,13.06,13.1,2516,0,0,2026-01-29 09:45:00
ANGI,13.07,13.09,13.07,13.07,5925,0,0,2026-01-29 09:46:00
ANGI,13.08,13.14,13.07,13.1,3012,0,0,2026-01-29 09:48:00
ANGI,13.02,13.02,13.0,13.0,1023,0,0,2026-01-29 09:50:00
ANGI,12.97,13.08,12.96,13.05,14841,0,0,2026-01-29 09:51:00
ANGI,13.04,13.19,13.04,13.19,1421,0,0,2026-01-29 09:52:00
ANGI,13.19,13.19,13.16,13.18,1245,0,0,2026-01-29 09:53:00
ANGI,13.18,13.2,13.18,13.2,732,0,0,2026-01-29 09:54:00
ANGI,13.2,13.23,13.17,13.23,2854,0,0,2026-01-29 09:55:00
ANGI,13.2,13.23,13.2,13.22,1045,0,0,2026-01-29 09:57:00
ANGI,13.21,13.21,13.18,13.18,1630,0,0,2026-01-29 09:58:00
ANGI,13.2,13.2,13.15,13.15,4713,0,0,2026-01-29 10:00:00
ANGI,13.13,13.13,13.13,13.13,457,0,0,2026-01-29 10:01:00
ANGI,13.13,13.13,13.13,13.13,427,0,0,2026-01-29 10:02:00
ANGI,13.16,13.16,13.11,13.11,6975,0,0,2026-01-29 10:03:00
ANGI,13.12,13.12,13.09,13.09,1594,0,0,2026-01-29 10:05:00
ANGI,13.09,13.09,13.09,13.09,547,0,0,2026-01-29 10:06:00
ANGI,13.08,13.08,13.06,13.07,1197,0,0,2026-01-29 10:07:00
ANGI,13.07,13.07,13.07,13.07,328,0,0,2026-01-29 10:09:00
ANGI,13.05,13.07,13.05,13.06,4011,0,0,2026-01-29 10:10:00
ANGI,13.04,13.05,13.04,13.04,3031,0,0,2026-01-29 10:11:00
ANGI,13.06,13.06,13.05,13.05,1644,0,0,2026-01-29 10:12:00
ANGI,13.05,13.05,13.0,13.0,26098,0,0,2026-01-29 10:13:00
ANGI,13.0,13.0,13.0,13.0,1205,0,0,2026-01-29 10:14:00
ANGI,13.01,13.02,13.0,13.02,3478,0,0,2026-01-29 10:15:00
ANGI,12.97,12.99,12.97,12.97,1026,0,0,2026-01-29 10:16:00
ANGI,12.97,12.97,12.97,12.97,173,0,0,2026-01-29 10:19:00
ANGI,12.95,12.99,12.95,12.97,2635,0,0,2026-01-29 10:20:00
ANGI,13.0,13.06,13.0,13.06,2422,0,0,2026-01-29 10:21:00
ANGI,13.06,13.13,13.06,13.12,5881,0,0,2026-01-29 10:25:00
ANGI,13.1,13.1,13.1,13.1,252,0,0,2026-01-29 10:26:00
ANGI,13.06,13.07,13.0,13.0,11638,0,0,2026-01-29 10:27:00
ANGI,12.99,12.99,12.99,12.99,1156,0,0,2026-01-29 10:28:00
ANGI,12.99,13.02,12.99,13.02,1082,0,0,2026-01-29 10:29:00
ANGI,13.02,13.02,13.01,13.01,2220,0,0,2026-01-29 10:30:00
ANGI,12.99,13.0,12.97,12.99,1376,0,0,2026-01-29 10:31:00
ANGI,12.97,12.97,12.96,12.96,476,0,0,2026-01-29 10:32:00
ANGI,12.94,12.96,12.94,12.94,1717,0,0,2026-01-29 10:33:00
ANGI,12.93,12.94,12.93,12.94,690,0,0,2026-01-29 10:34:00
ANGI,12.93,12.96,12.9,12.95,9567,0,0,2026-01-29 10:35:00
ANGI,12.96,12.96,12.96,12.96,480,0,0,2026-01-29 10:36:00
ANGI,12.95,12.95,12.94,12.95,1645,0,0,2026-01-29 10:38:00
ANGI,12.95,12.96,12.93,12.96,15785,0,0,2026-01-29 10:39:00
ANGI,12.95,12.95,12.93,12.95,5146,0,0,2026-01-29 10:40:00
ANGI,12.94,12.95,12.93,12.94,6984,0,0,2026-01-29 10:41:00
