Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
API,4.56,4.56,4.55,4.56,10308,0,0,2026-01-29 09:30:00
API,4.55,4.55,4.54,4.54,3650,0,0,2026-01-29 09:31:00
API,4.55,4.56,4.55,4.56,631,0,0,2026-01-29 09:32:00
API,4.54,4.55,4.54,4.55,4356,4.55,4.56,2026-01-29 09:34:00
API,4.55,4.55,4.55,4.55,100,0,0,2026-01-29 09:34:00
API,4.56,4.56,4.55,4.55,7795,0,0,2026-01-29 09:35:00
API,4.55,4.55,4.55,4.55,1300,0,0,2026-01-29 09:36:00
API,4.55,4.55,4.55,4.55,1325,0,0,2026-01-29 09:37:00
API,4.56,4.56,4.55,4.55,301,0,0,2026-01-29 09:38:00
API,4.57,4.57,4.55,4.56,4070,0,0,2026-01-29 09:39:00
API,4.56,4.56,4.56,4.56,700,0,0,2026-01-29 09:41:00
API,4.56,4.56,4.56,4.56,100,0,0,2026-01-29 09:42:00
API,4.56,4.56,4.56,4.56,451,0,0,2026-01-29 09:43:00
API,4.56,4.56,4.56,4.56,558,0,0,2026-01-29 09:44:00
API,4.56,4.56,4.55,4.56,828,0,0,2026-01-29 09:45:00
API,4.55,4.55,4.55,4.55,701,0,0,2026-01-29 09:46:00
API,4.56,4.56,4.55,4.55,1987,0,0,2026-01-29 09:47:00
API,4.55,4.55,4.55,4.55,1076,0,0,2026-01-29 09:48:00
API,4.55,4.55,4.54,4.55,16525,0,0,2026-01-29 09:51:00
API,4.55,4.55,4.54,4.55,20282,0,0,2026-01-29 09:52:00
API,4.55,4.55,4.54,4.55,1974,0,0,2026-01-29 09:53:00
API,4.55,4.55,4.54,4.55,1791,0,0,2026-01-29 09:54:00
API,4.55,4.55,4.55,4.55,323,0,0,2026-01-29 09:55:00
API,4.55,4.55,4.55,4.55,290,0,0,2026-01-29 09:56:00
API,4.55,4.55,4.55,4.55,301,0,0,2026-01-29 09:57:00
API,4.55,4.55,4.54,4.55,1752,0,0,2026-01-29 09:58:00
API,4.55,4.55,4.54,4.55,7213,0,0,2026-01-29 09:59:00
API,4.55,4.55,4.54,4.55,11930,0,0,2026-01-29 10:00:00
API,4.55,4.55,4.5,4.55,20679,0,0,2026-01-29 10:01:00
API,4.55,4.55,4.54,4.55,7713,0,0,2026-01-29 10:02:00
API,4.55,4.55,4.53,4.54,29463,0,0,2026-01-29 10:03:00
API,4.54,4.55,4.54,4.55,27890,0,0,2026-01-29 10:04:00
API,4.55,4.55,4.55,4.55,100,0,0,2026-01-29 10:05:00
API,4.56,4.56,4.47,4.47,14524,0,0,2026-01-29 10:06:00
API,4.47,4.48,4.47,4.48,4820,0,0,2026-01-29 10:07:00
API,4.47,4.47,4.47,4.47,1063,4.47,4.48,2026-01-29 10:09:00
API,4.47,4.47,4.46,4.46,3027,0,0,2026-01-29 10:09:00
API,4.45,4.45,4.45,4.45,1024,0,0,2026-01-29 10:10:00
API,4.46,4.46,4.46,4.46,241,0,0,2026-01-29 10:11:00
API,4.46,4.46,4.46,4.46,729,0,0,2026-01-29 10:12:00
API,4.46,4.46,4.46,4.46,1343,0,0,2026-01-29 10:14:00
API,4.45,4.45,4.45,4.45,898,0,0,2026-01-29 10:15:00
API,4.45,4.45,4.45,4.45,300,0,0,2026-01-29 10:16:00
API,4.45,4.46,4.45,4.46,550,0,0,2026-01-29 10:18:00
API,4.45,4.45,4.45,4.45,144,0,0,2026-01-29 10:19:00
API,4.45,4.46,4.45,4.46,1850,0,0,2026-01-29 10:20:00
API,4.46,4.46,4.46,4.46,300,0,0,2026-01-29 10:22:00
API,4.46,4.46,4.46,4.46,1441,0,0,2026-01-29 10:23:00
API,4.46,4.46,4.45,4.45,7748,0,0,2026-01-29 10:24:00
API,4.45,4.45,4.45,4.45,205,0,0,2026-01-29 10:25:00
API,4.45,4.46,4.45,4.45,2964,0,0,2026-01-29 10:26:00
API,4.46,4.46,4.46,4.46,501,0,0,2026-01-29 10:27:00
API,4.45,4.45,4.45,4.45,1009,0,0,2026-01-29 10:29:00
API,4.46,4.46,4.45,4.45,389,0,0,2026-01-29 10:30:00
API,4.45,4.45,4.45,4.45,608,0,0,2026-01-29 10:32:00
API,4.45,4.45,4.44,4.44,9027,0,0,2026-01-29 10:34:00
API,4.43,4.43,4.43,4.43,441,0,0,2026-01-29 10:35:00
API,4.44,4.44,4.44,4.44,550,0,0,2026-01-29 10:36:00
API,4.45,4.45,4.45,4.45,1245,0,0,2026-01-29 10:37:00
API,4.44,4.44,4.44,4.44,526,0,0,2026-01-29 10:40:00
API,4.45,4.45,4.45,4.45,1201,0,0,2026-01-29 10:41:00
API,4.45,4.45,4.43,4.44,11880,0,0,2026-01-29 10:42:00
API,4.44,4.44,4.42,4.42,1934,0,0,2026-01-29 10:43:00
API,4.42,4.42,4.39,4.39,6725,4.39,4.4,2026-01-29 10:45:00
API,4.39,4.39,4.39,4.39,2936,0,0,2026-01-29 10:45:00
API,4.39,4.39,4.39,4.39,2926,0,0,2026-01-29 10:46:00
API,4.39,4.39,4.39,4.39,456,0,0,2026-01-29 10:47:00
API,4.39,4.39,4.39,4.39,774,0,0,2026-01-29 10:48:00
API,4.39,4.39,4.38,4.38,1131,0,0,2026-01-29 10:49:00
API,4.38,4.38,4.38,4.38,610,0,0,2026-01-29 10:50:00
API,4.39,4.39,4.38,4.38,406,0,0,2026-01-29 10:51:00
API,4.39,4.39,4.38,4.38,1449,0,0,2026-01-29 10:52:00
API,4.38,4.38,4.38,4.38,2538,0,0,2026-01-29 10:53:00
