Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
APLE,11.55,11.55,11.55,11.55,185,11.52,11.6,2026-01-29 08:31:04
APLE,11.56,11.56,11.56,11.56,100,0,0,2026-01-29 08:31:00
APLE,11.61,11.61,11.61,11.61,1525,11.52,11.74,2026-01-29 09:30:00
APLE,11.61,11.63,11.6,11.61,28966,0,0,2026-01-29 09:31:00
APLE,11.61,11.62,11.61,11.61,1891,11.58,11.63,2026-01-29 09:33:00
APLE,11.6,11.6,11.54,11.54,7977,11.53,11.56,2026-01-29 09:34:00
APLE,11.56,11.63,11.56,11.63,4053,0,0,2026-01-29 09:34:00
APLE,11.62,11.64,11.62,11.62,8679,0,0,2026-01-29 09:35:00
APLE,11.62,11.62,11.6,11.6,3008,0,0,2026-01-29 09:36:00
APLE,11.6,11.61,11.58,11.58,11012,0,0,2026-01-29 09:37:00
APLE,11.59,11.6,11.59,11.6,8295,0,0,2026-01-29 09:38:00
APLE,11.61,11.64,11.61,11.61,9199,0,0,2026-01-29 09:39:00
APLE,11.62,11.67,11.62,11.66,5788,0,0,2026-01-29 09:40:00
APLE,11.66,11.67,11.63,11.65,6911,0,0,2026-01-29 09:41:00
APLE,11.64,11.64,11.61,11.61,3537,0,0,2026-01-29 09:42:00
APLE,11.62,11.62,11.61,11.62,6822,0,0,2026-01-29 09:43:00
APLE,11.61,11.61,11.6,11.6,18936,0,0,2026-01-29 09:44:00
APLE,11.6,11.62,11.6,11.62,4650,0,0,2026-01-29 09:45:00
APLE,11.62,11.63,11.59,11.6,14900,0,0,2026-01-29 09:46:00
APLE,11.58,11.59,11.56,11.56,14349,0,0,2026-01-29 09:47:00
APLE,11.57,11.57,11.57,11.57,584,0,0,2026-01-29 09:48:00
APLE,11.56,11.6,11.56,11.59,42316,0,0,2026-01-29 09:49:00
APLE,11.59,11.59,11.57,11.58,3988,0,0,2026-01-29 09:50:00
APLE,11.57,11.6,11.57,11.59,8555,0,0,2026-01-29 09:51:00
APLE,11.59,11.6,11.59,11.59,5409,0,0,2026-01-29 09:52:00
APLE,11.59,11.6,11.59,11.59,2740,0,0,2026-01-29 09:53:00
APLE,11.6,11.61,11.6,11.6,4710,0,0,2026-01-29 09:54:00
APLE,11.61,11.61,11.6,11.6,6485,0,0,2026-01-29 09:55:00
APLE,11.6,11.61,11.59,11.59,7280,0,0,2026-01-29 09:56:00
APLE,11.59,11.6,11.59,11.59,4697,0,0,2026-01-29 09:57:00
APLE,11.6,11.6,11.59,11.59,6912,0,0,2026-01-29 09:58:00
APLE,11.59,11.59,11.58,11.58,14421,0,0,2026-01-29 09:59:00
APLE,11.58,11.6,11.58,11.6,5854,0,0,2026-01-29 10:00:00
APLE,11.59,11.59,11.58,11.59,4814,0,0,2026-01-29 10:01:00
APLE,11.59,11.61,11.59,11.61,5214,0,0,2026-01-29 10:02:00
APLE,11.6,11.61,11.6,11.6,6711,0,0,2026-01-29 10:03:00
APLE,11.59,11.59,11.58,11.59,5715,0,0,2026-01-29 10:04:00
APLE,11.59,11.6,11.59,11.6,5173,0,0,2026-01-29 10:05:00
APLE,11.6,11.6,11.59,11.59,3200,0,0,2026-01-29 10:06:00
APLE,11.59,11.59,11.59,11.59,4158,0,0,2026-01-29 10:07:00
APLE,11.58,11.58,11.57,11.57,8653,0,0,2026-01-29 10:08:00
APLE,11.57,11.57,11.56,11.56,2768,0,0,2026-01-29 10:09:00
APLE,11.56,11.56,11.52,11.53,26568,0,0,2026-01-29 10:10:00
APLE,11.53,11.54,11.53,11.54,4722,0,0,2026-01-29 10:11:00
APLE,11.54,11.55,11.54,11.54,2412,0,0,2026-01-29 10:12:00
APLE,11.54,11.54,11.54,11.54,6339,0,0,2026-01-29 10:13:00
APLE,11.54,11.56,11.54,11.56,23180,0,0,2026-01-29 10:14:00
APLE,11.56,11.58,11.56,11.58,10397,0,0,2026-01-29 10:15:00
APLE,11.59,11.59,11.58,11.59,3696,0,0,2026-01-29 10:16:00
APLE,11.59,11.59,11.59,11.59,1283,0,0,2026-01-29 10:17:00
APLE,11.59,11.59,11.58,11.59,14763,0,0,2026-01-29 10:18:00
APLE,11.59,11.59,11.59,11.59,988,0,0,2026-01-29 10:19:00
APLE,11.58,11.6,11.57,11.59,17934,0,0,2026-01-29 10:20:00
APLE,11.6,11.6,11.59,11.59,7763,0,0,2026-01-29 10:21:00
APLE,11.59,11.6,11.58,11.6,43507,0,0,2026-01-29 10:22:00
APLE,11.6,11.6,11.59,11.6,45857,0,0,2026-01-29 10:23:00
APLE,11.6,11.6,11.59,11.59,13392,0,0,2026-01-29 10:24:00
APLE,11.59,11.59,11.59,11.59,510,0,0,2026-01-29 10:25:00
APLE,11.59,11.59,11.59,11.59,2453,0,0,2026-01-29 10:26:00
APLE,11.59,11.59,11.58,11.59,5243,0,0,2026-01-29 10:27:00
APLE,11.59,11.59,11.57,11.57,7474,0,0,2026-01-29 10:28:00
APLE,11.57,11.57,11.56,11.57,14894,0,0,2026-01-29 10:29:00
APLE,11.57,11.58,11.56,11.58,16388,0,0,2026-01-29 10:30:00
APLE,11.58,11.59,11.57,11.57,7074,0,0,2026-01-29 10:31:00
APLE,11.57,11.57,11.56,11.56,9188,0,0,2026-01-29 10:32:00
APLE,11.56,11.57,11.56,11.56,2618,0,0,2026-01-29 10:33:00
APLE,11.56,11.57,11.56,11.57,13806,0,0,2026-01-29 10:34:00
APLE,11.57,11.57,11.56,11.56,5793,0,0,2026-01-29 10:35:00
APLE,11.56,11.56,11.56,11.56,1145,0,0,2026-01-29 10:36:00
APLE,11.56,11.57,11.56,11.57,4984,0,0,2026-01-29 10:37:00
APLE,11.57,11.57,11.55,11.55,15587,0,0,2026-01-29 10:38:00
APLE,11.55,11.55,11.54,11.55,4641,0,0,2026-01-29 10:39:00
