Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ARE,54.72,54.72,54.69,54.69,235,0,0,2026-01-29 08:25:00
ARE,54.7,54.7,54.7,54.7,460,0,0,2026-01-29 08:57:00
ARE,55.01,55.34,55.0,55.06,40925,0,0,2026-01-29 09:30:00
ARE,55.06,55.06,54.6,54.82,10024,0,0,2026-01-29 09:31:00
ARE,54.75,54.75,54.41,54.41,1898,54.15,54.55,2026-01-29 09:33:00
ARE,54.17,54.24,54.17,54.24,1675,54.15,54.34,2026-01-29 09:34:00
ARE,54.24,54.27,54.17,54.19,1364,0,0,2026-01-29 09:34:00
ARE,54.18,54.57,54.17,54.56,6235,0,0,2026-01-29 09:35:00
ARE,54.56,54.65,54.56,54.65,699,0,0,2026-01-29 09:36:00
ARE,54.82,55.04,54.82,54.97,5997,0,0,2026-01-29 09:37:00
ARE,55.01,55.03,54.95,55.03,1466,0,0,2026-01-29 09:38:00
ARE,54.99,55.06,54.89,54.9,5474,0,0,2026-01-29 09:39:00
ARE,54.93,54.99,54.82,54.9,6598,0,0,2026-01-29 09:40:00
ARE,54.94,54.94,54.7,54.7,4196,0,0,2026-01-29 09:41:00
ARE,54.64,54.64,54.4,54.46,5280,0,0,2026-01-29 09:42:00
ARE,54.4,54.4,54.1,54.1,2391,0,0,2026-01-29 09:43:00
ARE,54.11,54.21,54.0,54.21,12280,0,0,2026-01-29 09:44:00
ARE,54.1,54.13,53.95,54.08,6916,0,0,2026-01-29 09:45:00
ARE,54.16,54.25,54.07,54.14,4844,0,0,2026-01-29 09:46:00
ARE,54.01,54.1,53.93,54.1,4215,0,0,2026-01-29 09:47:00
ARE,54.09,54.17,54.01,54.14,4529,0,0,2026-01-29 09:48:00
ARE,54.19,54.24,54.13,54.24,7428,0,0,2026-01-29 09:49:00
ARE,54.16,54.25,54.07,54.07,2275,0,0,2026-01-29 09:50:00
ARE,54.07,54.07,53.96,53.99,6452,0,0,2026-01-29 09:51:00
ARE,53.98,54.07,53.91,53.99,4956,0,0,2026-01-29 09:52:00
ARE,54.0,54.09,53.96,54.02,9815,0,0,2026-01-29 09:53:00
ARE,54.0,54.24,53.99,54.24,6282,0,0,2026-01-29 09:54:00
ARE,54.29,54.31,54.22,54.27,3056,0,0,2026-01-29 09:55:00
