Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ARHS,10.01,10.01,9.99,9.99,5967,0,0,2026-01-29 09:30:00
ARHS,9.97,9.97,9.97,9.97,567,0,0,2026-01-29 09:31:00
ARHS,10.09,10.09,9.95,9.97,2884,9.96,10.05,2026-01-29 09:33:00
ARHS,9.96,10.01,9.85,9.88,2717,0,0,2026-01-29 09:33:00
ARHS,9.89,9.89,9.89,9.89,350,0,0,2026-01-29 09:34:00
ARHS,9.92,9.95,9.92,9.95,813,0,0,2026-01-29 09:35:00
ARHS,9.95,10.04,9.93,10.04,3022,0,0,2026-01-29 09:36:00
ARHS,10.0,10.02,10.0,10.01,3561,0,0,2026-01-29 09:38:00
ARHS,10.01,10.01,10.01,10.01,224,0,0,2026-01-29 09:39:00
ARHS,10.01,10.01,10.01,10.01,10969,0,0,2026-01-29 09:40:00
ARHS,10.01,10.01,10.01,10.01,353,0,0,2026-01-29 09:41:00
ARHS,10.02,10.02,10.02,10.02,350,0,0,2026-01-29 09:42:00
ARHS,9.98,10.0,9.6,9.92,220228,0,0,2026-01-29 09:43:00
ARHS,9.91,9.92,9.9,9.91,2520,0,0,2026-01-29 09:44:00
ARHS,9.91,9.97,9.91,9.91,2480,0,0,2026-01-29 09:45:00
ARHS,9.9,9.9,9.87,9.87,2470,0,0,2026-01-29 09:46:00
ARHS,9.85,9.85,9.8,9.8,650,0,0,2026-01-29 09:47:00
ARHS,9.86,9.86,9.86,9.86,2224,0,0,2026-01-29 09:48:00
ARHS,9.86,9.9,9.86,9.9,1770,0,0,2026-01-29 09:49:00
ARHS,9.89,9.89,9.85,9.85,2827,0,0,2026-01-29 09:50:00
ARHS,9.87,9.87,9.87,9.87,2010,0,0,2026-01-29 09:51:00
ARHS,9.87,9.87,9.82,9.83,1270,0,0,2026-01-29 09:52:00
ARHS,9.86,9.86,9.84,9.85,1730,0,0,2026-01-29 09:53:00
ARHS,9.85,9.85,9.85,9.85,485,0,0,2026-01-29 09:54:00
ARHS,9.85,9.85,9.85,9.85,386,0,0,2026-01-29 09:56:00
ARHS,9.83,9.83,9.83,9.83,2109,0,0,2026-01-29 09:57:00
ARHS,9.82,9.82,9.82,9.82,1567,0,0,2026-01-29 09:58:00
ARHS,9.81,9.81,9.81,9.81,1240,0,0,2026-01-29 09:59:00
ARHS,9.81,9.81,9.8,9.81,2201,0,0,2026-01-29 10:00:00
ARHS,9.82,9.84,9.81,9.84,2214,0,0,2026-01-29 10:01:00
ARHS,9.84,9.86,9.84,9.86,922,0,0,2026-01-29 10:02:00
ARHS,9.87,9.89,9.87,9.88,5115,0,0,2026-01-29 10:03:00
ARHS,9.89,9.9,9.89,9.9,7050,0,0,2026-01-29 10:04:00
ARHS,9.92,9.95,9.92,9.94,2181,0,0,2026-01-29 10:05:00
ARHS,9.92,9.92,9.91,9.91,2257,0,0,2026-01-29 10:06:00
ARHS,9.91,9.91,9.91,9.91,266,0,0,2026-01-29 10:07:00
ARHS,9.91,9.91,9.91,9.91,485,9.9,9.93,2026-01-29 10:09:00
ARHS,9.9,9.9,9.89,9.9,2741,0,0,2026-01-29 10:10:00
ARHS,9.9,9.9,9.9,9.9,914,0,0,2026-01-29 10:11:00
ARHS,9.9,9.9,9.89,9.9,1200,0,0,2026-01-29 10:12:00
ARHS,9.89,9.89,9.89,9.89,2093,0,0,2026-01-29 10:13:00
ARHS,9.9,9.9,9.9,9.9,274,0,0,2026-01-29 10:14:00
ARHS,9.92,9.93,9.92,9.93,982,0,0,2026-01-29 10:15:00
ARHS,9.94,9.95,9.94,9.95,952,0,0,2026-01-29 10:16:00
ARHS,9.95,9.96,9.93,9.95,3341,0,0,2026-01-29 10:17:00
ARHS,9.92,9.92,9.92,9.92,746,0,0,2026-01-29 10:18:00
ARHS,9.92,9.92,9.92,9.92,1228,0,0,2026-01-29 10:19:00
ARHS,9.93,9.95,9.93,9.95,1295,0,0,2026-01-29 10:20:00
ARHS,9.94,9.95,9.93,9.93,3058,0,0,2026-01-29 10:21:00
ARHS,9.94,9.94,9.94,9.94,942,0,0,2026-01-29 10:22:00
ARHS,9.93,9.93,9.93,9.93,1311,0,0,2026-01-29 10:23:00
ARHS,9.93,9.93,9.93,9.93,414,0,0,2026-01-29 10:26:00
ARHS,9.92,9.92,9.91,9.91,1255,0,0,2026-01-29 10:27:00
ARHS,9.91,9.91,9.91,9.91,1004,0,0,2026-01-29 10:28:00
ARHS,9.9,9.9,9.9,9.9,606,0,0,2026-01-29 10:29:00
ARHS,9.9,9.9,9.89,9.89,572,0,0,2026-01-29 10:31:00
ARHS,9.89,9.89,9.89,9.89,526,0,0,2026-01-29 10:33:00
ARHS,9.88,9.88,9.88,9.88,726,0,0,2026-01-29 10:34:00
ARHS,9.87,9.87,9.86,9.86,695,0,0,2026-01-29 10:35:00
ARHS,9.86,9.88,9.86,9.88,1541,0,0,2026-01-29 10:37:00
ARHS,9.87,9.87,9.87,9.87,627,0,0,2026-01-29 10:38:00
ARHS,9.88,9.88,9.88,9.88,397,0,0,2026-01-29 10:39:00
ARHS,9.86,9.86,9.85,9.85,2085,0,0,2026-01-29 10:40:00
ARHS,9.86,9.86,9.86,9.86,583,0,0,2026-01-29 10:41:00
ARHS,9.86,9.86,9.83,9.84,3755,0,0,2026-01-29 10:43:00
ARHS,9.83,9.83,9.83,9.83,1158,9.81,9.82,2026-01-29 10:45:00
ARHS,9.82,9.82,9.82,9.82,1483,0,0,2026-01-29 10:46:00
ARHS,9.82,9.82,9.82,9.82,151,0,0,2026-01-29 10:47:00
ARHS,9.83,9.84,9.82,9.82,1847,0,0,2026-01-29 10:48:00
ARHS,9.82,9.82,9.82,9.82,333,0,0,2026-01-29 10:49:00
ARHS,9.82,9.82,9.82,9.82,229,0,0,2026-01-29 10:50:00
ARHS,9.82,9.82,9.82,9.82,655,0,0,2026-01-29 10:51:00
ARHS,9.83,9.83,9.83,9.83,543,0,0,2026-01-29 10:52:00
ARHS,9.82,9.82,9.82,9.82,527,0,0,2026-01-29 10:53:00
ARHS,9.81,9.81,9.81,9.81,235,0,0,2026-01-29 10:54:00
ARHS,9.82,9.82,9.82,9.82,910,0,0,2026-01-29 10:55:00
ARHS,9.83,9.84,9.83,9.84,989,0,0,2026-01-29 10:56:00
ARHS,9.82,9.82,9.82,9.82,1541,0,0,2026-01-29 10:58:00
ARHS,9.81,9.81,9.81,9.81,363,0,0,2026-01-29 11:00:00
ARHS,9.8,9.8,9.8,9.8,911,0,0,2026-01-29 11:04:00
ARHS,9.79,9.79,9.78,9.79,2257,0,0,2026-01-29 11:06:00
ARHS,9.79,9.79,9.79,9.79,227,0,0,2026-01-29 11:07:00
ARHS,9.79,9.81,9.79,9.81,2416,0,0,2026-01-29 11:08:00
ARHS,9.81,9.81,9.81,9.81,339,0,0,2026-01-29 11:09:00
ARHS,9.8,9.81,9.8,9.81,919,0,0,2026-01-29 11:10:00
ARHS,9.81,9.82,9.81,9.82,601,0,0,2026-01-29 11:11:00
ARHS,9.83,9.83,9.83,9.83,466,9.84,9.87,2026-01-29 11:13:00
ARHS,9.85,9.85,9.85,9.85,156,0,0,2026-01-29 11:14:00
ARHS,9.85,9.85,9.85,9.85,215,0,0,2026-01-29 11:15:00
ARHS,9.85,9.85,9.85,9.85,348,0,0,2026-01-29 11:16:00
ARHS,9.85,9.85,9.84,9.84,7726,0,0,2026-01-29 11:17:00
ARHS,9.84,9.84,9.84,9.84,558,0,0,2026-01-29 11:18:00
ARHS,9.84,9.84,9.84,9.84,1041,0,0,2026-01-29 11:19:00
ARHS,9.85,9.86,9.85,9.86,834,0,0,2026-01-29 11:20:00
ARHS,9.85,9.85,9.85,9.85,515,0,0,2026-01-29 11:21:00
ARHS,9.85,9.85,9.83,9.83,1225,0,0,2026-01-29 11:22:00
ARHS,9.82,9.82,9.82,9.82,713,0,0,2026-01-29 11:23:00
ARHS,9.81,9.83,9.81,9.83,664,0,0,2026-01-29 11:29:00
ARHS,9.82,9.83,9.82,9.83,681,0,0,2026-01-29 11:30:00
ARHS,9.82,9.83,9.82,9.83,615,0,0,2026-01-29 11:31:00
ARHS,9.84,9.85,9.84,9.84,1496,0,0,2026-01-29 11:33:00
ARHS,9.84,9.84,9.84,9.84,813,0,0,2026-01-29 11:34:00
ARHS,9.84,9.84,9.84,9.84,126,0,0,2026-01-29 11:36:00
ARHS,9.84,9.84,9.84,9.84,511,0,0,2026-01-29 11:37:00
ARHS,9.84,9.84,9.84,9.84,430,0,0,2026-01-29 11:38:00
ARHS,9.84,9.84,9.84,9.84,314,0,0,2026-01-29 11:39:00
ARHS,9.84,9.84,9.84,9.84,355,0,0,2026-01-29 11:40:00
ARHS,9.85,9.85,9.84,9.84,688,0,0,2026-01-29 11:41:00
ARHS,9.84,9.84,9.84,9.84,437,0,0,2026-01-29 11:42:00
ARHS,9.84,9.84,9.84,9.84,680,0,0,2026-01-29 11:43:00
ARHS,9.84,9.84,9.84,9.84,2057,0,0,2026-01-29 11:45:00
ARHS,9.84,9.84,9.84,9.84,394,0,0,2026-01-29 11:46:00
ARHS,9.85,9.86,9.84,9.85,5515,0,0,2026-01-29 11:47:00
ARHS,9.86,9.87,9.86,9.87,704,0,0,2026-01-29 11:48:00
ARHS,9.86,9.86,9.86,9.86,301,0,0,2026-01-29 11:49:00
ARHS,9.86,9.86,9.86,9.86,1524,0,0,2026-01-29 11:50:00
ARHS,9.85,9.85,9.85,9.85,892,0,0,2026-01-29 11:51:00
ARHS,9.85,9.85,9.85,9.85,476,0,0,2026-01-29 11:52:00
ARHS,9.85,9.85,9.85,9.85,263,0,0,2026-01-29 11:53:00
ARHS,9.86,9.86,9.86,9.86,172,0,0,2026-01-29 11:54:00
ARHS,9.86,9.87,9.86,9.87,1009,0,0,2026-01-29 11:55:00
ARHS,9.85,9.85,9.85,9.85,1047,0,0,2026-01-29 11:56:00
ARHS,9.85,9.85,9.85,9.85,216,0,0,2026-01-29 11:57:00
ARHS,9.85,9.85,9.85,9.85,436,0,0,2026-01-29 11:59:00
ARHS,9.85,9.85,9.84,9.85,1736,0,0,2026-01-29 12:00:00
ARHS,9.85,9.85,9.85,9.85,549,9.84,9.86,2026-01-29 12:02:00
ARHS,9.85,9.85,9.85,9.85,252,0,0,2026-01-29 12:02:00
ARHS,9.86,9.87,9.86,9.87,1235,0,0,2026-01-29 12:03:00
ARHS,9.87,9.87,9.87,9.87,221,0,0,2026-01-29 12:04:00
ARHS,9.87,9.87,9.87,9.87,224,0,0,2026-01-29 12:06:00
ARHS,9.87,9.87,9.87,9.87,136,0,0,2026-01-29 12:07:00
ARHS,9.87,9.87,9.87,9.87,714,0,0,2026-01-29 12:08:00
ARHS,9.87,9.87,9.87,9.87,219,0,0,2026-01-29 12:09:00
ARHS,9.87,9.87,9.87,9.87,558,0,0,2026-01-29 12:10:00
ARHS,9.87,9.87,9.87,9.87,128,0,0,2026-01-29 12:11:00
ARHS,9.88,9.88,9.88,9.88,404,0,0,2026-01-29 12:12:00
ARHS,9.87,9.87,9.87,9.87,506,0,0,2026-01-29 12:13:00
ARHS,9.87,9.87,9.87,9.87,293,0,0,2026-01-29 12:15:00
ARHS,9.87,9.87,9.87,9.87,281,0,0,2026-01-29 12:16:00
ARHS,9.86,9.88,9.86,9.88,2765,0,0,2026-01-29 12:17:00
ARHS,9.87,9.87,9.87,9.87,257,0,0,2026-01-29 12:18:00
ARHS,9.88,9.89,9.88,9.89,904,0,0,2026-01-29 12:19:00
ARHS,9.9,9.91,9.9,9.9,1411,0,0,2026-01-29 12:20:00
ARHS,9.9,9.9,9.9,9.9,190,0,0,2026-01-29 12:21:00
ARHS,9.9,9.9,9.88,9.88,3511,0,0,2026-01-29 12:22:00
ARHS,9.87,9.87,9.87,9.87,635,0,0,2026-01-29 12:23:00
ARHS,9.87,9.87,9.87,9.87,947,0,0,2026-01-29 12:24:00
ARHS,9.86,9.86,9.86,9.86,504,0,0,2026-01-29 12:26:00
ARHS,9.85,9.85,9.84,9.84,1483,0,0,2026-01-29 12:28:00
ARHS,9.84,9.84,9.84,9.84,2061,0,0,2026-01-29 12:30:00
ARHS,9.84,9.84,9.84,9.84,471,0,0,2026-01-29 12:31:00
ARHS,9.84,9.84,9.83,9.83,807,0,0,2026-01-29 12:32:00
ARHS,9.81,9.82,9.81,9.81,1591,0,0,2026-01-29 12:34:00
ARHS,9.81,9.81,9.8,9.8,233,0,0,2026-01-29 12:36:00
ARHS,9.81,9.81,9.79,9.79,4621,0,0,2026-01-29 12:37:00
ARHS,9.78,9.78,9.78,9.78,181,0,0,2026-01-29 12:39:00
ARHS,9.78,9.78,9.77,9.77,1432,0,0,2026-01-29 12:40:00
ARHS,9.77,9.77,9.77,9.77,726,0,0,2026-01-29 12:41:00
ARHS,9.76,9.76,9.76,9.76,230,0,0,2026-01-29 12:42:00
ARHS,9.76,9.76,9.76,9.76,446,0,0,2026-01-29 12:43:00
ARHS,9.76,9.76,9.76,9.76,311,0,0,2026-01-29 12:45:00
ARHS,9.76,9.76,9.76,9.76,113,0,0,2026-01-29 12:47:00
