Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ARQ,3.74,3.74,3.71,3.71,1669,0,0,2026-01-29 09:30:00
ARQ,3.71,3.71,3.65,3.66,5579,0,0,2026-01-29 09:33:00
ARQ,3.6,3.65,3.6,3.65,200,0,0,2026-01-29 09:34:00
ARQ,3.67,3.7,3.67,3.69,2787,3.63,3.74,2026-01-29 09:36:00
ARQ,3.75,3.75,3.75,3.75,401,0,0,2026-01-29 09:40:00
ARQ,3.73,3.73,3.73,3.73,126,0,0,2026-01-29 09:41:00
ARQ,3.75,3.75,3.75,3.75,206,0,0,2026-01-29 09:43:00
ARQ,3.73,3.73,3.73,3.73,577,0,0,2026-01-29 09:44:00
ARQ,3.71,3.71,3.69,3.69,498,0,0,2026-01-29 09:46:00
ARQ,3.72,3.72,3.71,3.71,316,0,0,2026-01-29 09:55:00
ARQ,3.69,3.69,3.67,3.67,2201,0,0,2026-01-29 09:56:00
ARQ,3.67,3.67,3.67,3.67,1031,0,0,2026-01-29 09:57:00
ARQ,3.66,3.67,3.65,3.67,8355,0,0,2026-01-29 09:58:00
ARQ,3.65,3.65,3.65,3.65,293,0,0,2026-01-29 10:00:00
ARQ,3.65,3.65,3.63,3.63,706,0,0,2026-01-29 10:01:00
ARQ,3.63,3.63,3.63,3.63,1332,0,0,2026-01-29 10:03:00
ARQ,3.64,3.64,3.64,3.64,600,0,0,2026-01-29 10:05:00
ARQ,3.64,3.64,3.64,3.64,661,0,0,2026-01-29 10:06:00
ARQ,3.63,3.63,3.63,3.63,610,0,0,2026-01-29 10:07:00
ARQ,3.62,3.62,3.62,3.62,1299,0,0,2026-01-29 10:10:00
ARQ,3.61,3.61,3.61,3.61,5810,0,0,2026-01-29 10:12:00
ARQ,3.61,3.62,3.61,3.62,8841,0,0,2026-01-29 10:14:00
ARQ,3.62,3.62,3.62,3.62,673,0,0,2026-01-29 10:18:00
ARQ,3.62,3.62,3.62,3.62,113,0,0,2026-01-29 10:19:00
ARQ,3.63,3.63,3.63,3.63,100,0,0,2026-01-29 10:21:00
ARQ,3.62,3.64,3.62,3.64,1130,0,0,2026-01-29 10:24:00
ARQ,3.63,3.63,3.62,3.62,1260,3.61,3.62,2026-01-29 10:28:00
ARQ,3.62,3.62,3.62,3.62,100,0,0,2026-01-29 10:33:00
ARQ,3.61,3.61,3.6,3.6,5220,0,0,2026-01-29 10:35:00
ARQ,3.58,3.58,3.58,3.58,2285,0,0,2026-01-29 10:39:00
ARQ,3.58,3.58,3.58,3.58,580,0,0,2026-01-29 10:40:00
ARQ,3.58,3.58,3.58,3.58,5130,0,0,2026-01-29 10:41:00
ARQ,3.58,3.58,3.56,3.56,2838,0,0,2026-01-29 10:42:00
ARQ,3.56,3.56,3.56,3.56,6243,0,0,2026-01-29 10:43:00
ARQ,3.56,3.56,3.56,3.56,341,3.55,3.57,2026-01-29 10:45:00
ARQ,3.57,3.57,3.57,3.57,1129,0,0,2026-01-29 10:46:00
ARQ,3.58,3.58,3.58,3.58,391,0,0,2026-01-29 10:47:00
ARQ,3.57,3.58,3.57,3.58,325,0,0,2026-01-29 10:48:00
ARQ,3.58,3.58,3.58,3.58,1100,0,0,2026-01-29 10:49:00
ARQ,3.58,3.61,3.58,3.61,4549,0,0,2026-01-29 10:50:00
ARQ,3.62,3.62,3.62,3.62,250,0,0,2026-01-29 10:52:00
ARQ,3.61,3.61,3.61,3.61,318,0,0,2026-01-29 10:53:00
ARQ,3.64,3.64,3.64,3.64,100,0,0,2026-01-29 10:59:00
ARQ,3.64,3.64,3.64,3.64,163,0,0,2026-01-29 11:01:00
ARQ,3.64,3.64,3.64,3.64,264,0,0,2026-01-29 11:03:00
ARQ,3.63,3.63,3.63,3.63,1331,0,0,2026-01-29 11:05:00
ARQ,3.63,3.63,3.63,3.63,727,0,0,2026-01-29 11:06:00
ARQ,3.63,3.64,3.63,3.64,2534,0,0,2026-01-29 11:07:00
ARQ,3.64,3.64,3.64,3.64,581,0,0,2026-01-29 11:10:00
ARQ,3.64,3.66,3.64,3.66,1642,0,0,2026-01-29 11:11:00
ARQ,3.66,3.66,3.66,3.66,432,0,0,2026-01-29 11:14:00
ARQ,3.67,3.67,3.67,3.67,140,0,0,2026-01-29 11:18:00
ARQ,3.66,3.66,3.66,3.66,527,0,0,2026-01-29 11:22:00
ARQ,3.65,3.65,3.64,3.64,1736,0,0,2026-01-29 11:27:00
ARQ,3.64,3.66,3.64,3.65,4030,0,0,2026-01-29 11:36:00
ARQ,3.65,3.65,3.65,3.65,100,0,0,2026-01-29 11:40:00
ARQ,3.66,3.66,3.65,3.65,264,0,0,2026-01-29 11:42:00
ARQ,3.65,3.65,3.65,3.65,705,3.65,3.66,2026-01-29 11:45:00
ARQ,3.65,3.65,3.65,3.65,306,0,0,2026-01-29 11:47:00
ARQ,3.65,3.65,3.65,3.65,116,0,0,2026-01-29 11:54:00
ARQ,3.65,3.65,3.65,3.65,165,0,0,2026-01-29 11:55:00
ARQ,3.65,3.65,3.65,3.65,247,0,0,2026-01-29 11:58:00
ARQ,3.65,3.65,3.65,3.65,162,0,0,2026-01-29 12:03:00
ARQ,3.65,3.65,3.65,3.65,173,0,0,2026-01-29 12:05:00
ARQ,3.66,3.66,3.65,3.65,344,0,0,2026-01-29 12:08:00
ARQ,3.65,3.65,3.65,3.65,133,0,0,2026-01-29 12:11:00
ARQ,3.65,3.65,3.65,3.65,282,0,0,2026-01-29 12:12:00
ARQ,3.65,3.65,3.65,3.65,268,0,0,2026-01-29 12:15:00
ARQ,3.65,3.65,3.65,3.65,395,0,0,2026-01-29 12:17:00
ARQ,3.65,3.66,3.65,3.66,1791,0,0,2026-01-29 12:18:00
ARQ,3.66,3.66,3.65,3.66,3719,0,0,2026-01-29 12:25:00
ARQ,3.66,3.66,3.66,3.66,351,0,0,2026-01-29 12:34:00
ARQ,3.66,3.66,3.66,3.66,1310,0,0,2026-01-29 12:35:00
ARQ,3.65,3.65,3.65,3.65,534,0,0,2026-01-29 12:36:00
ARQ,3.65,3.65,3.65,3.65,339,0,0,2026-01-29 12:42:00
ARQ,3.65,3.65,3.65,3.65,126,0,0,2026-01-29 12:44:00
ARQ,3.65,3.65,3.65,3.65,171,0,0,2026-01-29 12:45:00
ARQ,3.65,3.65,3.65,3.65,186,0,0,2026-01-29 12:47:00
ARQ,3.64,3.64,3.64,3.64,216,0,0,2026-01-29 12:49:00
ARQ,3.63,3.63,3.63,3.63,136,0,0,2026-01-29 12:56:00
