Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AS,37.45,37.5,37.45,37.5,1350,0,0,2026-01-29 08:18:00
AS,37.67,37.67,37.67,37.67,500,0,0,2026-01-29 08:53:00
AS,38.02,38.02,37.3,37.3,200,0,0,2026-01-29 08:55:00
AS,37.72,37.96,37.72,37.96,502,0,0,2026-01-29 08:57:00
AS,38.09,38.09,38.09,38.09,100,37.26,38.14,2026-01-29 09:01:00
AS,37.9,37.9,37.9,37.9,186,0,0,2026-01-29 09:12:00
AS,37.33,37.47,37.05,37.17,41262,0,0,2026-01-29 09:30:00
AS,37.17,37.28,37.17,37.17,4404,0,0,2026-01-29 09:31:00
AS,37.18,37.49,37.05,37.16,36735,0,0,2026-01-29 09:32:00
AS,37.16,37.25,37.15,37.15,2038,0,0,2026-01-29 09:33:00
AS,37.15,37.6,37.15,37.53,30399,0,0,2026-01-29 09:34:00
AS,37.52,37.58,37.37,37.56,21623,0,0,2026-01-29 09:35:00
AS,37.54,37.67,37.51,37.56,18716,0,0,2026-01-29 09:36:00
AS,37.56,37.75,37.43,37.75,28540,0,0,2026-01-29 09:37:00
AS,37.67,37.78,37.65,37.72,16697,0,0,2026-01-29 09:38:00
AS,37.74,37.81,37.73,37.73,9153,0,0,2026-01-29 09:39:00
AS,37.76,37.77,37.69,37.7,9063,0,0,2026-01-29 09:40:00
AS,37.66,37.67,37.48,37.52,4501,0,0,2026-01-29 09:41:00
AS,37.52,37.52,37.32,37.33,5750,0,0,2026-01-29 09:42:00
AS,37.33,37.33,37.26,37.26,2070,0,0,2026-01-29 09:43:00
AS,37.18,37.2,37.18,37.2,895,0,0,2026-01-29 09:44:00
AS,37.17,37.23,37.16,37.22,1366,0,0,2026-01-29 09:45:00
AS,37.18,37.18,37.09,37.09,4557,0,0,2026-01-29 09:46:00
AS,37.09,37.22,37.05,37.19,13175,0,0,2026-01-29 09:47:00
AS,37.22,37.37,37.22,37.33,10557,0,0,2026-01-29 09:48:00
AS,37.33,37.37,37.33,37.37,2348,0,0,2026-01-29 09:49:00
AS,37.37,37.4,37.33,37.33,4211,0,0,2026-01-29 09:50:00
AS,37.31,37.31,37.3,37.3,1480,0,0,2026-01-29 09:51:00
AS,37.19,37.21,37.06,37.08,14005,0,0,2026-01-29 09:52:00
AS,37.09,37.13,37.09,37.13,7446,0,0,2026-01-29 09:53:00
AS,37.17,37.25,37.12,37.23,6842,0,0,2026-01-29 09:54:00
AS,37.2,37.2,37.2,37.2,804,0,0,2026-01-29 09:55:00
AS,37.23,37.23,37.2,37.23,1799,0,0,2026-01-29 09:56:00
AS,37.2,37.23,37.2,37.23,811,0,0,2026-01-29 09:57:00
AS,37.21,37.21,37.17,37.17,1089,0,0,2026-01-29 09:58:00
AS,37.16,37.16,37.13,37.14,6618,0,0,2026-01-29 09:59:00
AS,37.16,37.16,37.16,37.16,696,0,0,2026-01-29 10:00:00
AS,37.12,37.15,37.12,37.12,1208,0,0,2026-01-29 10:01:00
AS,37.07,37.11,37.07,37.07,4640,0,0,2026-01-29 10:02:00
AS,37.1,37.1,37.05,37.09,7125,0,0,2026-01-29 10:03:00
AS,37.12,37.12,37.08,37.12,9431,0,0,2026-01-29 10:04:00
AS,37.1,37.21,37.1,37.12,19934,0,0,2026-01-29 10:05:00
AS,37.08,37.14,37.0,37.13,12762,0,0,2026-01-29 10:06:00
AS,37.12,37.12,37.09,37.1,2704,0,0,2026-01-29 10:07:00
AS,37.1,37.14,37.1,37.11,6188,37.08,37.15,2026-01-29 10:09:00
AS,37.12,37.12,37.12,37.12,1037,0,0,2026-01-29 10:09:00
AS,37.09,37.09,37.05,37.05,2818,0,0,2026-01-29 10:10:00
AS,37.05,37.09,37.04,37.04,7322,0,0,2026-01-29 10:11:00
AS,37.04,37.04,37.02,37.02,3716,0,0,2026-01-29 10:12:00
AS,37.03,37.03,37.01,37.02,6788,0,0,2026-01-29 10:13:00
AS,37.0,37.05,36.99,37.0,11510,0,0,2026-01-29 10:14:00
AS,37.0,37.04,37.0,37.02,1518,0,0,2026-01-29 10:15:00
AS,37.02,37.13,36.98,37.09,48710,0,0,2026-01-29 10:16:00
AS,37.09,37.11,37.07,37.08,15119,0,0,2026-01-29 10:17:00
AS,37.1,37.19,37.1,37.17,1817,0,0,2026-01-29 10:18:00
AS,37.19,37.22,37.15,37.17,13083,0,0,2026-01-29 10:19:00
AS,37.14,37.19,37.1,37.19,10826,0,0,2026-01-29 10:20:00
AS,37.21,37.22,37.16,37.17,8507,0,0,2026-01-29 10:21:00
AS,37.14,37.15,37.12,37.12,7010,0,0,2026-01-29 10:22:00
AS,37.12,37.17,37.0,37.02,21532,0,0,2026-01-29 10:23:00
AS,37.02,37.02,36.96,36.97,10261,0,0,2026-01-29 10:24:00
AS,36.97,36.97,36.94,36.97,5057,0,0,2026-01-29 10:25:00
AS,36.98,36.98,36.86,36.86,5369,0,0,2026-01-29 10:26:00
AS,36.87,36.88,36.82,36.84,7768,0,0,2026-01-29 10:27:00
AS,36.84,36.92,36.84,36.9,7929,0,0,2026-01-29 10:28:00
AS,36.9,36.94,36.86,36.91,27965,0,0,2026-01-29 10:29:00
AS,36.92,36.94,36.86,36.89,11228,0,0,2026-01-29 10:30:00
AS,36.88,36.92,36.87,36.92,3626,0,0,2026-01-29 10:31:00
AS,36.92,36.92,36.92,36.92,799,0,0,2026-01-29 10:32:00
AS,36.93,36.94,36.92,36.92,3174,0,0,2026-01-29 10:33:00
AS,36.92,36.96,36.92,36.95,8534,0,0,2026-01-29 10:34:00
AS,36.95,36.98,36.95,36.96,5936,0,0,2026-01-29 10:35:00
AS,36.98,37.01,36.9,37.01,21777,0,0,2026-01-29 10:36:00
AS,37.0,37.01,36.99,37.0,2453,0,0,2026-01-29 10:37:00
AS,37.0,37.01,36.95,36.95,5031,0,0,2026-01-29 10:38:00
AS,36.95,36.99,36.95,36.99,3067,0,0,2026-01-29 10:39:00
AS,36.98,36.98,36.97,36.98,3182,0,0,2026-01-29 10:40:00
AS,36.98,37.05,36.98,37.01,47612,0,0,2026-01-29 10:41:00
AS,37.02,37.02,36.99,36.99,6052,0,0,2026-01-29 10:42:00
AS,37.01,37.01,36.99,37.0,1682,0,0,2026-01-29 10:43:00
AS,37.02,37.02,36.99,36.99,3711,36.96,36.98,2026-01-29 10:45:00
AS,36.98,36.99,36.96,36.97,4434,0,0,2026-01-29 10:45:00
AS,36.98,37.0,36.98,36.99,6746,0,0,2026-01-29 10:46:00
AS,37.0,37.05,37.0,37.03,3237,0,0,2026-01-29 10:47:00
AS,37.05,37.09,37.01,37.05,29913,0,0,2026-01-29 10:48:00
AS,37.02,37.05,36.98,36.99,11346,0,0,2026-01-29 10:49:00
AS,36.98,36.99,36.97,36.99,11749,0,0,2026-01-29 10:50:00
AS,36.97,36.97,36.9,36.9,13180,0,0,2026-01-29 10:51:00
AS,36.9,36.93,36.9,36.93,3103,0,0,2026-01-29 10:52:00
AS,36.93,36.93,36.87,36.88,3741,0,0,2026-01-29 10:53:00
AS,36.86,36.88,36.86,36.88,646,0,0,2026-01-29 10:54:00
AS,36.89,36.95,36.89,36.94,6588,0,0,2026-01-29 10:55:00
AS,36.95,37.05,36.95,37.05,12651,0,0,2026-01-29 10:56:00
AS,37.05,37.1,37.05,37.09,3110,0,0,2026-01-29 10:57:00
AS,37.08,37.08,36.98,36.98,14566,0,0,2026-01-29 10:58:00
AS,36.97,37.0,36.93,36.94,24459,0,0,2026-01-29 10:59:00
AS,36.93,36.93,36.86,36.9,10012,0,0,2026-01-29 11:00:00
AS,36.89,36.91,36.86,36.89,5392,0,0,2026-01-29 11:01:00
AS,36.88,36.88,36.84,36.87,2549,0,0,2026-01-29 11:02:00
AS,36.9,36.9,36.89,36.9,1254,0,0,2026-01-29 11:03:00
AS,36.9,36.95,36.9,36.95,4563,0,0,2026-01-29 11:04:00
AS,36.93,36.95,36.91,36.91,2157,0,0,2026-01-29 11:05:00
