Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ASM,11.86,11.86,11.82,11.82,3904,0,0,2026-01-29 08:08:00
ASM,11.86,11.86,11.86,11.86,591,0,0,2026-01-29 08:09:00
ASM,11.85,11.86,11.85,11.86,11443,0,0,2026-01-29 08:10:00
ASM,11.86,11.86,11.8,11.81,4548,0,0,2026-01-29 08:11:00
ASM,11.77,11.8,11.77,11.8,1769,0,0,2026-01-29 08:12:00
ASM,11.81,11.84,11.78,11.8,6711,0,0,2026-01-29 08:14:00
ASM,11.8,11.8,11.76,11.77,5723,0,0,2026-01-29 08:15:00
ASM,11.77,11.78,11.77,11.78,4422,0,0,2026-01-29 08:16:00
ASM,11.77,11.77,11.77,11.77,639,0,0,2026-01-29 08:17:00
ASM,11.75,11.75,11.75,11.75,555,0,0,2026-01-29 08:18:00
ASM,11.76,11.76,11.76,11.76,893,0,0,2026-01-29 08:20:00
ASM,11.75,11.78,11.74,11.78,2159,0,0,2026-01-29 08:21:00
ASM,11.78,11.87,11.78,11.87,1667,0,0,2026-01-29 08:23:00
ASM,11.85,11.88,11.82,11.82,2355,0,0,2026-01-29 08:24:00
ASM,11.83,11.84,11.83,11.84,1120,0,0,2026-01-29 08:26:00
ASM,11.88,11.9,11.88,11.88,1620,0,0,2026-01-29 08:28:00
ASM,11.88,11.9,11.88,11.9,4567,0,0,2026-01-29 08:29:00
ASM,11.85,11.92,11.82,11.92,1195,0,0,2026-01-29 08:30:00
ASM,11.82,11.82,11.74,11.74,1862,0,0,2026-01-29 08:31:00
ASM,11.9,11.9,11.9,11.9,1819,0,0,2026-01-29 08:32:00
ASM,11.9,11.9,11.9,11.9,898,0,0,2026-01-29 08:33:00
ASM,11.88,11.88,11.88,11.88,239,0,0,2026-01-29 08:34:00
ASM,11.8,11.8,11.73,11.73,20358,0,0,2026-01-29 08:35:00
ASM,11.79,11.79,11.79,11.79,402,0,0,2026-01-29 08:36:00
ASM,11.79,11.79,11.79,11.79,467,0,0,2026-01-29 08:38:00
ASM,11.83,11.83,11.83,11.83,1102,0,0,2026-01-29 08:39:00
ASM,11.83,11.83,11.83,11.83,230,11.79,11.83,2026-01-29 08:41:00
ASM,11.82,11.85,11.81,11.83,944,0,0,2026-01-29 08:41:00
ASM,11.85,11.85,11.85,11.85,868,0,0,2026-01-29 08:42:00
ASM,11.86,11.86,11.86,11.86,162,0,0,2026-01-29 08:43:00
ASM,11.89,11.89,11.88,11.88,832,11.85,11.89,2026-01-29 08:46:00
ASM,11.86,11.87,11.86,11.86,1327,0,0,2026-01-29 08:46:00
ASM,11.87,11.89,11.87,11.88,1897,11.85,11.89,2026-01-29 08:48:00
ASM,11.87,11.88,11.87,11.88,468,0,0,2026-01-29 08:49:00
ASM,11.85,11.85,11.82,11.82,4965,0,0,2026-01-29 08:50:00
ASM,11.83,11.84,11.83,11.84,1328,0,0,2026-01-29 08:51:00
ASM,11.83,11.83,11.8,11.8,1151,11.8,11.85,2026-01-29 08:53:00
ASM,11.84,11.84,11.84,11.84,293,0,0,2026-01-29 08:53:00
ASM,11.84,11.89,11.84,11.89,1725,11.83,11.89,2026-01-29 08:55:00
ASM,11.89,11.9,11.89,11.89,1633,0,0,2026-01-29 08:55:00
ASM,11.88,11.9,11.83,11.83,1669,0,0,2026-01-29 08:56:00
ASM,11.81,11.81,11.81,11.81,9812,0,0,2026-01-29 08:57:00
ASM,11.81,11.82,11.79,11.82,2301,0,0,2026-01-29 08:58:00
ASM,11.8,11.8,11.8,11.8,1149,0,0,2026-01-29 08:59:00
ASM,11.82,11.86,11.82,11.86,959,11.78,11.86,2026-01-29 09:01:00
ASM,11.83,11.83,11.83,11.83,389,0,0,2026-01-29 09:01:00
ASM,11.9,11.9,11.88,11.9,1091,0,0,2026-01-29 09:03:00
ASM,11.89,11.91,11.89,11.91,735,0,0,2026-01-29 09:04:00
ASM,11.91,11.91,11.89,11.89,755,11.88,11.91,2026-01-29 09:06:00
ASM,11.9,11.92,11.9,11.92,459,0,0,2026-01-29 09:06:00
ASM,11.92,11.92,11.92,11.92,395,0,0,2026-01-29 09:07:00
ASM,11.94,11.94,11.94,11.94,1559,11.91,11.95,2026-01-29 09:09:00
ASM,11.95,12.0,11.94,11.96,4740,0,0,2026-01-29 09:09:00
ASM,12.0,12.0,11.96,11.99,944,0,0,2026-01-29 09:10:00
ASM,11.95,11.98,11.95,11.98,6242,0,0,2026-01-29 09:11:00
ASM,11.98,11.99,11.97,11.97,1677,0,0,2026-01-29 09:12:00
ASM,11.97,11.97,11.97,11.97,476,0,0,2026-01-29 09:13:00
ASM,11.92,11.96,11.9,11.9,10268,11.9,11.93,2026-01-29 09:15:00
ASM,11.93,11.97,11.93,11.97,3572,0,0,2026-01-29 09:15:00
ASM,11.92,11.96,11.9,11.95,3481,0,0,2026-01-29 09:17:00
ASM,11.92,11.92,11.89,11.9,4249,0,0,2026-01-29 09:18:00
ASM,11.95,11.96,11.94,11.96,1896,0,0,2026-01-29 09:19:00
ASM,11.96,11.99,11.95,11.99,2312,0,0,2026-01-29 09:20:00
ASM,11.88,11.88,11.88,11.88,448,0,0,2026-01-29 09:21:00
ASM,11.96,11.97,11.96,11.97,1772,0,0,2026-01-29 09:22:00
ASM,11.95,11.95,11.95,11.95,323,11.88,11.97,2026-01-29 09:24:00
ASM,11.88,11.9,11.86,11.89,4142,0,0,2026-01-29 09:24:00
ASM,11.82,11.82,11.8,11.8,5651,0,0,2026-01-29 09:25:00
ASM,11.91,11.91,11.88,11.88,524,0,0,2026-01-29 09:26:00
ASM,11.88,11.98,11.87,11.98,6474,0,0,2026-01-29 09:27:00
ASM,11.97,11.97,11.97,11.97,1113,0,0,2026-01-29 09:28:00
ASM,11.89,11.93,11.89,11.9,958,11.85,11.9,2026-01-29 09:30:01
ASM,11.85,11.99,11.73,11.8,315390,0,0,2026-01-29 09:30:00
ASM,11.79,11.84,11.72,11.83,50059,0,0,2026-01-29 09:31:00
ASM,11.83,11.88,11.73,11.84,65143,11.81,11.88,2026-01-29 09:33:00
ASM,11.87,11.92,11.78,11.9,52523,0,0,2026-01-29 09:33:00
ASM,11.88,11.88,11.71,11.71,85584,0,0,2026-01-29 09:34:00
ASM,11.71,11.72,11.61,11.72,109135,0,0,2026-01-29 09:35:00
ASM,11.69,11.71,11.6,11.65,136496,0,0,2026-01-29 09:36:00
ASM,11.65,11.85,11.64,11.85,47009,0,0,2026-01-29 09:37:00
ASM,11.85,11.9,11.8,11.89,78865,0,0,2026-01-29 09:38:00
ASM,11.87,11.92,11.86,11.87,27213,0,0,2026-01-29 09:39:00
ASM,11.87,11.92,11.85,11.87,93729,0,0,2026-01-29 09:40:00
ASM,11.9,11.9,11.82,11.83,46464,0,0,2026-01-29 09:41:00
ASM,11.8,11.82,11.74,11.74,64162,0,0,2026-01-29 09:42:00
ASM,11.76,11.78,11.7,11.74,42204,0,0,2026-01-29 09:43:00
ASM,11.74,11.78,11.72,11.73,21099,0,0,2026-01-29 09:44:00
ASM,11.74,11.79,11.73,11.76,16556,0,0,2026-01-29 09:45:00
ASM,11.79,11.85,11.72,11.73,76448,0,0,2026-01-29 09:46:00
ASM,11.72,11.72,11.63,11.65,62452,0,0,2026-01-29 09:47:00
ASM,11.65,11.69,11.64,11.66,48888,0,0,2026-01-29 09:48:00
ASM,11.66,11.72,11.65,11.71,55931,0,0,2026-01-29 09:49:00
ASM,11.71,11.73,11.58,11.61,206380,0,0,2026-01-29 09:50:00
ASM,11.6,11.67,11.51,11.56,55984,0,0,2026-01-29 09:51:00
ASM,11.55,11.61,11.51,11.6,44046,0,0,2026-01-29 09:52:00
ASM,11.57,11.59,11.51,11.56,22975,0,0,2026-01-29 09:53:00
