Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ASPI,8.06,8.06,8.06,8.06,2000,0,0,2026-01-29 08:17:00
ASPI,8.06,8.06,8.06,8.06,336,0,0,2026-01-29 08:19:00
ASPI,8.06,8.06,8.06,8.06,1016,0,0,2026-01-29 08:20:00
ASPI,8.04,8.04,8.04,8.04,485,0,0,2026-01-29 08:23:00
ASPI,8.07,8.07,8.06,8.06,1394,0,0,2026-01-29 08:27:00
ASPI,8.06,8.06,8.06,8.06,205,0,0,2026-01-29 08:28:00
ASPI,8.07,8.07,8.07,8.07,244,0,0,2026-01-29 08:29:00
ASPI,8.16,8.16,8.16,8.16,265,0,0,2026-01-29 08:31:00
ASPI,8.09,8.09,8.09,8.09,100,0,0,2026-01-29 08:37:00
ASPI,8.07,8.07,8.07,8.07,326,0,0,2026-01-29 08:38:00
ASPI,8.09,8.09,8.09,8.09,140,0,0,2026-01-29 08:39:00
ASPI,8.08,8.08,8.08,8.08,234,8.05,8.09,2026-01-29 08:41:00
ASPI,8.05,8.06,8.05,8.06,211,0,0,2026-01-29 08:44:00
ASPI,8.09,8.09,8.09,8.09,1000,0,0,2026-01-29 08:46:00
ASPI,8.09,8.09,8.09,8.09,810,8.04,8.09,2026-01-29 08:48:00
ASPI,8.07,8.11,8.07,8.11,1030,8.05,8.11,2026-01-29 08:49:00
ASPI,8.07,8.07,8.07,8.07,110,0,0,2026-01-29 08:49:00
ASPI,8.05,8.08,8.05,8.08,1294,0,0,2026-01-29 08:50:00
ASPI,8.05,8.05,8.04,8.04,620,0,0,2026-01-29 08:51:00
ASPI,8.0,8.0,7.98,7.98,610,0,0,2026-01-29 08:56:00
ASPI,8.0,8.0,8.0,8.0,2649,0,0,2026-01-29 09:01:00
ASPI,7.96,7.96,7.96,7.96,350,7.96,8.05,2026-01-29 09:06:00
ASPI,8.05,8.05,8.05,8.05,588,0,0,2026-01-29 09:08:00
ASPI,7.98,7.98,7.98,7.98,378,0,0,2026-01-29 09:13:00
ASPI,7.96,7.96,7.96,7.96,706,7.96,7.98,2026-01-29 09:15:00
ASPI,7.97,7.98,7.97,7.98,440,0,0,2026-01-29 09:16:00
ASPI,8.0,8.01,8.0,8.01,1810,0,0,2026-01-29 09:17:00
ASPI,8.02,8.02,8.02,8.02,1000,0,0,2026-01-29 09:18:00
ASPI,8.02,8.02,8.02,8.02,430,0,0,2026-01-29 09:20:00
ASPI,8.0,8.0,8.0,8.0,300,0,0,2026-01-29 09:21:00
ASPI,7.98,7.98,7.98,7.98,390,0,0,2026-01-29 09:22:00
ASPI,7.99,7.99,7.99,7.99,500,0,0,2026-01-29 09:24:00
ASPI,7.99,8.01,7.99,8.01,1957,0,0,2026-01-29 09:25:00
ASPI,8.0,8.0,8.0,8.0,435,0,0,2026-01-29 09:26:00
ASPI,7.94,7.94,7.9,7.93,3661,0,0,2026-01-29 09:27:00
ASPI,7.9,7.9,7.8,7.81,15921,0,0,2026-01-29 09:28:00
ASPI,7.83,7.85,7.83,7.84,1773,7.75,7.93,2026-01-29 09:30:00
ASPI,7.82,7.9,7.74,7.78,126641,0,0,2026-01-29 09:30:00
ASPI,7.78,7.78,7.65,7.74,71137,0,0,2026-01-29 09:31:00
ASPI,7.71,7.71,7.52,7.56,63569,0,0,2026-01-29 09:32:00
ASPI,7.55,7.57,7.37,7.37,166748,0,0,2026-01-29 09:33:00
ASPI,7.41,7.52,7.35,7.48,148910,0,0,2026-01-29 09:34:00
ASPI,7.48,7.49,7.4,7.47,28268,0,0,2026-01-29 09:35:00
ASPI,7.46,7.46,7.35,7.38,34794,0,0,2026-01-29 09:36:00
ASPI,7.39,7.49,7.37,7.48,65350,0,0,2026-01-29 09:37:00
ASPI,7.47,7.58,7.47,7.58,55044,0,0,2026-01-29 09:38:00
ASPI,7.57,7.58,7.51,7.51,27029,0,0,2026-01-29 09:39:00
ASPI,7.53,7.53,7.44,7.47,21377,0,0,2026-01-29 09:40:00
ASPI,7.46,7.46,7.43,7.44,17852,0,0,2026-01-29 09:41:00
ASPI,7.43,7.45,7.41,7.43,15257,0,0,2026-01-29 09:42:00
ASPI,7.45,7.48,7.45,7.46,19757,0,0,2026-01-29 09:43:00
ASPI,7.45,7.46,7.4,7.45,18141,0,0,2026-01-29 09:44:00
ASPI,7.45,7.49,7.45,7.48,54479,0,0,2026-01-29 09:45:00
ASPI,7.48,7.49,7.46,7.49,21544,0,0,2026-01-29 09:46:00
ASPI,7.5,7.5,7.47,7.5,20306,0,0,2026-01-29 09:47:00
ASPI,7.5,7.52,7.5,7.52,14424,0,0,2026-01-29 09:48:00
ASPI,7.51,7.58,7.5,7.58,25234,0,0,2026-01-29 09:49:00
ASPI,7.59,7.59,7.5,7.57,11114,0,0,2026-01-29 09:50:00
ASPI,7.55,7.56,7.52,7.54,10656,0,0,2026-01-29 09:51:00
ASPI,7.54,7.54,7.48,7.5,31774,0,0,2026-01-29 09:52:00
ASPI,7.49,7.49,7.46,7.49,18193,0,0,2026-01-29 09:53:00
ASPI,7.48,7.5,7.48,7.49,10250,0,0,2026-01-29 09:54:00
ASPI,7.5,7.5,7.47,7.47,14950,0,0,2026-01-29 09:55:00
ASPI,7.46,7.46,7.4,7.41,60513,0,0,2026-01-29 09:56:00
ASPI,7.41,7.43,7.39,7.42,35427,0,0,2026-01-29 09:57:00
ASPI,7.42,7.43,7.31,7.33,38084,0,0,2026-01-29 09:58:00
ASPI,7.3,7.3,7.24,7.25,56984,0,0,2026-01-29 09:59:00
ASPI,7.26,7.26,7.2,7.22,65257,0,0,2026-01-29 10:00:00
ASPI,7.21,7.25,7.21,7.24,61565,0,0,2026-01-29 10:01:00
ASPI,7.24,7.25,7.17,7.2,43398,0,0,2026-01-29 10:02:00
ASPI,7.2,7.24,7.2,7.22,31950,0,0,2026-01-29 10:03:00
ASPI,7.22,7.23,7.22,7.22,18230,7.22,7.24,2026-01-29 10:05:00
ASPI,7.23,7.24,7.21,7.24,18074,0,0,2026-01-29 10:05:00
ASPI,7.24,7.24,7.21,7.23,14811,0,0,2026-01-29 10:06:00
ASPI,7.23,7.27,7.22,7.26,13496,0,0,2026-01-29 10:07:00
ASPI,7.25,7.28,7.23,7.23,42730,0,0,2026-01-29 10:08:00
ASPI,7.22,7.23,7.21,7.21,9168,7.2,7.22,2026-01-29 10:10:00
ASPI,7.2,7.2,7.15,7.18,48412,0,0,2026-01-29 10:10:00
ASPI,7.18,7.2,7.16,7.2,14351,0,0,2026-01-29 10:11:00
ASPI,7.2,7.22,7.17,7.21,17596,0,0,2026-01-29 10:12:00
ASPI,7.21,7.23,7.17,7.17,30642,0,0,2026-01-29 10:13:00
ASPI,7.17,7.24,7.17,7.23,48553,0,0,2026-01-29 10:14:00
ASPI,7.24,7.26,7.24,7.26,22368,0,0,2026-01-29 10:15:00
ASPI,7.27,7.27,7.22,7.23,22645,0,0,2026-01-29 10:16:00
ASPI,7.22,7.24,7.18,7.22,23697,0,0,2026-01-29 10:17:00
ASPI,7.22,7.22,7.17,7.19,13914,0,0,2026-01-29 10:18:00
ASPI,7.19,7.22,7.17,7.17,24727,0,0,2026-01-29 10:19:00
ASPI,7.18,7.22,7.17,7.22,13781,0,0,2026-01-29 10:20:00
ASPI,7.22,7.25,7.21,7.23,22116,0,0,2026-01-29 10:21:00
ASPI,7.23,7.24,7.22,7.23,13195,0,0,2026-01-29 10:22:00
ASPI,7.23,7.24,7.21,7.22,5473,0,0,2026-01-29 10:23:00
ASPI,7.22,7.24,7.21,7.24,5188,0,0,2026-01-29 10:24:00
ASPI,7.24,7.27,7.24,7.25,21343,0,0,2026-01-29 10:25:00
ASPI,7.25,7.27,7.25,7.26,9209,0,0,2026-01-29 10:26:00
ASPI,7.26,7.28,7.22,7.23,9226,0,0,2026-01-29 10:27:00
ASPI,7.21,7.22,7.18,7.18,15667,0,0,2026-01-29 10:28:00
ASPI,7.16,7.18,7.15,7.17,24470,0,0,2026-01-29 10:29:00
ASPI,7.16,7.19,7.16,7.17,8423,0,0,2026-01-29 10:30:00
ASPI,7.17,7.19,7.17,7.19,7744,0,0,2026-01-29 10:31:00
ASPI,7.17,7.17,7.15,7.15,20663,0,0,2026-01-29 10:32:00
ASPI,7.15,7.2,7.14,7.18,48247,0,0,2026-01-29 10:33:00
ASPI,7.19,7.2,7.18,7.19,19160,0,0,2026-01-29 10:34:00
ASPI,7.19,7.2,7.12,7.14,48056,0,0,2026-01-29 10:35:00
ASPI,7.14,7.14,7.11,7.12,24936,0,0,2026-01-29 10:36:00
ASPI,7.12,7.14,7.12,7.12,29765,0,0,2026-01-29 10:37:00
ASPI,7.12,7.12,7.06,7.11,91506,0,0,2026-01-29 10:38:00
ASPI,7.11,7.11,7.07,7.09,35635,0,0,2026-01-29 10:39:00
ASPI,7.09,7.09,7.07,7.08,8922,0,0,2026-01-29 10:40:00
ASPI,7.07,7.1,7.06,7.1,15075,0,0,2026-01-29 10:41:00
ASPI,7.09,7.11,7.09,7.1,9637,0,0,2026-01-29 10:42:00
ASPI,7.09,7.1,7.09,7.09,10119,0,0,2026-01-29 10:43:00
ASPI,7.09,7.1,7.07,7.1,23506,0,0,2026-01-29 10:44:00
ASPI,7.11,7.12,7.11,7.12,4327,0,0,2026-01-29 10:45:00
ASPI,7.11,7.14,7.1,7.12,10614,0,0,2026-01-29 10:46:00
ASPI,7.12,7.17,7.12,7.17,10333,0,0,2026-01-29 10:47:00
ASPI,7.16,7.17,7.14,7.14,6728,0,0,2026-01-29 10:48:00
ASPI,7.14,7.14,7.13,7.13,9150,0,0,2026-01-29 10:49:00
ASPI,7.13,7.13,7.08,7.08,26021,0,0,2026-01-29 10:50:00
ASPI,7.07,7.07,7.03,7.04,46444,0,0,2026-01-29 10:51:00
ASPI,7.04,7.04,7.0,7.0,50799,0,0,2026-01-29 10:52:00
ASPI,6.99,7.0,6.96,6.97,45661,0,0,2026-01-29 10:53:00
ASPI,6.97,7.01,6.97,7.0,18043,0,0,2026-01-29 10:54:00
ASPI,7.0,7.03,6.99,7.03,11776,0,0,2026-01-29 10:55:00
ASPI,7.03,7.07,7.03,7.06,17474,0,0,2026-01-29 10:56:00
ASPI,7.05,7.08,7.05,7.08,6661,0,0,2026-01-29 10:57:00
ASPI,7.08,7.08,7.05,7.05,15325,0,0,2026-01-29 10:58:00
ASPI,7.05,7.05,7.04,7.04,8229,0,0,2026-01-29 10:59:00
ASPI,7.03,7.04,7.02,7.03,15320,0,0,2026-01-29 11:00:00
ASPI,7.03,7.03,7.0,7.0,4278,0,0,2026-01-29 11:01:00
ASPI,7.0,7.0,6.97,6.99,29204,0,0,2026-01-29 11:02:00
ASPI,6.99,7.0,6.99,7.0,10694,0,0,2026-01-29 11:03:00
ASPI,7.0,7.0,6.96,6.97,12064,0,0,2026-01-29 11:04:00
ASPI,6.96,7.01,6.96,7.0,12019,0,0,2026-01-29 11:05:00
ASPI,7.0,7.01,7.0,7.0,7367,0,0,2026-01-29 11:06:00
ASPI,7.01,7.01,6.99,7.0,19373,0,0,2026-01-29 11:07:00
ASPI,6.99,7.03,6.99,7.02,11761,0,0,2026-01-29 11:08:00
ASPI,7.03,7.04,7.02,7.03,8251,0,0,2026-01-29 11:09:00
ASPI,7.02,7.02,6.99,6.99,33855,0,0,2026-01-29 11:10:00
ASPI,6.99,7.06,6.98,7.06,19698,0,0,2026-01-29 11:11:00
ASPI,7.04,7.07,7.04,7.05,4903,0,0,2026-01-29 11:12:00
ASPI,7.07,7.09,7.07,7.08,6153,0,0,2026-01-29 11:13:00
ASPI,7.09,7.1,7.08,7.09,17384,0,0,2026-01-29 11:14:00
ASPI,7.09,7.11,7.09,7.1,10454,0,0,2026-01-29 11:15:00
ASPI,7.1,7.1,7.07,7.09,14462,0,0,2026-01-29 11:16:00
ASPI,7.09,7.09,7.06,7.08,12697,0,0,2026-01-29 11:17:00
ASPI,7.08,7.09,7.07,7.09,30599,0,0,2026-01-29 11:18:00
ASPI,7.09,7.11,7.09,7.09,6188,0,0,2026-01-29 11:19:00
ASPI,7.09,7.12,7.09,7.12,7464,0,0,2026-01-29 11:20:00
ASPI,7.12,7.13,7.11,7.13,14035,0,0,2026-01-29 11:21:00
ASPI,7.12,7.13,7.08,7.08,20358,0,0,2026-01-29 11:22:00
ASPI,7.08,7.11,7.08,7.1,17096,0,0,2026-01-29 11:23:00
ASPI,7.1,7.11,7.08,7.1,7636,0,0,2026-01-29 11:24:00
ASPI,7.1,7.12,7.09,7.11,5829,0,0,2026-01-29 11:25:00
ASPI,7.11,7.14,7.1,7.12,15708,0,0,2026-01-29 11:26:00
ASPI,7.13,7.13,7.09,7.12,40122,0,0,2026-01-29 11:27:00
ASPI,7.11,7.13,7.09,7.09,21078,0,0,2026-01-29 11:28:00
ASPI,7.09,7.11,7.09,7.09,15559,0,0,2026-01-29 11:29:00
ASPI,7.09,7.11,7.09,7.11,11019,0,0,2026-01-29 11:30:00
ASPI,7.1,7.11,7.08,7.1,5976,0,0,2026-01-29 11:31:00
ASPI,7.09,7.1,7.09,7.09,4856,7.09,7.1,2026-01-29 11:33:00
ASPI,7.09,7.11,7.09,7.09,14845,0,0,2026-01-29 11:33:00
ASPI,7.1,7.11,7.1,7.11,6887,0,0,2026-01-29 11:34:00
ASPI,7.11,7.12,7.1,7.12,4610,0,0,2026-01-29 11:35:00
ASPI,7.12,7.13,7.1,7.1,4593,0,0,2026-01-29 11:36:00
