Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AUR,4.5,4.5,4.5,4.5,1001,0,0,2026-01-29 08:08:00
AUR,4.47,4.47,4.47,4.47,1316,0,0,2026-01-29 08:32:00
AUR,4.45,4.45,4.45,4.45,510,0,0,2026-01-29 08:35:00
AUR,4.45,4.45,4.45,4.45,125,4.45,4.49,2026-01-29 08:40:00
AUR,4.45,4.45,4.45,4.45,100,0,0,2026-01-29 08:41:00
AUR,4.45,4.45,4.45,4.45,103,0,0,2026-01-29 08:42:00
AUR,4.45,4.45,4.45,4.45,600,0,0,2026-01-29 08:46:00
AUR,4.49,4.49,4.49,4.49,1002,4.45,4.49,2026-01-29 08:48:00
AUR,4.45,4.45,4.45,4.45,500,4.45,4.49,2026-01-29 08:53:00
AUR,4.45,4.45,4.45,4.45,100,0,0,2026-01-29 08:55:00
AUR,4.48,4.48,4.48,4.48,228,4.46,4.49,2026-01-29 09:01:00
AUR,4.46,4.46,4.46,4.46,533,0,0,2026-01-29 09:03:00
AUR,4.45,4.45,4.45,4.45,1417,0,0,2026-01-29 09:07:00
AUR,4.43,4.43,4.43,4.43,951,0,0,2026-01-29 09:10:00
AUR,4.43,4.43,4.43,4.43,303,0,0,2026-01-29 09:11:00
AUR,4.46,4.46,4.46,4.46,505,0,0,2026-01-29 09:16:00
AUR,4.43,4.43,4.43,4.43,100,0,0,2026-01-29 09:18:00
AUR,4.43,4.43,4.43,4.43,1018,0,0,2026-01-29 09:22:00
AUR,4.46,4.46,4.46,4.46,260,4.43,4.46,2026-01-29 09:24:00
AUR,4.47,4.47,4.47,4.47,1000,0,0,2026-01-29 09:25:00
AUR,4.44,4.45,4.4,4.42,144293,0,0,2026-01-29 09:30:00
AUR,4.42,4.42,4.38,4.38,80686,0,0,2026-01-29 09:31:00
AUR,4.38,4.4,4.36,4.37,24715,4.36,4.37,2026-01-29 09:33:00
AUR,4.36,4.38,4.36,4.38,41932,0,0,2026-01-29 09:33:00
AUR,4.37,4.39,4.37,4.39,44412,0,0,2026-01-29 09:34:00
AUR,4.38,4.39,4.37,4.37,37258,0,0,2026-01-29 09:35:00
AUR,4.37,4.38,4.36,4.37,25583,0,0,2026-01-29 09:36:00
AUR,4.36,4.39,4.36,4.39,47526,0,0,2026-01-29 09:37:00
AUR,4.38,4.42,4.38,4.41,117891,0,0,2026-01-29 09:38:00
AUR,4.41,4.41,4.38,4.38,96737,0,0,2026-01-29 09:39:00
AUR,4.38,4.38,4.37,4.38,28847,0,0,2026-01-29 09:40:00
AUR,4.38,4.38,4.36,4.36,45759,0,0,2026-01-29 09:41:00
AUR,4.36,4.36,4.35,4.36,15672,0,0,2026-01-29 09:42:00
AUR,4.36,4.36,4.34,4.34,67960,0,0,2026-01-29 09:43:00
AUR,4.34,4.34,4.33,4.33,36924,0,0,2026-01-29 09:44:00
AUR,4.33,4.34,4.33,4.33,55190,0,0,2026-01-29 09:45:00
AUR,4.33,4.36,4.33,4.36,22071,0,0,2026-01-29 09:46:00
AUR,4.36,4.36,4.33,4.36,139339,0,0,2026-01-29 09:47:00
