Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AVA,40.54,40.7,40.54,40.7,5428,0,0,2026-01-29 09:30:00
AVA,40.45,40.45,40.45,40.45,129,0,0,2026-01-29 09:31:00
AVA,40.53,40.69,40.53,40.69,1153,0,0,2026-01-29 09:35:00
AVA,40.73,40.74,40.73,40.74,545,0,0,2026-01-29 09:37:00
AVA,40.75,40.86,40.73,40.86,874,0,0,2026-01-29 09:38:00
AVA,40.84,40.84,40.84,40.84,387,0,0,2026-01-29 09:41:00
AVA,40.71,40.71,40.64,40.64,1523,0,0,2026-01-29 09:43:00
AVA,40.57,40.57,40.57,40.57,1892,0,0,2026-01-29 09:44:00
AVA,40.57,40.65,40.57,40.65,2808,0,0,2026-01-29 09:45:00
AVA,40.54,40.54,40.52,40.52,426,0,0,2026-01-29 09:47:00
AVA,40.55,40.57,40.55,40.57,1903,0,0,2026-01-29 09:49:00
AVA,40.66,40.66,40.59,40.62,766,0,0,2026-01-29 09:50:00
AVA,40.65,40.65,40.65,40.65,349,0,0,2026-01-29 09:51:00
AVA,40.66,40.7,40.66,40.7,913,0,0,2026-01-29 09:54:00
AVA,40.76,40.76,40.76,40.76,362,0,0,2026-01-29 10:00:00
AVA,40.75,40.75,40.75,40.75,323,0,0,2026-01-29 10:02:00
AVA,40.73,40.75,40.73,40.75,1512,40.71,40.77,2026-01-29 10:06:00
AVA,40.74,40.74,40.7,40.71,1223,0,0,2026-01-29 10:06:00
AVA,40.69,40.71,40.68,40.7,1867,0,0,2026-01-29 10:07:00
AVA,40.7,40.72,40.7,40.7,2630,0,0,2026-01-29 10:09:00
AVA,40.69,40.74,40.69,40.73,2037,0,0,2026-01-29 10:11:00
AVA,40.74,40.74,40.74,40.74,313,0,0,2026-01-29 10:12:00
AVA,40.73,40.73,40.73,40.73,521,0,0,2026-01-29 10:13:00
AVA,40.72,40.72,40.72,40.72,292,0,0,2026-01-29 10:14:00
AVA,40.74,40.78,40.74,40.78,1569,0,0,2026-01-29 10:15:00
AVA,40.74,40.74,40.74,40.74,803,0,0,2026-01-29 10:17:00
AVA,40.72,40.72,40.72,40.72,427,0,0,2026-01-29 10:21:00
AVA,40.73,40.74,40.73,40.74,998,0,0,2026-01-29 10:22:00
