Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AVD,4.85,4.86,4.85,4.86,3395,0,0,2026-01-29 09:30:00
AVD,4.9,4.9,4.9,4.9,130,0,0,2026-01-29 09:33:00
AVD,4.89,4.89,4.89,4.89,1000,0,0,2026-01-29 09:44:00
AVD,4.82,4.82,4.82,4.82,300,0,0,2026-01-29 09:46:00
AVD,4.79,4.8,4.79,4.8,769,0,0,2026-01-29 09:54:00
AVD,4.8,4.8,4.8,4.8,102,0,0,2026-01-29 09:55:00
AVD,4.8,4.8,4.8,4.8,114,0,0,2026-01-29 09:59:00
AVD,4.78,4.78,4.78,4.78,2287,0,0,2026-01-29 10:01:00
AVD,4.75,4.79,4.74,4.79,5284,0,0,2026-01-29 10:03:00
AVD,4.79,4.81,4.79,4.8,4041,0,0,2026-01-29 10:04:00
AVD,4.81,4.81,4.81,4.81,709,0,0,2026-01-29 10:05:00
AVD,4.84,4.84,4.84,4.84,351,0,0,2026-01-29 10:06:00
AVD,4.85,4.88,4.85,4.87,1483,0,0,2026-01-29 10:07:00
AVD,4.87,4.87,4.87,4.87,333,0,0,2026-01-29 10:08:00
AVD,4.86,4.86,4.86,4.86,449,0,0,2026-01-29 10:12:00
AVD,4.86,4.86,4.86,4.86,110,0,0,2026-01-29 10:24:00
AVD,4.85,4.85,4.85,4.85,136,0,0,2026-01-29 10:27:00
AVD,4.83,4.83,4.83,4.83,224,0,0,2026-01-29 10:33:00
AVD,4.85,4.85,4.85,4.85,100,0,0,2026-01-29 10:35:00
AVD,4.85,4.85,4.85,4.85,200,0,0,2026-01-29 10:40:00
AVD,4.83,4.84,4.83,4.84,432,0,0,2026-01-29 10:42:00
AVD,4.84,4.84,4.84,4.84,329,4.83,4.85,2026-01-29 10:45:00
AVD,4.84,4.84,4.84,4.84,238,0,0,2026-01-29 10:46:00
AVD,4.84,4.84,4.84,4.84,100,0,0,2026-01-29 10:47:00
AVD,4.85,4.85,4.85,4.85,1192,0,0,2026-01-29 10:48:00
AVD,4.84,4.84,4.84,4.84,156,0,0,2026-01-29 10:52:00
AVD,4.83,4.84,4.83,4.84,1262,0,0,2026-01-29 10:53:00
AVD,4.83,4.83,4.82,4.83,1039,0,0,2026-01-29 10:55:00
AVD,4.83,4.83,4.83,4.83,110,0,0,2026-01-29 10:57:00
AVD,4.81,4.81,4.8,4.8,3113,0,0,2026-01-29 11:00:00
AVD,4.82,4.82,4.82,4.82,114,0,0,2026-01-29 11:01:00
AVD,4.82,4.82,4.82,4.82,110,0,0,2026-01-29 11:08:00
AVD,4.82,4.83,4.82,4.83,3946,0,0,2026-01-29 11:10:00
AVD,4.84,4.87,4.84,4.87,2039,0,0,2026-01-29 11:12:00
AVD,4.88,4.88,4.88,4.88,170,0,0,2026-01-29 11:20:00
AVD,4.87,4.87,4.87,4.87,110,0,0,2026-01-29 11:21:00
AVD,4.85,4.85,4.85,4.85,456,0,0,2026-01-29 11:22:00
AVD,4.84,4.84,4.84,4.84,183,0,0,2026-01-29 11:26:00
AVD,4.83,4.83,4.83,4.83,161,0,0,2026-01-29 11:32:00
AVD,4.83,4.83,4.83,4.83,123,0,0,2026-01-29 11:35:00
AVD,4.82,4.82,4.82,4.82,150,0,0,2026-01-29 11:41:00
AVD,4.82,4.82,4.82,4.82,170,0,0,2026-01-29 11:44:00
AVD,4.83,4.85,4.83,4.85,1629,0,0,2026-01-29 11:46:00
AVD,4.87,4.87,4.87,4.87,289,0,0,2026-01-29 12:06:00
AVD,4.88,4.88,4.88,4.88,204,0,0,2026-01-29 12:09:00
AVD,4.89,4.89,4.88,4.88,2062,0,0,2026-01-29 12:20:00
AVD,4.87,4.87,4.87,4.87,501,0,0,2026-01-29 12:24:00
AVD,4.87,4.87,4.87,4.87,1081,0,0,2026-01-29 12:25:00
AVD,4.85,4.85,4.85,4.85,195,0,0,2026-01-29 12:29:00
AVD,4.87,4.9,4.87,4.9,3150,0,0,2026-01-29 12:36:00
AVD,4.9,4.9,4.9,4.9,111,0,0,2026-01-29 12:45:00
AVD,4.9,4.9,4.9,4.9,110,0,0,2026-01-29 12:57:00
