Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AVY,185.61,185.99,184.55,185.21,4556,0,0,2026-01-29 09:30:00
AVY,185.37,185.49,185.37,185.49,455,0,0,2026-01-29 09:31:00
AVY,185.49,185.58,185.49,185.58,643,184.63,187.44,2026-01-29 09:33:00
AVY,185.96,185.96,185.53,185.53,385,0,0,2026-01-29 09:35:00
AVY,185.87,185.87,185.71,185.71,1161,0,0,2026-01-29 09:37:00
AVY,185.66,185.66,185.66,185.66,225,0,0,2026-01-29 09:38:00
AVY,186.17,186.17,185.89,185.89,1100,0,0,2026-01-29 09:39:00
AVY,186.18,186.46,186.18,186.46,1034,0,0,2026-01-29 09:40:00
AVY,186.22,186.22,186.22,186.22,248,0,0,2026-01-29 09:41:00
AVY,185.42,185.42,185.42,185.42,1096,0,0,2026-01-29 09:43:00
AVY,184.77,184.79,184.77,184.79,799,0,0,2026-01-29 09:45:00
AVY,184.76,184.76,184.53,184.53,1217,0,0,2026-01-29 09:46:00
AVY,184.51,184.52,184.51,184.52,1672,0,0,2026-01-29 09:47:00
AVY,184.51,184.51,184.51,184.51,682,0,0,2026-01-29 09:48:00
AVY,184.96,184.99,184.96,184.99,1508,0,0,2026-01-29 09:49:00
AVY,185.49,185.49,184.76,184.76,1959,0,0,2026-01-29 09:50:00
AVY,184.81,184.98,184.62,184.98,981,0,0,2026-01-29 09:53:00
AVY,185.45,185.47,185.2,185.34,1679,0,0,2026-01-29 09:55:00
AVY,185.19,185.19,185.19,185.19,523,0,0,2026-01-29 09:57:00
AVY,185.19,185.19,185.19,185.19,707,0,0,2026-01-29 09:58:00
AVY,184.83,184.83,184.83,184.83,666,0,0,2026-01-29 09:59:00
AVY,185.12,185.2,185.12,185.2,583,0,0,2026-01-29 10:01:00
AVY,185.22,185.22,185.03,185.03,981,0,0,2026-01-29 10:02:00
AVY,185.22,185.22,185.09,185.09,740,0,0,2026-01-29 10:04:00
AVY,185,185.03,184.96,185.03,1520,184.98,185.47,2026-01-29 10:06:00
AVY,184.94,184.94,184.94,184.94,583,0,0,2026-01-29 10:06:00
AVY,184.76,184.76,184.45,184.45,1306,0,0,2026-01-29 10:07:00
AVY,184.59,184.59,184.5,184.59,1045,0,0,2026-01-29 10:08:00
AVY,184.44,184.72,184.44,184.72,702,0,0,2026-01-29 10:09:00
AVY,184.48,184.72,184.46,184.46,1705,0,0,2026-01-29 10:11:00
AVY,184.56,184.56,184.56,184.56,642,0,0,2026-01-29 10:12:00
AVY,184.56,184.74,184.56,184.63,1015,0,0,2026-01-29 10:14:00
AVY,184.78,184.78,184.49,184.54,2893,0,0,2026-01-29 10:15:00
AVY,184.6,184.8,184.54,184.54,1052,0,0,2026-01-29 10:16:00
AVY,184.49,184.49,184.43,184.43,994,0,0,2026-01-29 10:17:00
AVY,184.5,184.5,184.48,184.49,2118,0,0,2026-01-29 10:18:00
AVY,184.49,184.49,184.3,184.48,481,0,0,2026-01-29 10:19:00
AVY,184.49,184.63,184.49,184.52,2351,0,0,2026-01-29 10:20:00
AVY,184.75,184.75,184.75,184.75,357,0,0,2026-01-29 10:21:00
AVY,184.56,184.56,184.56,184.56,225,0,0,2026-01-29 10:24:00
AVY,184.59,184.59,184.39,184.5,827,0,0,2026-01-29 10:29:00
AVY,184.59,184.59,184.59,184.59,291,0,0,2026-01-29 10:30:00
AVY,184.37,184.57,184.37,184.56,1851,0,0,2026-01-29 10:32:00
AVY,184.71,184.71,184.66,184.66,1303,0,0,2026-01-29 10:33:00
AVY,184.5,184.5,184.5,184.5,287,0,0,2026-01-29 10:35:00
AVY,184.6,184.6,184.6,184.6,228,0,0,2026-01-29 10:36:00
AVY,184.4,184.6,184.4,184.6,647,0,0,2026-01-29 10:37:00
AVY,184.6,184.6,184.6,184.6,325,0,0,2026-01-29 10:38:00
AVY,184.77,184.77,184.77,184.77,450,0,0,2026-01-29 10:39:00
AVY,184.72,184.72,184.72,184.72,292,0,0,2026-01-29 10:41:00
AVY,184.72,184.91,184.72,184.91,1963,0,0,2026-01-29 10:43:00
AVY,184.67,184.67,184.51,184.67,3834,184.36,184.95,2026-01-29 10:45:00
AVY,184.7,184.71,184.7,184.71,557,0,0,2026-01-29 10:45:00
AVY,184.72,184.72,184.69,184.69,312,0,0,2026-01-29 10:46:00
AVY,184.78,184.78,184.78,184.78,1390,0,0,2026-01-29 10:47:00
AVY,184.96,185.08,184.96,184.96,2517,0,0,2026-01-29 10:48:00
AVY,184.98,184.98,184.98,184.98,516,0,0,2026-01-29 10:49:00
AVY,185.29,185.53,185.22,185.53,3579,0,0,2026-01-29 10:56:00
AVY,185.43,185.56,185.42,185.56,1078,0,0,2026-01-29 10:57:00
AVY,185.31,185.31,185.31,185.31,328,0,0,2026-01-29 10:58:00
AVY,185.31,185.31,185.25,185.29,899,0,0,2026-01-29 11:00:00
AVY,185.29,185.29,185.29,185.29,147,0,0,2026-01-29 11:01:00
AVY,185.13,185.13,184.88,184.88,3358,0,0,2026-01-29 11:04:00
AVY,184.84,184.84,184.84,184.84,692,0,0,2026-01-29 11:05:00
AVY,184.75,184.77,184.74,184.74,1711,0,0,2026-01-29 11:06:00
AVY,184.68,184.68,184.68,184.68,365,0,0,2026-01-29 11:07:00
AVY,184.68,184.71,184.66,184.71,1881,0,0,2026-01-29 11:08:00
AVY,184.71,184.76,184.63,184.63,1308,0,0,2026-01-29 11:09:00
AVY,184.57,184.57,184.57,184.57,291,0,0,2026-01-29 11:10:00
AVY,184.73,184.73,184.73,184.73,1247,0,0,2026-01-29 11:11:00
AVY,185.21,185.21,185.21,185.21,286,0,0,2026-01-29 11:13:00
AVY,185.06,185.06,185.06,185.06,414,0,0,2026-01-29 11:17:00
AVY,185.06,185.06,185.05,185.05,881,0,0,2026-01-29 11:18:00
AVY,185.32,185.33,185.32,185.33,744,0,0,2026-01-29 11:20:00
AVY,185.27,185.27,185.27,185.27,247,0,0,2026-01-29 11:21:00
AVY,185.07,185.07,185.07,185.07,1167,0,0,2026-01-29 11:22:00
AVY,184.94,184.94,184.94,184.94,362,0,0,2026-01-29 11:23:00
AVY,184.81,184.81,184.72,184.72,1625,0,0,2026-01-29 11:28:00
AVY,184.74,184.74,184.7,184.7,737,0,0,2026-01-29 11:29:00
AVY,184.89,184.89,184.89,184.89,270,0,0,2026-01-29 11:30:00
AVY,184.98,185.02,184.98,185.02,1139,0,0,2026-01-29 11:31:00
AVY,184.8,184.91,184.79,184.91,1225,0,0,2026-01-29 11:35:00
AVY,184.86,184.86,184.86,184.86,440,0,0,2026-01-29 11:37:00
AVY,185.15,185.15,184.94,184.94,561,0,0,2026-01-29 11:39:00
AVY,184.99,184.99,184.99,184.99,437,0,0,2026-01-29 11:41:00
AVY,185.03,185.03,185.03,185.03,153,0,0,2026-01-29 11:42:00
AVY,184.96,184.96,184.96,184.96,229,0,0,2026-01-29 11:43:00
AVY,184.94,184.94,184.77,184.77,712,0,0,2026-01-29 11:45:00
AVY,184.73,184.74,184.7,184.7,755,0,0,2026-01-29 11:47:00
AVY,184.79,184.82,184.79,184.81,605,0,0,2026-01-29 11:48:00
AVY,184.9,184.91,184.9,184.91,1007,0,0,2026-01-29 11:49:00
AVY,184.99,184.99,184.99,184.99,173,0,0,2026-01-29 11:50:00
AVY,185.04,185.04,184.96,184.96,276,0,0,2026-01-29 11:57:00
AVY,185.06,185.06,185.06,185.06,270,0,0,2026-01-29 11:58:00
AVY,185.05,185.05,184.92,184.92,1723,0,0,2026-01-29 11:59:00
AVY,185.06,185.07,184.88,185.06,823,0,0,2026-01-29 12:03:00
