Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AXAHY,45.94,45.94,45.94,45.94,400,0,0,2026-01-29 09:29:00
AXAHY,45.93,45.98,45.93,45.93,1070,0,0,2026-01-29 09:30:00
AXAHY,46.02,46.02,46.0,46.0,447,0,0,2026-01-29 09:37:00
AXAHY,46.03,46.03,46.03,46.03,441,0,0,2026-01-29 09:41:00
AXAHY,46.03,46.03,46.03,46.03,185,0,0,2026-01-29 09:43:00
AXAHY,45.94,45.94,45.94,45.94,210,0,0,2026-01-29 09:46:00
AXAHY,45.88,45.88,45.87,45.87,362,0,0,2026-01-29 09:48:00
AXAHY,45.72,45.72,45.72,45.72,126,0,0,2026-01-29 10:00:00
AXAHY,45.81,45.81,45.81,45.81,380,0,0,2026-01-29 10:05:00
AXAHY,45.74,45.74,45.74,45.74,125,0,0,2026-01-29 10:10:00
AXAHY,45.83,45.83,45.83,45.83,3956,0,0,2026-01-29 10:12:00
AXAHY,45.8,45.8,45.8,45.8,2063,0,0,2026-01-29 10:13:00
AXAHY,45.79,45.79,45.79,45.79,830,0,0,2026-01-29 10:14:00
AXAHY,45.77,45.77,45.77,45.77,703,0,0,2026-01-29 10:15:00
AXAHY,45.74,45.76,45.69,45.69,2959,0,0,2026-01-29 10:17:00
AXAHY,45.7,45.7,45.7,45.7,1010,0,0,2026-01-29 10:18:00
AXAHY,45.66,45.68,45.66,45.68,646,0,0,2026-01-29 10:25:00
AXAHY,45.68,45.68,45.66,45.68,627,0,0,2026-01-29 10:26:00
AXAHY,45.59,45.59,45.59,45.59,226,0,0,2026-01-29 10:28:00
AXAHY,45.52,45.52,45.52,45.52,500,0,0,2026-01-29 10:33:00
AXAHY,45.59,45.59,45.59,45.59,890,0,0,2026-01-29 10:34:00
AXAHY,45.58,45.58,45.58,45.58,765,0,0,2026-01-29 10:36:00
AXAHY,45.66,45.66,45.66,45.66,7131,0,0,2026-01-29 10:42:00
AXAHY,45.67,45.67,45.66,45.66,892,0,0,2026-01-29 10:46:00
AXAHY,45.69,45.69,45.69,45.69,535,0,0,2026-01-29 10:48:00
AXAHY,45.58,45.58,45.58,45.58,239,0,0,2026-01-29 10:52:00
AXAHY,45.66,45.66,45.66,45.66,5281,0,0,2026-01-29 10:56:00
AXAHY,45.65,45.66,45.64,45.64,4728,0,0,2026-01-29 10:59:00
AXAHY,45.65,45.65,45.65,45.65,1446,0,0,2026-01-29 11:00:00
AXAHY,45.61,45.61,45.61,45.61,284,0,0,2026-01-29 11:02:00
AXAHY,45.64,45.64,45.64,45.64,467,0,0,2026-01-29 11:06:00
AXAHY,45.65,45.65,45.65,45.65,901,0,0,2026-01-29 11:11:00
AXAHY,45.68,45.68,45.68,45.68,158,0,0,2026-01-29 11:12:00
AXAHY,45.7,45.7,45.7,45.7,234,0,0,2026-01-29 11:15:00
AXAHY,45.51,45.51,45.51,45.51,1128,0,0,2026-01-29 11:22:00
AXAHY,45.51,45.51,45.51,45.51,300,0,0,2026-01-29 11:23:00
AXAHY,45.31,45.31,45.31,45.31,159,0,0,2026-01-29 11:33:00
AXAHY,45.56,45.56,45.56,45.56,192,0,0,2026-01-29 11:34:00
AXAHY,45.47,45.47,45.47,45.47,306,0,0,2026-01-29 11:36:00
AXAHY,45.47,45.47,45.47,45.47,381,0,0,2026-01-29 11:37:00
AXAHY,45.5,45.5,45.5,45.5,457,0,0,2026-01-29 11:38:00
AXAHY,45.56,45.56,45.56,45.56,390,0,0,2026-01-29 11:43:00
AXAHY,45.6,45.6,45.6,45.6,244,0,0,2026-01-29 11:44:00
AXAHY,45.58,45.58,45.58,45.58,195,0,0,2026-01-29 11:54:00
AXAHY,45.6,45.6,45.6,45.6,111,0,0,2026-01-29 11:55:00
AXAHY,45.6,45.6,45.6,45.6,327,0,0,2026-01-29 11:56:00
AXAHY,45.6,45.6,45.6,45.6,387,0,0,2026-01-29 11:59:00
AXAHY,45.6,45.6,45.6,45.6,237,0,0,2026-01-29 12:00:00
AXAHY,45.62,45.62,45.62,45.62,1316,0,0,2026-01-29 12:03:00
AXAHY,45.63,45.67,45.63,45.67,328,0,0,2026-01-29 12:06:00
AXAHY,45.65,45.65,45.65,45.65,11714,0,0,2026-01-29 12:08:00
AXAHY,45.62,45.66,45.62,45.66,728,0,0,2026-01-29 12:11:00
AXAHY,45.68,45.68,45.68,45.68,1772,0,0,2026-01-29 12:13:00
AXAHY,45.74,45.74,45.74,45.74,115,0,0,2026-01-29 12:15:00
AXAHY,45.74,45.74,45.73,45.73,506,0,0,2026-01-29 12:29:00
AXAHY,45.74,45.74,45.74,45.74,269,0,0,2026-01-29 12:38:00
AXAHY,45.74,45.74,45.74,45.74,237,0,0,2026-01-29 12:39:00
AXAHY,45.77,45.81,45.74,45.81,1204,0,0,2026-01-29 12:46:00
AXAHY,45.78,45.78,45.78,45.78,192,0,0,2026-01-29 12:51:00
AXAHY,45.74,45.74,45.74,45.74,107,0,0,2026-01-29 12:55:00
