Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AXTA,33.96,33.96,33.96,33.96,300,33.82,34.3,2026-01-29 08:01:13
AXTA,34.18,34.5,34.18,34.31,14803,0,0,2026-01-29 09:30:00
AXTA,34.28,34.28,34.2,34.24,9768,0,0,2026-01-29 09:31:00
AXTA,34.24,34.24,34.16,34.16,5103,0,0,2026-01-29 09:32:00
AXTA,34.13,34.13,33.99,33.99,2346,0,0,2026-01-29 09:33:00
AXTA,34.04,34.1,34.0,34.05,2938,0,0,2026-01-29 09:34:00
AXTA,34.03,34.07,34.01,34.01,3020,0,0,2026-01-29 09:35:00
AXTA,34.03,34.05,34.0,34.01,2762,0,0,2026-01-29 09:36:00
AXTA,34.01,34.05,33.98,34.02,11191,0,0,2026-01-29 09:37:00
AXTA,33.98,33.99,33.96,33.98,3611,0,0,2026-01-29 09:38:00
AXTA,33.99,34.03,33.97,34.03,9671,0,0,2026-01-29 09:39:00
AXTA,34.03,34.1,34.03,34.09,3060,0,0,2026-01-29 09:40:00
AXTA,34.09,34.1,34.06,34.06,6680,0,0,2026-01-29 09:41:00
AXTA,34.06,34.06,34.0,34.04,18121,0,0,2026-01-29 09:42:00
AXTA,34.04,34.04,33.98,33.98,23760,0,0,2026-01-29 09:43:00
AXTA,33.98,33.98,33.94,33.94,6015,0,0,2026-01-29 09:44:00
AXTA,33.93,33.93,33.9,33.91,3729,0,0,2026-01-29 09:45:00
AXTA,33.93,33.95,33.89,33.95,8991,0,0,2026-01-29 09:46:00
AXTA,33.93,33.93,33.87,33.88,13956,0,0,2026-01-29 09:47:00
AXTA,33.88,33.88,33.87,33.87,2460,0,0,2026-01-29 09:48:00
AXTA,33.87,33.98,33.87,33.98,5686,0,0,2026-01-29 09:49:00
AXTA,33.96,33.96,33.92,33.92,1977,0,0,2026-01-29 09:50:00
AXTA,33.92,33.93,33.91,33.91,4391,0,0,2026-01-29 09:51:00
AXTA,33.92,33.93,33.9,33.92,8304,0,0,2026-01-29 09:52:00
AXTA,33.92,33.93,33.9,33.93,6526,0,0,2026-01-29 09:53:00
AXTA,33.91,34.04,33.91,34.02,8496,0,0,2026-01-29 09:54:00
AXTA,34.02,34.02,33.95,33.97,5734,0,0,2026-01-29 09:55:00
AXTA,33.97,33.99,33.96,33.97,5460,0,0,2026-01-29 09:56:00
AXTA,33.95,33.96,33.92,33.94,3422,0,0,2026-01-29 09:57:00
AXTA,33.93,33.93,33.84,33.84,7238,0,0,2026-01-29 09:58:00
AXTA,33.83,33.85,33.79,33.8,5249,0,0,2026-01-29 09:59:00
AXTA,33.8,33.83,33.8,33.82,3551,0,0,2026-01-29 10:00:00
AXTA,33.8,33.82,33.78,33.8,12480,0,0,2026-01-29 10:01:00
AXTA,33.79,33.83,33.78,33.82,8276,0,0,2026-01-29 10:02:00
AXTA,33.82,33.87,33.8,33.87,10889,0,0,2026-01-29 10:03:00
AXTA,33.82,33.86,33.82,33.86,3859,0,0,2026-01-29 10:04:00
AXTA,33.84,33.89,33.84,33.87,2149,0,0,2026-01-29 10:05:00
AXTA,33.88,33.88,33.84,33.84,3267,0,0,2026-01-29 10:06:00
AXTA,33.8,33.81,33.74,33.74,13818,0,0,2026-01-29 10:07:00
AXTA,33.73,33.74,33.72,33.73,2353,0,0,2026-01-29 10:08:00
AXTA,33.74,33.76,33.73,33.74,5431,0,0,2026-01-29 10:09:00
AXTA,33.72,33.72,33.67,33.71,5842,0,0,2026-01-29 10:10:00
AXTA,33.7,33.73,33.69,33.72,11340,0,0,2026-01-29 10:11:00
AXTA,33.73,33.74,33.72,33.74,5096,0,0,2026-01-29 10:12:00
AXTA,33.72,33.73,33.68,33.7,19714,0,0,2026-01-29 10:13:00
AXTA,33.7,33.78,33.7,33.78,2898,0,0,2026-01-29 10:14:00
AXTA,33.77,33.82,33.77,33.82,3407,0,0,2026-01-29 10:15:00
AXTA,33.81,33.81,33.78,33.8,4591,0,0,2026-01-29 10:16:00
AXTA,33.77,33.77,33.74,33.75,2743,0,0,2026-01-29 10:17:00
AXTA,33.75,33.77,33.74,33.75,2147,0,0,2026-01-29 10:18:00
AXTA,33.74,33.77,33.73,33.74,2100,0,0,2026-01-29 10:19:00
AXTA,33.72,33.77,33.72,33.77,2283,0,0,2026-01-29 10:20:00
AXTA,33.78,33.79,33.75,33.75,6244,0,0,2026-01-29 10:21:00
AXTA,33.73,33.73,33.72,33.72,1594,0,0,2026-01-29 10:22:00
AXTA,33.7,33.72,33.7,33.71,4899,0,0,2026-01-29 10:23:00
AXTA,33.71,33.73,33.7,33.71,2743,0,0,2026-01-29 10:24:00
AXTA,33.73,33.73,33.71,33.73,1364,0,0,2026-01-29 10:25:00
AXTA,33.7,33.72,33.66,33.66,2065,0,0,2026-01-29 10:26:00
AXTA,33.68,33.71,33.65,33.65,7998,0,0,2026-01-29 10:27:00
AXTA,33.62,33.63,33.6,33.6,2392,0,0,2026-01-29 10:28:00
AXTA,33.62,33.63,33.59,33.61,7051,0,0,2026-01-29 10:29:00
AXTA,33.6,33.63,33.59,33.62,3343,0,0,2026-01-29 10:30:00
AXTA,33.63,33.63,33.6,33.6,889,0,0,2026-01-29 10:31:00
AXTA,33.62,33.62,33.59,33.61,1851,0,0,2026-01-29 10:32:00
AXTA,33.58,33.59,33.56,33.59,3464,0,0,2026-01-29 10:33:00
AXTA,33.56,33.58,33.56,33.58,880,0,0,2026-01-29 10:34:00
AXTA,33.56,33.56,33.54,33.54,2409,0,0,2026-01-29 10:35:00
AXTA,33.54,33.54,33.5,33.53,3444,0,0,2026-01-29 10:36:00
AXTA,33.53,33.57,33.53,33.56,5216,0,0,2026-01-29 10:37:00
AXTA,33.58,33.59,33.56,33.57,4137,0,0,2026-01-29 10:38:00
