Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
AZI,2.5,2.56,2.5,2.53,3429,0,0,2026-01-29 08:08:00
AZI,2.52,2.53,2.47,2.47,16124,0,0,2026-01-29 08:09:00
AZI,2.47,2.47,2.47,2.47,1648,0,0,2026-01-29 08:10:00
AZI,2.47,2.48,2.47,2.47,4800,0,0,2026-01-29 08:11:00
AZI,2.48,2.49,2.46,2.46,2202,0,0,2026-01-29 08:12:00
AZI,2.48,2.48,2.48,2.48,3071,0,0,2026-01-29 08:13:00
AZI,2.48,2.48,2.48,2.48,575,0,0,2026-01-29 08:14:00
AZI,2.48,2.5,2.48,2.5,14641,0,0,2026-01-29 08:15:00
AZI,2.52,2.52,2.49,2.51,12535,0,0,2026-01-29 08:16:00
AZI,2.52,2.52,2.51,2.52,10409,0,0,2026-01-29 08:17:00
AZI,2.51,2.55,2.5,2.5,8664,0,0,2026-01-29 08:18:00
AZI,2.5,2.51,2.49,2.49,2908,0,0,2026-01-29 08:19:00
AZI,2.49,2.49,2.49,2.49,413,0,0,2026-01-29 08:20:00
AZI,2.48,2.5,2.48,2.5,1433,0,0,2026-01-29 08:21:00
AZI,2.49,2.5,2.48,2.48,3643,0,0,2026-01-29 08:22:00
AZI,2.5,2.54,2.5,2.54,345,0,0,2026-01-29 08:23:00
AZI,2.54,2.54,2.54,2.54,174,0,0,2026-01-29 08:24:00
AZI,2.54,2.54,2.51,2.51,1393,0,0,2026-01-29 08:26:00
AZI,2.54,2.54,2.5,2.5,867,0,0,2026-01-29 08:27:00
AZI,2.5,2.5,2.5,2.5,257,0,0,2026-01-29 08:28:00
AZI,2.5,2.5,2.46,2.46,7484,0,0,2026-01-29 08:29:00
AZI,2.46,2.47,2.46,2.47,815,0,0,2026-01-29 08:30:00
AZI,2.48,2.5,2.48,2.5,8466,0,0,2026-01-29 08:34:00
AZI,2.48,2.48,2.45,2.45,2854,0,0,2026-01-29 08:35:00
AZI,2.45,2.45,2.44,2.45,1051,0,0,2026-01-29 08:36:00
AZI,2.44,2.47,2.44,2.44,886,0,0,2026-01-29 08:37:00
AZI,2.47,2.47,2.45,2.45,2408,0,0,2026-01-29 08:38:00
AZI,2.45,2.48,2.44,2.48,698,2.45,2.5,2026-01-29 08:40:00
AZI,2.5,2.5,2.48,2.5,1807,2.44,2.54,2026-01-29 08:41:00
AZI,2.44,2.52,2.44,2.52,841,2.44,2.5,2026-01-29 08:42:00
AZI,2.46,2.46,2.44,2.44,906,0,0,2026-01-29 08:42:00
AZI,2.48,2.5,2.48,2.5,663,0,0,2026-01-29 08:43:00
AZI,2.47,2.47,2.47,2.47,420,0,0,2026-01-29 08:44:00
AZI,2.46,2.46,2.46,2.46,509,2.43,2.5,2026-01-29 08:46:00
AZI,2.47,2.47,2.47,2.47,151,0,0,2026-01-29 08:51:00
AZI,2.44,2.44,2.44,2.44,467,2.43,2.5,2026-01-29 08:53:00
AZI,2.44,2.44,2.44,2.44,245,0,0,2026-01-29 08:53:00
AZI,2.45,2.45,2.45,2.45,413,2.44,2.5,2026-01-29 08:55:00
AZI,2.49,2.51,2.49,2.51,1585,0,0,2026-01-29 08:55:00
AZI,2.48,2.49,2.44,2.44,1643,0,0,2026-01-29 08:56:00
AZI,2.47,2.47,2.44,2.44,7006,0,0,2026-01-29 08:57:00
AZI,2.44,2.48,2.44,2.48,818,0,0,2026-01-29 08:58:00
AZI,2.47,2.48,2.47,2.47,12531,0,0,2026-01-29 08:59:00
AZI,2.49,2.49,2.49,2.49,1000,2.48,2.5,2026-01-29 09:01:00
AZI,2.49,2.49,2.49,2.49,383,0,0,2026-01-29 09:01:00
AZI,2.5,2.5,2.5,2.5,3753,0,0,2026-01-29 09:02:00
AZI,2.5,2.5,2.48,2.49,2230,0,0,2026-01-29 09:03:00
AZI,2.49,2.5,2.49,2.5,309,0,0,2026-01-29 09:04:00
AZI,2.49,2.49,2.48,2.49,611,2.47,2.5,2026-01-29 09:06:00
AZI,2.49,2.49,2.47,2.47,677,0,0,2026-01-29 09:06:00
AZI,2.49,2.49,2.49,2.49,505,2.47,2.49,2026-01-29 09:09:00
AZI,2.47,2.47,2.47,2.47,204,0,0,2026-01-29 09:11:00
AZI,2.54,2.54,2.47,2.47,497,0,0,2026-01-29 09:12:00
AZI,2.5,2.5,2.5,2.5,2000,2.5,2.55,2026-01-29 09:15:00
AZI,2.55,2.55,2.5,2.51,11880,0,0,2026-01-29 09:15:00
AZI,2.52,2.55,2.52,2.55,655,0,0,2026-01-29 09:16:00
AZI,2.5,2.55,2.47,2.49,8688,0,0,2026-01-29 09:17:00
AZI,2.43,2.43,2.42,2.42,1431,0,0,2026-01-29 09:18:00
AZI,2.45,2.45,2.45,2.45,172,0,0,2026-01-29 09:19:00
AZI,2.49,2.49,2.49,2.49,100,0,0,2026-01-29 09:20:00
AZI,2.45,2.45,2.45,2.45,1408,2.45,2.51,2026-01-29 09:24:00
AZI,2.45,2.45,2.45,2.45,1121,0,0,2026-01-29 09:24:00
AZI,2.49,2.5,2.48,2.49,1694,0,0,2026-01-29 09:27:00
AZI,2.5,2.55,2.5,2.5,2075,0,0,2026-01-29 09:28:00
AZI,2.5,2.5,2.42,2.45,21544,0,0,2026-01-29 09:30:00
AZI,2.43,2.48,2.41,2.41,9396,0,0,2026-01-29 09:31:00
AZI,2.43,2.43,2.38,2.41,20194,0,0,2026-01-29 09:32:00
AZI,2.38,2.42,2.38,2.4,6924,0,0,2026-01-29 09:33:00
AZI,2.38,2.42,2.38,2.42,3848,0,0,2026-01-29 09:34:00
AZI,2.42,2.46,2.41,2.43,7427,2.41,2.44,2026-01-29 09:36:00
AZI,2.41,2.41,2.41,2.41,2423,0,0,2026-01-29 09:36:00
AZI,2.42,2.42,2.42,2.42,493,0,0,2026-01-29 09:37:00
AZI,2.41,2.42,2.4,2.42,13672,0,0,2026-01-29 09:38:00
AZI,2.41,2.48,2.41,2.43,10736,0,0,2026-01-29 09:39:00
AZI,2.46,2.46,2.44,2.45,3652,0,0,2026-01-29 09:40:00
AZI,2.46,2.46,2.42,2.43,3830,0,0,2026-01-29 09:41:00
AZI,2.42,2.46,2.42,2.42,2181,0,0,2026-01-29 09:42:00
AZI,2.42,2.43,2.4,2.4,5605,0,0,2026-01-29 09:43:00
AZI,2.4,2.44,2.4,2.44,9364,0,0,2026-01-29 09:44:00
AZI,2.4,2.43,2.4,2.43,7406,0,0,2026-01-29 09:45:00
AZI,2.4,2.41,2.38,2.39,18597,0,0,2026-01-29 09:47:00
AZI,2.38,2.38,2.38,2.38,3642,0,0,2026-01-29 09:48:00
AZI,2.38,2.39,2.38,2.38,1866,0,0,2026-01-29 09:49:00
AZI,2.38,2.38,2.38,2.38,7358,0,0,2026-01-29 09:50:00
AZI,2.38,2.42,2.38,2.39,11478,0,0,2026-01-29 09:51:00
AZI,2.39,2.4,2.38,2.4,3341,0,0,2026-01-29 09:52:00
AZI,2.39,2.4,2.39,2.4,2790,0,0,2026-01-29 09:53:00
AZI,2.4,2.43,2.4,2.42,9568,0,0,2026-01-29 09:54:00
AZI,2.44,2.44,2.44,2.44,206,0,0,2026-01-29 09:55:00
AZI,2.45,2.48,2.44,2.45,10521,0,0,2026-01-29 09:56:00
AZI,2.47,2.48,2.46,2.48,1006,0,0,2026-01-29 09:57:00
AZI,2.46,2.46,2.46,2.46,4123,0,0,2026-01-29 09:58:00
AZI,2.46,2.47,2.44,2.45,4165,0,0,2026-01-29 09:59:00
AZI,2.45,2.45,2.44,2.44,7789,0,0,2026-01-29 10:00:00
AZI,2.44,2.46,2.44,2.46,850,0,0,2026-01-29 10:01:00
AZI,2.46,2.46,2.42,2.45,11001,0,0,2026-01-29 10:02:00
AZI,2.44,2.44,2.44,2.44,868,0,0,2026-01-29 10:03:00
AZI,2.45,2.45,2.42,2.42,857,0,0,2026-01-29 10:04:00
