Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
BAC,51.93,51.93,51.93,51.93,216,0,0,2026-01-29 08:18:00
BAC,51.97,51.98,51.97,51.98,1770,0,0,2026-01-29 08:21:00
BAC,51.97,51.97,51.97,51.97,450,0,0,2026-01-29 08:22:00
BAC,51.96,51.98,51.96,51.98,5795,0,0,2026-01-29 08:25:00
BAC,52.0,52.0,52.0,52.0,157,0,0,2026-01-29 08:26:00
BAC,51.99,51.99,51.99,51.99,102,0,0,2026-01-29 08:27:00
BAC,51.99,52.0,51.99,52.0,969,0,0,2026-01-29 08:28:00
BAC,52.0,52.0,52.0,52.0,954,0,0,2026-01-29 08:30:00
BAC,52.01,52.01,52.01,52.01,1043,0,0,2026-01-29 08:33:00
BAC,52.01,52.01,52.01,52.01,354,0,0,2026-01-29 08:34:00
BAC,52.04,52.04,52.04,52.04,173,0,0,2026-01-29 08:35:00
BAC,52.05,52.05,52.0,52.0,6052,0,0,2026-01-29 08:38:00
BAC,52,52,52,52,158,51.97,52.05,2026-01-29 08:42:00
BAC,52.02,52.05,51.97,52.05,666,0,0,2026-01-29 08:43:00
BAC,52,52,52,52,416,51.93,52.05,2026-01-29 08:46:00
BAC,52,52,52,52,205,51.93,52.03,2026-01-29 08:55:00
BAC,52.0,52.0,52.0,52.0,217,0,0,2026-01-29 08:55:00
BAC,52.0,52.0,52.0,52.0,328,0,0,2026-01-29 08:59:00
BAC,52.0,52.0,51.92,51.92,1464,0,0,2026-01-29 09:01:00
BAC,51.85,51.85,51.85,51.85,2995,0,0,2026-01-29 09:02:00
BAC,51.84,51.84,51.84,51.84,663,0,0,2026-01-29 09:04:00
BAC,51.86,51.86,51.86,51.86,4628,0,0,2026-01-29 09:09:00
BAC,51.9,51.91,51.9,51.91,1124,0,0,2026-01-29 09:12:00
BAC,51.88,51.88,51.86,51.86,2487,0,0,2026-01-29 09:15:00
BAC,51.84,51.84,51.84,51.84,5055,0,0,2026-01-29 09:16:00
BAC,51.85,51.85,51.84,51.84,12998,0,0,2026-01-29 09:17:00
BAC,51.86,51.86,51.86,51.86,1002,0,0,2026-01-29 09:19:00
BAC,51.88,51.88,51.88,51.88,1100,51.84,51.95,2026-01-29 09:24:00
BAC,51.88,51.88,51.88,51.88,306,0,0,2026-01-29 09:24:00
BAC,51.85,51.88,51.84,51.88,3675,0,0,2026-01-29 09:25:00
BAC,51.84,51.89,51.84,51.84,2363,0,0,2026-01-29 09:26:00
BAC,51.87,51.88,51.83,51.84,5317,0,0,2026-01-29 09:27:00
BAC,51.95,51.95,51.95,51.95,1117,51.9,51.99,2026-01-29 09:30:01
BAC,51.98,52.24,51.95,52.23,559220,0,0,2026-01-29 09:30:00
BAC,52.23,52.32,52.19,52.29,208272,0,0,2026-01-29 09:31:00
BAC,52.31,52.42,52.25,52.29,254031,0,0,2026-01-29 09:32:00
BAC,52.28,52.34,52.24,52.27,169122,0,0,2026-01-29 09:33:00
BAC,52.28,52.42,52.28,52.37,124918,0,0,2026-01-29 09:34:00
BAC,52.37,52.45,52.34,52.44,169410,0,0,2026-01-29 09:35:00
BAC,52.43,52.44,52.37,52.37,147080,0,0,2026-01-29 09:36:00
BAC,52.39,52.41,52.34,52.37,99353,0,0,2026-01-29 09:37:00
BAC,52.36,52.41,52.35,52.4,71553,0,0,2026-01-29 09:38:00
BAC,52.4,52.47,52.39,52.47,175827,0,0,2026-01-29 09:39:00
BAC,52.47,52.53,52.46,52.48,147585,0,0,2026-01-29 09:40:00
BAC,52.48,52.49,52.34,52.34,47947,0,0,2026-01-29 09:41:00
BAC,52.34,52.35,52.23,52.26,52893,0,0,2026-01-29 09:42:00
