Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
BANC,20.23,20.23,20.09,20.1,53083,0,0,2026-01-29 09:30:00
BANC,20.23,20.23,20.23,20.23,1125,0,0,2026-01-29 09:31:00
BANC,20.18,20.18,20.11,20.11,2334,20.06,20.17,2026-01-29 09:33:00
BANC,20.08,20.1,20.08,20.08,2699,0,0,2026-01-29 09:33:00
BANC,20.11,20.12,20.11,20.12,1317,0,0,2026-01-29 09:34:00
BANC,20.23,20.23,20.23,20.23,959,20.18,20.27,2026-01-29 09:36:00
BANC,20.31,20.31,20.27,20.27,3134,0,0,2026-01-29 09:37:00
BANC,20.31,20.31,20.3,20.3,1025,0,0,2026-01-29 09:40:00
BANC,20.29,20.29,20.26,20.28,2842,0,0,2026-01-29 09:41:00
BANC,20.27,20.27,20.22,20.22,5424,0,0,2026-01-29 09:42:00
BANC,20.14,20.14,20.14,20.14,546,0,0,2026-01-29 09:44:00
BANC,20.14,20.14,20.09,20.1,1494,0,0,2026-01-29 09:45:00
BANC,20.09,20.09,20.09,20.09,180,0,0,2026-01-29 09:46:00
BANC,20.06,20.06,20.03,20.03,1197,0,0,2026-01-29 09:47:00
BANC,20.04,20.06,20.01,20.05,2176,0,0,2026-01-29 09:48:00
BANC,20.05,20.05,20.05,20.05,284,0,0,2026-01-29 09:49:00
BANC,20.03,20.03,20.01,20.01,2549,0,0,2026-01-29 09:50:00
BANC,20.02,20.03,20.02,20.02,1375,0,0,2026-01-29 09:51:00
BANC,20.04,20.07,20.04,20.05,1162,0,0,2026-01-29 09:52:00
BANC,20.06,20.06,20.05,20.05,853,0,0,2026-01-29 09:53:00
BANC,20.05,20.05,20.05,20.05,208,0,0,2026-01-29 09:54:00
BANC,20.09,20.1,20.09,20.1,1827,0,0,2026-01-29 09:55:00
BANC,20.1,20.1,20.09,20.09,805,0,0,2026-01-29 09:57:00
BANC,20.11,20.11,20.09,20.09,1166,0,0,2026-01-29 09:58:00
BANC,20.08,20.09,20.07,20.07,2758,0,0,2026-01-29 09:59:00
BANC,20.07,20.11,20.07,20.09,4528,0,0,2026-01-29 10:00:00
BANC,20.1,20.11,20.09,20.09,2406,0,0,2026-01-29 10:01:00
BANC,20.08,20.09,20.08,20.09,2396,0,0,2026-01-29 10:02:00
BANC,20.09,20.09,20.07,20.09,2828,0,0,2026-01-29 10:03:00
BANC,20.07,20.08,20.07,20.07,630,0,0,2026-01-29 10:04:00
BANC,20.09,20.09,20.08,20.09,1935,0,0,2026-01-29 10:05:00
BANC,20.09,20.09,20.06,20.07,2480,0,0,2026-01-29 10:06:00
BANC,20.06,20.06,20.05,20.05,959,0,0,2026-01-29 10:07:00
BANC,20.05,20.07,20.04,20.07,1853,20.06,20.08,2026-01-29 10:09:00
BANC,20.07,20.08,20.07,20.08,1645,0,0,2026-01-29 10:09:00
BANC,20.07,20.07,20.07,20.07,815,0,0,2026-01-29 10:10:00
BANC,20.07,20.08,20.06,20.06,2687,0,0,2026-01-29 10:11:00
BANC,20.06,20.06,20.06,20.06,924,0,0,2026-01-29 10:12:00
BANC,20.07,20.07,20.05,20.05,2350,0,0,2026-01-29 10:13:00
BANC,20.04,20.1,20.04,20.1,4833,0,0,2026-01-29 10:14:00
BANC,20.1,20.1,20.09,20.1,2062,0,0,2026-01-29 10:15:00
BANC,20.11,20.11,20.11,20.11,1077,0,0,2026-01-29 10:16:00
BANC,20.11,20.12,20.09,20.09,1480,0,0,2026-01-29 10:17:00
BANC,20.1,20.13,20.1,20.13,8248,0,0,2026-01-29 10:18:00
BANC,20.13,20.15,20.13,20.15,10022,0,0,2026-01-29 10:19:00
BANC,20.16,20.18,20.16,20.18,4824,0,0,2026-01-29 10:20:00
BANC,20.18,20.19,20.18,20.19,1374,0,0,2026-01-29 10:21:00
BANC,20.18,20.18,20.17,20.18,2974,0,0,2026-01-29 10:22:00
BANC,20.18,20.18,20.17,20.17,616,0,0,2026-01-29 10:23:00
BANC,20.18,20.18,20.16,20.16,3412,0,0,2026-01-29 10:24:00
BANC,20.16,20.16,20.16,20.16,2714,0,0,2026-01-29 10:25:00
BANC,20.16,20.17,20.16,20.16,2341,0,0,2026-01-29 10:26:00
BANC,20.16,20.16,20.16,20.16,2357,0,0,2026-01-29 10:27:00
BANC,20.15,20.16,20.14,20.16,3839,0,0,2026-01-29 10:28:00
BANC,20.15,20.16,20.14,20.16,4362,20.15,20.16,2026-01-29 10:30:00
BANC,20.16,20.16,20.15,20.16,2083,0,0,2026-01-29 10:30:00
BANC,20.16,20.16,20.14,20.14,3207,0,0,2026-01-29 10:31:00
BANC,20.15,20.15,20.15,20.15,609,0,0,2026-01-29 10:32:00
BANC,20.14,20.14,20.13,20.13,852,0,0,2026-01-29 10:33:00
BANC,20.13,20.13,20.11,20.11,5092,0,0,2026-01-29 10:34:00
BANC,20.11,20.12,20.08,20.09,4808,0,0,2026-01-29 10:35:00
BANC,20.09,20.11,20.09,20.09,2663,0,0,2026-01-29 10:36:00
BANC,20.09,20.12,20.09,20.12,2327,0,0,2026-01-29 10:37:00
BANC,20.11,20.11,20.11,20.11,323,0,0,2026-01-29 10:38:00
BANC,20.12,20.13,20.11,20.11,2579,0,0,2026-01-29 10:39:00
BANC,20.1,20.1,20.1,20.1,1396,0,0,2026-01-29 10:40:00
BANC,20.1,20.11,20.1,20.1,3553,0,0,2026-01-29 10:41:00
BANC,20.09,20.09,20.08,20.08,1566,0,0,2026-01-29 10:42:00
BANC,20.08,20.09,20.08,20.09,4303,0,0,2026-01-29 10:43:00
BANC,20.09,20.11,20.09,20.1,7486,20.09,20.1,2026-01-29 10:45:00
BANC,20.09,20.11,20.09,20.11,2232,0,0,2026-01-29 10:45:00
BANC,20.11,20.11,20.1,20.11,4376,0,0,2026-01-29 10:46:00
BANC,20.11,20.13,20.11,20.13,2931,0,0,2026-01-29 10:47:00
BANC,20.12,20.12,20.07,20.07,3578,0,0,2026-01-29 10:48:00
BANC,20.07,20.07,20.06,20.07,1636,0,0,2026-01-29 10:49:00
BANC,20.06,20.06,20.05,20.05,1275,0,0,2026-01-29 10:50:00
BANC,20.05,20.05,20.05,20.05,2258,0,0,2026-01-29 10:51:00
BANC,20.05,20.05,20.02,20.02,2668,0,0,2026-01-29 10:52:00
BANC,20.03,20.03,20.0,20.02,2726,0,0,2026-01-29 10:53:00
BANC,20.02,20.03,20.02,20.03,3931,0,0,2026-01-29 10:54:00
BANC,20.02,20.03,20.01,20.03,8988,0,0,2026-01-29 10:55:00
BANC,20.04,20.06,20.04,20.05,3066,0,0,2026-01-29 10:56:00
BANC,20.04,20.05,20.04,20.05,2746,0,0,2026-01-29 10:57:00
BANC,20.04,20.04,20.02,20.03,2314,0,0,2026-01-29 10:58:00
BANC,20.04,20.04,20.02,20.02,7147,0,0,2026-01-29 10:59:00
BANC,20.02,20.02,19.98,19.98,3624,0,0,2026-01-29 11:00:00
BANC,19.99,19.99,19.98,19.99,2285,0,0,2026-01-29 11:01:00
BANC,19.98,20.0,19.98,19.99,1317,0,0,2026-01-29 11:02:00
BANC,19.96,19.98,19.96,19.98,1714,19.96,19.97,2026-01-29 11:04:00
BANC,19.93,19.93,19.92,19.92,1867,0,0,2026-01-29 11:04:00
BANC,19.92,19.92,19.9,19.9,1194,0,0,2026-01-29 11:05:00
BANC,19.89,19.9,19.89,19.89,1867,0,0,2026-01-29 11:06:00
BANC,19.88,19.88,19.86,19.88,1733,0,0,2026-01-29 11:07:00
BANC,19.89,19.91,19.89,19.9,3594,0,0,2026-01-29 11:08:00
BANC,19.89,19.89,19.89,19.89,830,0,0,2026-01-29 11:09:00
BANC,19.88,19.91,19.88,19.91,2473,0,0,2026-01-29 11:10:00
BANC,19.94,19.96,19.94,19.95,2930,0,0,2026-01-29 11:11:00
BANC,19.97,19.98,19.97,19.98,1782,0,0,2026-01-29 11:12:00
BANC,19.98,19.98,19.97,19.98,1087,0,0,2026-01-29 11:13:00
BANC,19.97,19.97,19.97,19.97,439,0,0,2026-01-29 11:14:00
BANC,19.97,19.98,19.96,19.97,2225,0,0,2026-01-29 11:15:00
BANC,19.97,19.98,19.97,19.98,2060,0,0,2026-01-29 11:16:00
BANC,19.98,19.98,19.98,19.98,1362,0,0,2026-01-29 11:17:00
BANC,19.97,19.97,19.96,19.96,1323,0,0,2026-01-29 11:18:00
BANC,19.98,19.98,19.98,19.98,903,0,0,2026-01-29 11:19:00
BANC,19.99,20.0,19.98,19.98,1398,0,0,2026-01-29 11:20:00
BANC,19.97,19.97,19.97,19.97,830,0,0,2026-01-29 11:21:00
BANC,19.97,19.97,19.96,19.96,1874,0,0,2026-01-29 11:22:00
