Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
BNS,75.58,75.86,75.58,75.67,24420,0,0,2026-01-29 09:30:00
BNS,75.73,75.91,75.64,75.91,6306,0,0,2026-01-29 09:31:00
BNS,75.92,75.92,75.86,75.86,779,0,0,2026-01-29 09:32:00
BNS,75.84,75.9,75.78,75.83,6120,0,0,2026-01-29 09:33:00
BNS,75.81,75.9,75.81,75.88,5696,0,0,2026-01-29 09:34:00
BNS,75.89,75.9,75.83,75.89,9406,0,0,2026-01-29 09:35:00
BNS,75.89,76.03,75.89,75.98,8169,0,0,2026-01-29 09:36:00
BNS,75.97,75.99,75.95,75.95,3326,0,0,2026-01-29 09:37:00
BNS,75.96,76.0,75.94,75.99,3191,0,0,2026-01-29 09:38:00
BNS,75.99,76.02,75.96,75.96,5731,0,0,2026-01-29 09:39:00
BNS,75.94,75.99,75.94,75.96,2063,0,0,2026-01-29 09:40:00
BNS,75.95,75.97,75.92,75.92,3324,0,0,2026-01-29 09:41:00
BNS,75.9,75.9,75.86,75.86,2625,0,0,2026-01-29 09:42:00
BNS,75.89,75.94,75.88,75.89,10236,0,0,2026-01-29 09:43:00
BNS,75.89,75.95,75.87,75.95,5435,0,0,2026-01-29 09:44:00
BNS,75.94,75.94,75.86,75.89,7422,0,0,2026-01-29 09:45:00
BNS,75.92,75.96,75.88,75.9,6852,0,0,2026-01-29 09:46:00
BNS,75.88,75.88,75.74,75.74,3755,0,0,2026-01-29 09:47:00
BNS,75.76,75.78,75.74,75.76,4230,0,0,2026-01-29 09:48:00
BNS,75.79,75.81,75.76,75.77,6138,0,0,2026-01-29 09:49:00
BNS,75.77,75.77,75.71,75.75,2726,0,0,2026-01-29 09:50:00
BNS,75.77,75.77,75.7,75.73,4353,0,0,2026-01-29 09:51:00
BNS,75.7,75.76,75.68,75.69,3187,0,0,2026-01-29 09:52:00
BNS,75.69,75.73,75.69,75.73,4866,0,0,2026-01-29 09:53:00
BNS,75.73,75.74,75.7,75.7,5666,0,0,2026-01-29 09:54:00
