Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
BODI,11.54,11.54,11.54,11.54,311,0,0,2026-01-29 09:30:00
BODI,11.71,11.71,11.71,11.71,300,0,0,2026-01-29 10:00:00
BODI,11.81,11.86,11.81,11.86,267,0,0,2026-01-29 10:08:00
BODI,11.7,11.7,11.7,11.7,100,0,0,2026-01-29 10:11:00
BODI,11.54,11.56,11.32,11.52,2438,0,0,2026-01-29 10:16:00
BODI,11.52,11.52,11.41,11.41,633,0,0,2026-01-29 10:17:00
BODI,11.5,11.5,11.5,11.5,100,0,0,2026-01-29 10:28:00
BODI,11.3,11.3,11.3,11.3,127,0,0,2026-01-29 10:29:00
BODI,11.16,11.16,11.16,11.16,250,0,0,2026-01-29 10:30:00
BODI,10.98,11.48,10.98,11.48,704,0,0,2026-01-29 10:53:00
BODI,11.19,11.19,11.18,11.18,1049,0,0,2026-01-29 10:55:00
BODI,11.47,11.47,11.29,11.29,302,0,0,2026-01-29 10:56:00
BODI,11.47,11.47,11.47,11.47,404,0,0,2026-01-29 10:58:00
BODI,11.49,11.49,11.48,11.48,300,0,0,2026-01-29 11:00:00
BODI,11.52,11.52,11.51,11.51,404,0,0,2026-01-29 11:01:00
BODI,11.33,11.33,11.33,11.33,100,0,0,2026-01-29 11:02:00
BODI,11.53,11.6,11.53,11.6,751,0,0,2026-01-29 11:14:00
BODI,11.7,11.7,11.7,11.7,151,0,0,2026-01-29 11:16:00
BODI,11.52,11.52,11.44,11.52,1459,0,0,2026-01-29 11:30:00
BODI,11.45,11.45,11.45,11.45,183,0,0,2026-01-29 12:03:00
