Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
BOOM,8.91,8.96,8.88,8.96,3870,0,0,2026-01-29 09:30:00
BOOM,8.9,8.9,8.9,8.9,850,0,0,2026-01-29 09:31:00
BOOM,8.97,8.97,8.97,8.97,249,8.85,8.98,2026-01-29 09:33:00
BOOM,8.98,9.1,8.98,9.03,11373,0,0,2026-01-29 09:34:00
BOOM,9.07,9.07,9.04,9.04,388,0,0,2026-01-29 09:35:00
BOOM,9.04,9.1,9.04,9.05,10124,0,0,2026-01-29 09:36:00
BOOM,9.05,9.15,9.05,9.15,6665,0,0,2026-01-29 09:37:00
BOOM,9.2,9.2,9.2,9.2,3113,0,0,2026-01-29 09:38:00
BOOM,9.2,9.2,9.1,9.12,5232,0,0,2026-01-29 09:39:00
BOOM,9.12,9.13,9.12,9.13,2206,0,0,2026-01-29 09:40:00
BOOM,9.12,9.12,9.12,9.12,298,0,0,2026-01-29 09:41:00
BOOM,9.13,9.13,9.07,9.07,1520,0,0,2026-01-29 09:43:00
BOOM,9.07,9.07,9.03,9.03,2526,0,0,2026-01-29 09:44:00
BOOM,9.09,9.09,9.0,9.04,3420,0,0,2026-01-29 09:45:00
BOOM,9.01,9.01,9.01,9.01,229,0,0,2026-01-29 09:46:00
BOOM,9.01,9.02,8.97,8.97,640,0,0,2026-01-29 09:47:00
BOOM,8.95,8.95,8.95,8.95,703,0,0,2026-01-29 09:52:00
BOOM,8.99,8.99,8.99,8.99,950,0,0,2026-01-29 09:53:00
BOOM,8.96,8.96,8.96,8.96,474,0,0,2026-01-29 09:54:00
BOOM,8.97,8.97,8.97,8.97,1518,0,0,2026-01-29 09:55:00
BOOM,8.96,8.96,8.96,8.96,383,0,0,2026-01-29 09:58:00
BOOM,8.96,8.96,8.96,8.96,247,0,0,2026-01-29 09:59:00
BOOM,8.97,9.01,8.95,8.98,5923,0,0,2026-01-29 10:00:00
BOOM,8.98,8.98,8.98,8.98,1116,0,0,2026-01-29 10:01:00
BOOM,9.0,9.0,9.0,9.0,210,0,0,2026-01-29 10:02:00
BOOM,8.99,8.99,8.98,8.98,2110,0,0,2026-01-29 10:03:00
BOOM,9.01,9.01,8.99,9,5167,8.98,9.02,2026-01-29 10:09:00
BOOM,9.01,9.01,9.01,9.01,148,0,0,2026-01-29 10:11:00
BOOM,8.99,9.04,8.99,9.02,7321,0,0,2026-01-29 10:12:00
BOOM,9.04,9.04,9.02,9.02,693,0,0,2026-01-29 10:14:00
BOOM,8.99,8.99,8.96,8.97,2918,0,0,2026-01-29 10:15:00
BOOM,8.97,8.97,8.97,8.97,121,0,0,2026-01-29 10:17:00
BOOM,8.96,8.96,8.95,8.95,959,0,0,2026-01-29 10:20:00
BOOM,8.96,8.96,8.96,8.96,221,0,0,2026-01-29 10:22:00
BOOM,8.97,8.98,8.97,8.98,328,0,0,2026-01-29 10:23:00
BOOM,8.96,8.96,8.96,8.96,942,0,0,2026-01-29 10:24:00
BOOM,8.96,8.97,8.95,8.95,1901,0,0,2026-01-29 10:25:00
BOOM,8.96,8.97,8.96,8.97,232,0,0,2026-01-29 10:26:00
BOOM,8.95,8.95,8.95,8.95,460,0,0,2026-01-29 10:28:00
BOOM,9.0,9.0,9.0,9.0,510,0,0,2026-01-29 10:30:00
BOOM,8.92,8.92,8.92,8.92,964,0,0,2026-01-29 10:33:00
BOOM,8.9,8.9,8.9,8.9,1111,0,0,2026-01-29 10:35:00
BOOM,8.9,8.9,8.9,8.9,190,0,0,2026-01-29 10:37:00
BOOM,8.95,8.95,8.95,8.95,285,0,0,2026-01-29 10:38:00
BOOM,8.9,8.9,8.9,8.9,615,0,0,2026-01-29 10:41:00
BOOM,8.89,8.89,8.89,8.89,151,0,0,2026-01-29 10:48:00
BOOM,8.85,8.86,8.84,8.85,1429,0,0,2026-01-29 10:52:00
BOOM,8.84,8.84,8.84,8.84,328,0,0,2026-01-29 10:53:00
BOOM,8.84,8.88,8.84,8.88,1089,0,0,2026-01-29 10:56:00
BOOM,8.85,8.85,8.84,8.84,1941,0,0,2026-01-29 11:00:00
BOOM,8.84,8.84,8.84,8.84,119,0,0,2026-01-29 11:04:00
BOOM,8.81,8.81,8.8,8.8,430,0,0,2026-01-29 11:07:00
BOOM,8.79,8.79,8.79,8.79,279,0,0,2026-01-29 11:09:00
BOOM,8.82,8.84,8.82,8.84,610,0,0,2026-01-29 11:11:00
BOOM,8.85,8.86,8.85,8.86,400,0,0,2026-01-29 11:12:00
BOOM,8.87,8.87,8.87,8.87,256,0,0,2026-01-29 11:15:00
BOOM,8.89,8.89,8.89,8.89,300,0,0,2026-01-29 11:16:00
BOOM,8.9,8.9,8.9,8.9,450,0,0,2026-01-29 11:18:00
BOOM,8.86,8.86,8.84,8.84,1347,0,0,2026-01-29 11:22:00
BOOM,8.82,8.82,8.82,8.82,300,0,0,2026-01-29 11:31:00
BOOM,8.82,8.82,8.82,8.82,410,0,0,2026-01-29 11:36:00
BOOM,8.82,8.82,8.82,8.82,100,0,0,2026-01-29 11:38:00
BOOM,8.82,8.82,8.82,8.82,820,0,0,2026-01-29 11:39:00
BOOM,8.81,8.81,8.81,8.81,165,0,0,2026-01-29 11:40:00
BOOM,8.79,8.79,8.79,8.79,190,0,0,2026-01-29 11:45:00
BOOM,8.81,8.81,8.81,8.81,785,0,0,2026-01-29 11:46:00
BOOM,8.82,8.82,8.82,8.82,674,0,0,2026-01-29 11:47:00
BOOM,8.87,8.87,8.85,8.85,1094,0,0,2026-01-29 11:59:00
BOOM,8.86,8.86,8.86,8.86,100,0,0,2026-01-29 12:10:00
BOOM,8.88,8.88,8.88,8.88,232,0,0,2026-01-29 12:15:00
BOOM,8.87,8.87,8.86,8.86,1009,0,0,2026-01-29 12:16:00
BOOM,8.87,8.87,8.87,8.87,159,0,0,2026-01-29 12:17:00
BOOM,8.87,8.87,8.87,8.87,321,0,0,2026-01-29 12:20:00
BOOM,8.87,8.87,8.87,8.87,2727,0,0,2026-01-29 12:40:00
BOOM,8.88,8.94,8.88,8.94,7145,0,0,2026-01-29 12:41:00
BOOM,8.94,8.96,8.94,8.96,964,0,0,2026-01-29 12:42:00
BOOM,8.96,8.96,8.96,8.96,231,0,0,2026-01-29 12:43:00
BOOM,8.95,8.95,8.95,8.95,774,0,0,2026-01-29 12:45:00
BOOM,8.96,8.96,8.96,8.96,1230,0,0,2026-01-29 12:49:00
BOOM,8.93,8.93,8.92,8.92,1503,0,0,2026-01-29 12:52:00
BOOM,8.91,8.91,8.9,8.9,848,0,0,2026-01-29 12:54:00
BOOM,8.88,8.88,8.88,8.88,235,0,0,2026-01-29 12:55:00
BOOM,8.88,8.88,8.88,8.88,655,0,0,2026-01-29 12:57:00
