Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
BWB,17,17,17,17,902,7.51,21,2026-01-29 07:32:00
BWB,19.14,19.14,18.38,18.38,7020,0,0,2026-01-29 09:30:00
BWB,18.97,18.99,18.39,18.39,3449,0,0,2026-01-29 09:31:00
BWB,18.76,18.77,18.76,18.77,421,0,0,2026-01-29 09:33:00
BWB,18.77,18.77,18.77,18.77,101,0,0,2026-01-29 09:34:00
BWB,18.77,19.17,18.37,19.17,2107,18.61,19.18,2026-01-29 09:36:00
BWB,19.01,19.01,18.92,18.92,408,0,0,2026-01-29 09:36:00
BWB,18.98,18.98,18.81,18.81,1501,0,0,2026-01-29 09:53:00
BWB,18.91,18.93,18.9,18.9,1081,0,0,2026-01-29 10:14:00
BWB,19.05,19.05,19.05,19.05,203,0,0,2026-01-29 10:25:00
BWB,19.05,19.05,19.05,19.05,246,0,0,2026-01-29 10:32:00
BWB,18.91,18.91,18.91,18.91,679,18.85,19.11,2026-01-29 10:45:00
BWB,18.9,18.9,18.87,18.87,254,0,0,2026-01-29 10:51:00
BWB,18.9,18.9,18.9,18.9,105,0,0,2026-01-29 10:55:00
BWB,18.87,18.87,18.87,18.87,166,0,0,2026-01-29 11:02:00
BWB,18.85,18.86,18.77,18.85,3323,0,0,2026-01-29 11:06:00
BWB,18.71,18.72,18.69,18.69,2205,0,0,2026-01-29 11:18:00
BWB,18.74,18.74,18.74,18.74,152,0,0,2026-01-29 11:26:00
BWB,18.71,18.71,18.71,18.71,2000,0,0,2026-01-29 11:36:00
BWB,18.75,18.75,18.6,18.74,4030,0,0,2026-01-29 11:43:00
BWB,18.74,18.75,18.74,18.75,982,0,0,2026-01-29 11:44:00
BWB,18.75,18.75,18.75,18.75,149,0,0,2026-01-29 11:46:00
BWB,18.8,18.8,18.8,18.8,141,0,0,2026-01-29 11:48:00
BWB,18.8,18.81,18.69,18.81,2217,0,0,2026-01-29 11:58:00
BWB,18.8,18.8,18.8,18.8,451,0,0,2026-01-29 12:00:00
BWB,18.95,18.95,18.91,18.91,721,0,0,2026-01-29 12:01:00
BWB,18.94,18.94,18.94,18.94,194,0,0,2026-01-29 12:03:00
BWB,18.9,18.9,18.8,18.9,2539,0,0,2026-01-29 12:04:00
BWB,18.96,19.02,18.96,19.02,1811,0,0,2026-01-29 12:05:00
BWB,18.92,18.93,18.89,18.89,2420,0,0,2026-01-29 12:08:00
BWB,18.91,18.91,18.91,18.91,100,0,0,2026-01-29 12:23:00
BWB,18.84,18.91,18.84,18.89,2461,0,0,2026-01-29 12:28:00
BWB,18.86,18.86,18.86,18.86,186,0,0,2026-01-29 12:32:00
BWB,18.78,18.86,18.78,18.86,275,0,0,2026-01-29 12:33:00
BWB,18.8,18.8,18.8,18.8,106,0,0,2026-01-29 12:34:00
BWB,18.86,18.86,18.86,18.86,521,0,0,2026-01-29 12:36:00
BWB,18.96,18.96,18.96,18.96,1600,0,0,2026-01-29 12:38:00
BWB,18.86,18.86,18.86,18.86,103,0,0,2026-01-29 12:39:00
BWB,18.76,18.84,18.76,18.84,2400,0,0,2026-01-29 12:40:00
BWB,18.78,18.78,18.78,18.78,814,0,0,2026-01-29 12:41:00
BWB,18.75,18.75,18.73,18.73,1639,0,0,2026-01-29 12:42:00
BWB,18.64,18.64,18.62,18.62,3156,0,0,2026-01-29 12:46:00
BWB,18.65,18.65,18.65,18.65,187,0,0,2026-01-29 12:47:00
BWB,18.65,18.65,18.65,18.65,302,0,0,2026-01-29 12:57:00
