Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
BY,31.12,31.28,31.12,31.28,1639,0,0,2026-01-29 09:30:00
BY,31.21,31.21,31.21,31.21,300,0,0,2026-01-29 09:36:00
BY,31.38,31.38,31.38,31.38,631,0,0,2026-01-29 09:38:00
BY,31.47,31.47,31.47,31.47,301,0,0,2026-01-29 09:41:00
BY,31.45,31.45,31.45,31.45,166,0,0,2026-01-29 09:45:00
BY,31.46,31.46,31.46,31.46,250,0,0,2026-01-29 09:47:00
BY,31.4,31.41,31.39,31.39,1137,31.31,31.47,2026-01-29 09:50:00
BY,31.31,31.31,31.31,31.31,157,0,0,2026-01-29 09:50:00
BY,31.4,31.4,31.4,31.4,332,0,0,2026-01-29 09:53:00
BY,31.38,31.43,31.38,31.42,777,0,0,2026-01-29 09:54:00
BY,31.49,31.49,31.49,31.49,741,0,0,2026-01-29 10:00:00
BY,31.48,31.48,31.48,31.48,323,0,0,2026-01-29 10:02:00
BY,31.5,31.5,31.5,31.5,1072,0,0,2026-01-29 10:03:00
BY,31.52,31.52,31.52,31.52,410,0,0,2026-01-29 10:05:00
BY,31.5,31.5,31.45,31.45,1665,0,0,2026-01-29 10:06:00
BY,31.51,31.55,31.51,31.55,870,0,0,2026-01-29 10:07:00
BY,31.57,31.57,31.54,31.57,1541,0,0,2026-01-29 10:11:00
BY,31.55,31.58,31.55,31.58,766,0,0,2026-01-29 10:14:00
BY,31.62,31.65,31.6,31.62,2303,0,0,2026-01-29 10:15:00
BY,31.64,31.64,31.64,31.64,205,0,0,2026-01-29 10:16:00
BY,31.63,31.63,31.63,31.63,355,0,0,2026-01-29 10:19:00
BY,31.64,31.64,31.64,31.64,199,0,0,2026-01-29 10:21:00
BY,31.68,31.68,31.68,31.68,1102,0,0,2026-01-29 10:22:00
BY,31.66,31.66,31.66,31.66,183,0,0,2026-01-29 10:24:00
BY,31.71,31.71,31.71,31.71,240,0,0,2026-01-29 10:28:00
BY,31.71,31.71,31.71,31.71,408,0,0,2026-01-29 10:29:00
BY,31.68,31.7,31.68,31.7,1813,0,0,2026-01-29 10:31:00
BY,31.66,31.66,31.61,31.61,1015,0,0,2026-01-29 10:32:00
BY,31.61,31.64,31.61,31.64,1034,0,0,2026-01-29 10:33:00
BY,31.64,31.64,31.57,31.57,1190,0,0,2026-01-29 10:35:00
BY,31.59,31.62,31.59,31.62,775,0,0,2026-01-29 10:36:00
BY,31.64,31.65,31.64,31.65,607,0,0,2026-01-29 10:37:00
BY,31.66,31.66,31.66,31.66,229,0,0,2026-01-29 10:40:00
BY,31.66,31.66,31.66,31.66,626,31.62,31.71,2026-01-29 10:45:00
BY,31.67,31.67,31.67,31.67,238,0,0,2026-01-29 10:46:00
BY,31.68,31.68,31.64,31.64,3816,0,0,2026-01-29 10:48:00
BY,31.64,31.64,31.57,31.57,2004,0,0,2026-01-29 10:49:00
BY,31.61,31.61,31.57,31.57,1157,0,0,2026-01-29 10:50:00
BY,31.61,31.61,31.57,31.57,1736,0,0,2026-01-29 10:55:00
BY,31.59,31.59,31.59,31.59,402,0,0,2026-01-29 10:59:00
BY,31.57,31.57,31.52,31.52,1541,0,0,2026-01-29 11:00:00
BY,31.51,31.51,31.51,31.51,427,0,0,2026-01-29 11:02:00
BY,31.48,31.48,31.47,31.47,1292,0,0,2026-01-29 11:04:00
BY,31.43,31.43,31.43,31.43,603,0,0,2026-01-29 11:06:00
BY,31.41,31.41,31.41,31.41,228,0,0,2026-01-29 11:07:00
BY,31.41,31.42,31.41,31.42,536,0,0,2026-01-29 11:08:00
BY,31.41,31.45,31.38,31.45,3990,0,0,2026-01-29 11:09:00
BY,31.48,31.48,31.48,31.48,929,0,0,2026-01-29 11:10:00
BY,31.49,31.5,31.49,31.5,1224,0,0,2026-01-29 11:11:00
BY,31.46,31.46,31.46,31.46,487,0,0,2026-01-29 11:14:00
BY,31.44,31.44,31.44,31.44,501,0,0,2026-01-29 11:15:00
BY,31.46,31.46,31.46,31.46,154,0,0,2026-01-29 11:17:00
BY,31.42,31.42,31.42,31.42,205,0,0,2026-01-29 11:19:00
BY,31.42,31.45,31.41,31.41,1028,0,0,2026-01-29 11:21:00
BY,31.41,31.41,31.41,31.41,313,0,0,2026-01-29 11:22:00
BY,31.38,31.39,31.38,31.39,1072,0,0,2026-01-29 11:23:00
BY,31.39,31.39,31.39,31.39,101,0,0,2026-01-29 11:24:00
BY,31.39,31.39,31.39,31.39,1783,0,0,2026-01-29 11:26:00
BY,31.42,31.44,31.41,31.44,2129,0,0,2026-01-29 11:27:00
BY,31.44,31.44,31.44,31.44,720,0,0,2026-01-29 11:28:00
BY,31.44,31.48,31.44,31.48,301,0,0,2026-01-29 11:29:00
BY,31.44,31.44,31.44,31.44,417,0,0,2026-01-29 11:30:00
BY,31.46,31.51,31.46,31.48,2930,0,0,2026-01-29 11:31:00
BY,31.46,31.48,31.46,31.46,3274,0,0,2026-01-29 11:32:00
BY,31.48,31.55,31.48,31.55,1951,0,0,2026-01-29 11:33:00
BY,31.55,31.55,31.55,31.55,441,0,0,2026-01-29 11:35:00
BY,31.54,31.54,31.54,31.54,572,0,0,2026-01-29 11:36:00
BY,31.53,31.55,31.53,31.55,1002,0,0,2026-01-29 11:37:00
BY,31.5,31.5,31.5,31.5,249,0,0,2026-01-29 11:39:00
BY,31.55,31.55,31.55,31.55,448,0,0,2026-01-29 11:41:00
BY,31.55,31.55,31.55,31.55,598,0,0,2026-01-29 11:44:00
BY,31.58,31.62,31.58,31.62,3613,0,0,2026-01-29 11:46:00
BY,31.62,31.62,31.62,31.62,3667,0,0,2026-01-29 11:47:00
BY,31.67,31.67,31.67,31.67,118,0,0,2026-01-29 11:48:00
BY,31.68,31.68,31.68,31.68,364,0,0,2026-01-29 11:51:00
BY,31.73,31.73,31.72,31.72,401,0,0,2026-01-29 11:52:00
BY,31.75,31.75,31.75,31.75,511,0,0,2026-01-29 11:54:00
BY,31.75,31.75,31.73,31.73,458,0,0,2026-01-29 11:55:00
BY,31.73,31.73,31.73,31.73,478,0,0,2026-01-29 11:56:00
BY,31.73,31.73,31.73,31.73,133,0,0,2026-01-29 11:57:00
BY,31.73,31.73,31.73,31.73,268,0,0,2026-01-29 11:58:00
BY,31.73,31.73,31.73,31.73,588,0,0,2026-01-29 11:59:00
BY,31.76,31.76,31.76,31.76,544,0,0,2026-01-29 12:02:00
BY,31.84,31.84,31.84,31.84,291,0,0,2026-01-29 12:03:00
BY,31.88,31.89,31.88,31.89,2548,0,0,2026-01-29 12:05:00
BY,31.89,31.89,31.89,31.89,207,0,0,2026-01-29 12:06:00
BY,31.9,31.9,31.9,31.9,208,0,0,2026-01-29 12:07:00
BY,31.9,31.9,31.83,31.83,1885,0,0,2026-01-29 12:08:00
BY,31.81,31.81,31.79,31.79,1583,0,0,2026-01-29 12:09:00
BY,31.79,31.79,31.79,31.79,607,0,0,2026-01-29 12:10:00
BY,31.8,31.81,31.8,31.8,954,0,0,2026-01-29 12:12:00
BY,31.83,31.83,31.82,31.82,601,0,0,2026-01-29 12:14:00
BY,31.8,31.8,31.8,31.8,127,0,0,2026-01-29 12:15:00
BY,31.8,31.8,31.8,31.8,110,0,0,2026-01-29 12:16:00
BY,31.79,31.79,31.79,31.79,453,0,0,2026-01-29 12:17:00
BY,31.8,31.8,31.8,31.8,506,0,0,2026-01-29 12:18:00
BY,31.82,31.82,31.82,31.82,208,0,0,2026-01-29 12:20:00
BY,31.82,31.83,31.82,31.83,516,0,0,2026-01-29 12:21:00
BY,31.83,31.83,31.78,31.8,1209,0,0,2026-01-29 12:22:00
BY,31.77,31.77,31.74,31.74,732,0,0,2026-01-29 12:23:00
BY,31.72,31.72,31.7,31.7,450,0,0,2026-01-29 12:28:00
BY,31.71,31.71,31.67,31.67,821,0,0,2026-01-29 12:32:00
BY,31.66,31.66,31.66,31.66,326,0,0,2026-01-29 12:33:00
BY,31.63,31.63,31.6,31.6,2226,0,0,2026-01-29 12:34:00
BY,31.58,31.58,31.56,31.56,1104,0,0,2026-01-29 12:36:00
BY,31.59,31.59,31.59,31.59,117,0,0,2026-01-29 12:39:00
BY,31.59,31.59,31.59,31.59,243,0,0,2026-01-29 12:45:00
BY,31.59,31.59,31.59,31.59,128,0,0,2026-01-29 12:47:00
BY,31.56,31.56,31.55,31.55,880,0,0,2026-01-29 12:48:00
BY,31.6,31.62,31.58,31.58,948,0,0,2026-01-29 12:51:00
BY,31.58,31.58,31.58,31.58,178,0,0,2026-01-29 12:53:00
BY,31.58,31.58,31.58,31.58,135,0,0,2026-01-29 12:55:00
