Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CAE,33.65,33.74,33.64,33.66,5686,0,0,2026-01-29 09:30:00
CAE,33.61,33.61,33.55,33.55,848,0,0,2026-01-29 09:31:00
CAE,33.55,33.55,33.55,33.55,266,33.53,33.69,2026-01-29 09:34:00
CAE,33.59,33.59,33.59,33.59,108,0,0,2026-01-29 09:34:00
CAE,33.56,33.56,33.56,33.56,2939,33.55,33.69,2026-01-29 09:36:00
CAE,33.56,33.56,33.55,33.55,211,0,0,2026-01-29 09:36:00
CAE,33.66,33.81,33.65,33.65,4824,0,0,2026-01-29 09:37:00
CAE,33.74,33.78,33.74,33.78,1205,0,0,2026-01-29 09:38:00
CAE,33.85,33.86,33.82,33.82,1326,0,0,2026-01-29 09:40:00
CAE,33.77,33.77,33.77,33.77,227,0,0,2026-01-29 09:41:00
CAE,33.84,33.84,33.79,33.79,3881,0,0,2026-01-29 09:43:00
CAE,33.75,33.76,33.75,33.76,2661,0,0,2026-01-29 09:44:00
CAE,33.81,33.83,33.77,33.77,2117,0,0,2026-01-29 09:45:00
CAE,33.77,33.82,33.7,33.82,7214,0,0,2026-01-29 09:46:00
CAE,33.82,33.82,33.69,33.69,2249,0,0,2026-01-29 09:47:00
CAE,33.69,33.76,33.68,33.76,4079,0,0,2026-01-29 09:48:00
CAE,33.79,33.83,33.75,33.83,2376,0,0,2026-01-29 09:49:00
CAE,33.8,33.8,33.73,33.73,1030,0,0,2026-01-29 09:50:00
CAE,33.74,33.74,33.73,33.74,2623,0,0,2026-01-29 09:51:00
CAE,33.77,33.78,33.76,33.76,2544,0,0,2026-01-29 09:52:00
CAE,33.75,33.75,33.69,33.7,6908,0,0,2026-01-29 09:53:00
CAE,33.69,33.7,33.68,33.7,1237,0,0,2026-01-29 09:54:00
CAE,33.7,33.7,33.69,33.69,331,0,0,2026-01-29 09:55:00
CAE,33.7,33.7,33.64,33.64,830,0,0,2026-01-29 09:56:00
CAE,33.68,33.69,33.67,33.67,610,0,0,2026-01-29 09:57:00
CAE,33.66,33.66,33.66,33.66,352,0,0,2026-01-29 09:58:00
CAE,33.66,33.68,33.66,33.66,2159,0,0,2026-01-29 09:59:00
CAE,33.65,33.65,33.65,33.65,858,0,0,2026-01-29 10:00:00
CAE,33.66,33.7,33.66,33.66,7483,0,0,2026-01-29 10:01:00
CAE,33.66,33.66,33.63,33.65,5223,0,0,2026-01-29 10:02:00
CAE,33.63,33.64,33.62,33.63,1138,0,0,2026-01-29 10:03:00
CAE,33.62,33.64,33.62,33.64,883,0,0,2026-01-29 10:04:00
CAE,33.66,33.66,33.66,33.66,181,0,0,2026-01-29 10:05:00
CAE,33.64,33.64,33.63,33.64,721,0,0,2026-01-29 10:06:00
CAE,33.63,33.67,33.63,33.66,2278,0,0,2026-01-29 10:07:00
CAE,33.64,33.65,33.63,33.64,1662,0,0,2026-01-29 10:08:00
CAE,33.62,33.62,33.62,33.62,447,0,0,2026-01-29 10:10:00
CAE,33.63,33.63,33.63,33.63,416,0,0,2026-01-29 10:11:00
CAE,33.6,33.6,33.6,33.6,383,0,0,2026-01-29 10:13:00
CAE,33.58,33.59,33.58,33.59,895,0,0,2026-01-29 10:14:00
CAE,33.6,33.6,33.59,33.59,749,0,0,2026-01-29 10:15:00
CAE,33.56,33.56,33.52,33.52,979,0,0,2026-01-29 10:16:00
