Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CASH,86.1,87.01,85.15,86.45,4108,0,0,2026-01-29 09:30:00
CASH,87.0,87.0,86.94,86.94,559,0,0,2026-01-29 09:31:00
CASH,86.94,87.01,86.94,87.01,248,85.58,87.01,2026-01-29 09:33:00
CASH,86.91,86.94,86.91,86.94,294,85.58,87.01,2026-01-29 09:34:00
CASH,86.83,86.83,86.83,86.83,231,0,0,2026-01-29 09:34:00
CASH,86.83,86.83,86.83,86.83,199,0,0,2026-01-29 09:35:00
CASH,86.3,87.01,86.3,86.83,502,0,0,2026-01-29 09:36:00
CASH,86.98,87.01,86.98,87.01,1203,0,0,2026-01-29 09:38:00
CASH,86.97,87.35,86.76,86.76,3252,0,0,2026-01-29 09:40:00
CASH,87.12,87.12,87.12,87.12,207,0,0,2026-01-29 09:41:00
CASH,87.12,87.12,87.12,87.12,320,0,0,2026-01-29 09:42:00
CASH,87.0,87.0,87.0,87.0,213,0,0,2026-01-29 09:43:00
CASH,87.01,87.01,87.01,87.01,205,0,0,2026-01-29 09:44:00
CASH,87.09,87.09,86.42,86.42,210,0,0,2026-01-29 09:46:00
CASH,86.43,86.66,86.25,86.25,1939,0,0,2026-01-29 09:47:00
CASH,86.54,86.54,86.42,86.42,448,85.82,87.01,2026-01-29 09:50:00
CASH,86.47,86.8,86.47,86.48,828,0,0,2026-01-29 09:50:00
CASH,86.89,86.97,86.89,86.97,376,0,0,2026-01-29 09:54:00
CASH,86.97,86.97,86.97,86.97,168,0,0,2026-01-29 09:56:00
CASH,86.97,86.97,86.66,86.66,438,0,0,2026-01-29 09:59:00
CASH,86.8,86.95,86.8,86.95,921,0,0,2026-01-29 10:00:00
CASH,87.03,87.03,86.81,86.95,1206,0,0,2026-01-29 10:01:00
CASH,86.89,86.89,86.89,86.89,142,0,0,2026-01-29 10:02:00
CASH,86.89,86.89,86.89,86.89,121,86.67,87.12,2026-01-29 10:06:00
CASH,86.68,87.12,86.67,87.12,699,0,0,2026-01-29 10:06:00
CASH,86.82,86.82,86.82,86.82,299,0,0,2026-01-29 10:10:00
CASH,86.82,86.82,86.82,86.82,189,0,0,2026-01-29 10:11:00
CASH,86.89,86.89,86.89,86.89,100,0,0,2026-01-29 10:13:00
CASH,86.89,87.12,86.89,86.89,564,0,0,2026-01-29 10:14:00
CASH,86.82,87.12,86.82,87.11,5772,0,0,2026-01-29 10:15:00
CASH,86.97,87.02,86.97,87.02,472,0,0,2026-01-29 10:16:00
CASH,87.11,87.12,86.88,86.88,450,0,0,2026-01-29 10:17:00
CASH,87.03,87.03,87.03,87.03,158,0,0,2026-01-29 10:18:00
CASH,86.94,86.94,86.94,86.94,454,0,0,2026-01-29 10:20:00
CASH,87.12,87.26,87.06,87.26,1969,0,0,2026-01-29 10:21:00
CASH,87.26,87.52,87.21,87.5,4694,0,0,2026-01-29 10:22:00
CASH,87.65,87.86,87.43,87.43,1540,0,0,2026-01-29 10:23:00
CASH,87.64,87.64,87.64,87.64,369,0,0,2026-01-29 10:24:00
CASH,87.74,88.06,87.72,88.06,1092,0,0,2026-01-29 10:25:00
CASH,88.02,88.44,88.02,88.44,1446,0,0,2026-01-29 10:26:00
CASH,88.0,88.0,87.6,87.6,2580,0,0,2026-01-29 10:27:00
CASH,87.52,87.97,87.52,87.97,458,0,0,2026-01-29 10:28:00
CASH,87.67,87.67,87.67,87.67,642,0,0,2026-01-29 10:29:00
CASH,87.97,87.97,87.97,87.97,256,0,0,2026-01-29 10:30:00
CASH,87.66,87.66,87.3,87.66,2131,0,0,2026-01-29 10:35:00
CASH,87.24,87.65,87.24,87.65,2515,0,0,2026-01-29 10:41:00
CASH,87.65,87.65,87.65,87.65,106,0,0,2026-01-29 10:43:00
CASH,87.77,87.77,87.38,87.77,5693,0,0,2026-01-29 10:50:00
