Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CBRE,170.22,170.68,170.22,170.68,8571,0,0,2026-01-29 09:30:00
CBRE,171.04,171.04,170.77,170.77,629,0,0,2026-01-29 09:31:00
CBRE,170.77,170.77,170.0,170.06,2046,0,0,2026-01-29 09:34:00
CBRE,169.96,169.96,169.96,169.96,479,169.1,170.82,2026-01-29 09:36:00
CBRE,169.96,169.96,169.96,169.96,360,0,0,2026-01-29 09:37:00
CBRE,170.5,170.5,170.5,170.5,1383,0,0,2026-01-29 09:39:00
CBRE,170.65,170.65,170.65,170.65,533,0,0,2026-01-29 09:40:00
CBRE,171.07,171.07,171.07,171.07,234,0,0,2026-01-29 09:41:00
CBRE,170.23,170.23,169.9,169.9,4825,0,0,2026-01-29 09:43:00
CBRE,169.7,169.97,169.7,169.97,392,0,0,2026-01-29 09:44:00
CBRE,169.96,169.96,169.96,169.96,196,0,0,2026-01-29 09:45:00
CBRE,170.06,170.06,170.06,170.06,664,0,0,2026-01-29 09:46:00
CBRE,169.93,169.93,169.93,169.93,650,0,0,2026-01-29 09:47:00
CBRE,169.93,169.93,169.82,169.82,928,0,0,2026-01-29 09:48:00
CBRE,169.93,169.93,169.87,169.87,641,0,0,2026-01-29 09:49:00
CBRE,170.0,170.0,169.75,169.75,1024,0,0,2026-01-29 09:50:00
CBRE,169.68,169.78,169.66,169.78,1001,0,0,2026-01-29 09:51:00
CBRE,169.87,170.05,169.87,170.05,831,0,0,2026-01-29 09:52:00
CBRE,170.0,170.1,170.0,170.1,686,0,0,2026-01-29 09:53:00
CBRE,170.13,170.48,170.13,170.48,2812,0,0,2026-01-29 09:54:00
CBRE,170.44,170.44,170.44,170.44,268,0,0,2026-01-29 09:55:00
CBRE,170.51,170.51,170.51,170.51,927,0,0,2026-01-29 09:56:00
CBRE,170.43,170.43,170.43,170.43,388,0,0,2026-01-29 09:57:00
CBRE,170.42,170.42,170.4,170.4,755,0,0,2026-01-29 09:58:00
CBRE,170.27,170.33,170.27,170.33,500,0,0,2026-01-29 09:59:00
CBRE,170.38,170.38,170.38,170.38,154,0,0,2026-01-29 10:00:00
CBRE,170.34,170.55,170.34,170.55,1341,0,0,2026-01-29 10:01:00
CBRE,170.63,170.64,170.63,170.63,744,0,0,2026-01-29 10:02:00
CBRE,170.59,170.62,170.46,170.46,721,0,0,2026-01-29 10:04:00
CBRE,170.44,170.44,170.41,170.41,907,0,0,2026-01-29 10:05:00
CBRE,170.44,170.44,170.4,170.4,2357,0,0,2026-01-29 10:06:00
CBRE,170.51,170.51,170.21,170.26,3128,0,0,2026-01-29 10:07:00
CBRE,170.4,170.4,170.4,170.4,523,0,0,2026-01-29 10:08:00
CBRE,170.24,170.38,170.24,170.38,537,0,0,2026-01-29 10:09:00
CBRE,170.38,170.48,170.2,170.31,5574,0,0,2026-01-29 10:11:00
CBRE,170.35,170.44,170.31,170.31,5217,0,0,2026-01-29 10:12:00
CBRE,170.31,170.31,170.31,170.31,2288,0,0,2026-01-29 10:13:00
CBRE,170.2,170.42,170.18,170.38,9449,0,0,2026-01-29 10:14:00
CBRE,170.47,170.47,170.47,170.47,812,0,0,2026-01-29 10:15:00
CBRE,170.5,170.5,170.5,170.5,1291,0,0,2026-01-29 10:16:00
CBRE,170.49,170.49,170.37,170.37,1549,0,0,2026-01-29 10:17:00
CBRE,170.29,170.34,170.24,170.32,1702,0,0,2026-01-29 10:18:00
CBRE,170.32,170.32,170.32,170.32,2629,0,0,2026-01-29 10:19:00
CBRE,170.32,170.46,170.32,170.37,1612,0,0,2026-01-29 10:20:00
CBRE,170.38,170.38,170.3,170.36,1030,0,0,2026-01-29 10:21:00
CBRE,170.35,170.51,170.35,170.5,844,0,0,2026-01-29 10:22:00
CBRE,170.34,170.35,170.2,170.21,5550,0,0,2026-01-29 10:23:00
CBRE,170.1,170.1,170.1,170.1,257,0,0,2026-01-29 10:24:00
CBRE,170.22,170.22,170.22,170.22,315,0,0,2026-01-29 10:25:00
CBRE,170.33,170.33,170.22,170.22,2641,0,0,2026-01-29 10:26:00
CBRE,170.09,170.19,170.03,170.03,3900,0,0,2026-01-29 10:27:00
CBRE,170.03,170.24,170.03,170.24,1726,0,0,2026-01-29 10:28:00
CBRE,170.23,170.23,170.23,170.23,400,0,0,2026-01-29 10:29:00
CBRE,170.29,170.31,170.29,170.31,958,0,0,2026-01-29 10:31:00
CBRE,170.33,170.33,170.33,170.33,537,0,0,2026-01-29 10:32:00
CBRE,170.24,170.24,170.24,170.24,748,0,0,2026-01-29 10:33:00
CBRE,170.13,170.13,170.09,170.1,1392,0,0,2026-01-29 10:34:00
CBRE,170.12,170.13,169.73,169.91,9233,0,0,2026-01-29 10:35:00
CBRE,169.89,169.89,169.82,169.82,767,0,0,2026-01-29 10:36:00
CBRE,169.82,169.88,169.82,169.88,4729,0,0,2026-01-29 10:37:00
CBRE,169.86,170.05,169.86,170.01,1297,0,0,2026-01-29 10:38:00
CBRE,170.1,170.15,170.1,170.15,879,0,0,2026-01-29 10:39:00
CBRE,170.11,170.11,170.1,170.1,1844,0,0,2026-01-29 10:40:00
CBRE,170.25,170.25,170.25,170.25,942,0,0,2026-01-29 10:41:00
CBRE,170.19,170.19,170.19,170.19,286,0,0,2026-01-29 10:42:00
CBRE,170.19,170.29,170.19,170.29,1044,0,0,2026-01-29 10:43:00
CBRE,170.35,170.37,170.35,170.37,2071,170.04,170.39,2026-01-29 10:45:00
CBRE,170.25,170.25,170.25,170.25,356,0,0,2026-01-29 10:45:00
CBRE,170.21,170.28,170.21,170.21,1083,0,0,2026-01-29 10:46:00
CBRE,170.21,170.34,170.21,170.34,1270,0,0,2026-01-29 10:47:00
CBRE,170.11,170.19,170.1,170.11,2298,0,0,2026-01-29 10:48:00
CBRE,170.16,170.16,170.04,170.08,1852,0,0,2026-01-29 10:49:00
CBRE,170.06,170.06,170.03,170.03,665,0,0,2026-01-29 10:50:00
CBRE,169.85,169.87,169.78,169.84,4819,0,0,2026-01-29 10:51:00
CBRE,169.84,169.84,169.84,169.84,657,0,0,2026-01-29 10:52:00
