Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CBRL,29.65,29.65,29.65,29.65,140,29,30,2026-01-29 08:00:00
CBRL,29.4,29.4,29.39,29.4,591,0,0,2026-01-29 08:58:00
CBRL,29.93,29.93,29.93,29.93,500,0,0,2026-01-29 09:16:00
CBRL,29.38,29.57,29.38,29.57,10010,0,0,2026-01-29 09:30:00
CBRL,29.52,29.79,29.52,29.79,1941,0,0,2026-01-29 09:31:00
CBRL,29.7,29.7,29.44,29.44,2922,0,0,2026-01-29 09:32:00
CBRL,29.41,29.41,29.41,29.41,408,0,0,2026-01-29 09:33:00
CBRL,29.4,29.4,29.37,29.37,7801,0,0,2026-01-29 09:34:00
CBRL,29.39,29.39,29.39,29.39,334,0,0,2026-01-29 09:35:00
CBRL,29.44,29.87,29.44,29.87,6062,0,0,2026-01-29 09:37:00
CBRL,29.9,30.0,29.86,29.89,5195,0,0,2026-01-29 09:38:00
CBRL,29.93,29.98,29.78,29.78,1897,0,0,2026-01-29 09:39:00
CBRL,29.77,29.77,29.74,29.74,1263,0,0,2026-01-29 09:40:00
CBRL,29.73,29.73,29.64,29.64,838,0,0,2026-01-29 09:41:00
CBRL,29.57,29.59,29.4,29.4,402,0,0,2026-01-29 09:42:00
CBRL,29.41,29.41,29.25,29.34,6135,0,0,2026-01-29 09:43:00
CBRL,29.11,29.11,29.09,29.09,899,0,0,2026-01-29 09:44:00
CBRL,29.11,29.15,29.06,29.15,943,0,0,2026-01-29 09:45:00
CBRL,29.03,29.03,29.01,29.03,1314,0,0,2026-01-29 09:46:00
CBRL,29.05,29.05,29.05,29.05,582,0,0,2026-01-29 09:47:00
CBRL,29.05,29.19,29.05,29.07,3703,0,0,2026-01-29 09:48:00
CBRL,29.2,29.24,29.2,29.2,611,0,0,2026-01-29 09:49:00
CBRL,29.2,29.41,29.2,29.41,7551,0,0,2026-01-29 09:50:00
CBRL,29.34,29.41,29.34,29.35,1143,0,0,2026-01-29 09:51:00
CBRL,29.28,29.28,29.26,29.26,478,0,0,2026-01-29 09:52:00
CBRL,29.26,29.26,29.21,29.21,800,0,0,2026-01-29 09:53:00
CBRL,29.24,29.3,29.24,29.3,532,0,0,2026-01-29 09:54:00
CBRL,29.34,29.39,29.32,29.39,2068,0,0,2026-01-29 09:55:00
CBRL,29.39,29.39,29.34,29.34,975,0,0,2026-01-29 09:56:00
CBRL,29.35,29.37,29.22,29.32,3603,0,0,2026-01-29 09:57:00
CBRL,29.33,29.33,29.33,29.33,873,0,0,2026-01-29 09:58:00
CBRL,29.13,29.13,29.13,29.13,736,0,0,2026-01-29 09:59:00
CBRL,29.16,29.26,29.16,29.26,2729,0,0,2026-01-29 10:01:00
CBRL,29.21,29.22,29.21,29.22,668,0,0,2026-01-29 10:03:00
CBRL,29.22,29.22,29.22,29.22,235,0,0,2026-01-29 10:04:00
CBRL,29.22,29.46,29.22,29.46,1623,0,0,2026-01-29 10:05:00
CBRL,29.52,29.59,29.52,29.52,596,0,0,2026-01-29 10:06:00
CBRL,29.52,29.52,29.41,29.52,6458,0,0,2026-01-29 10:07:00
CBRL,29.53,29.53,29.53,29.53,646,29.44,29.62,2026-01-29 10:09:00
CBRL,29.54,29.54,29.44,29.44,1931,0,0,2026-01-29 10:09:00
CBRL,29.45,29.45,29.44,29.44,937,0,0,2026-01-29 10:10:00
CBRL,29.43,29.46,29.4,29.41,1834,0,0,2026-01-29 10:11:00
CBRL,29.39,29.39,29.39,29.39,902,0,0,2026-01-29 10:12:00
CBRL,29.4,29.4,29.3,29.31,1336,0,0,2026-01-29 10:13:00
CBRL,29.31,29.47,29.31,29.47,3124,0,0,2026-01-29 10:14:00
CBRL,29.46,29.47,29.46,29.47,313,0,0,2026-01-29 10:15:00
CBRL,29.41,29.43,29.41,29.43,697,0,0,2026-01-29 10:16:00
CBRL,29.41,29.41,29.41,29.41,561,0,0,2026-01-29 10:17:00
CBRL,29.46,29.46,29.45,29.46,4778,0,0,2026-01-29 10:18:00
CBRL,29.43,29.46,29.43,29.46,646,0,0,2026-01-29 10:19:00
