Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CD,6.17,6.17,6.17,6.17,735,0,0,2026-01-29 09:30:00
CD,6.11,6.11,6.11,6.11,276,0,0,2026-01-29 09:40:00
CD,5.89,5.89,5.89,5.89,192,0,0,2026-01-29 09:43:00
CD,5.95,5.95,5.95,5.95,143,0,0,2026-01-29 09:44:00
CD,5.91,5.91,5.91,5.91,154,0,0,2026-01-29 09:45:00
CD,6.04,6.04,6.04,6.04,752,0,0,2026-01-29 09:47:00
CD,5.96,5.96,5.96,5.96,120,0,0,2026-01-29 09:48:00
CD,5.95,5.95,5.95,5.95,154,0,0,2026-01-29 09:49:00
CD,5.91,5.91,5.91,5.91,220,0,0,2026-01-29 09:53:00
CD,5.95,5.95,5.95,5.95,102,0,0,2026-01-29 09:57:00
CD,5.89,5.93,5.89,5.92,3120,0,0,2026-01-29 09:58:00
CD,5.87,5.87,5.87,5.87,101,0,0,2026-01-29 10:00:00
CD,5.83,5.83,5.83,5.83,378,0,0,2026-01-29 10:01:00
CD,5.79,5.79,5.79,5.79,207,0,0,2026-01-29 10:03:00
CD,5.82,5.82,5.82,5.82,163,0,0,2026-01-29 10:05:00
CD,5.72,5.77,5.61,5.77,1496,0,0,2026-01-29 10:10:00
CD,5.82,5.82,5.82,5.82,816,0,0,2026-01-29 10:18:00
CD,5.82,5.82,5.82,5.82,113,0,0,2026-01-29 10:20:00
CD,5.79,5.79,5.79,5.79,107,0,0,2026-01-29 10:21:00
CD,5.78,5.81,5.78,5.81,1245,0,0,2026-01-29 10:26:00
CD,5.76,5.76,5.76,5.76,826,0,0,2026-01-29 10:30:00
CD,5.81,5.81,5.81,5.81,151,0,0,2026-01-29 10:31:00
CD,5.79,5.79,5.79,5.79,222,0,0,2026-01-29 10:48:00
CD,5.75,5.75,5.73,5.75,1016,0,0,2026-01-29 10:50:00
CD,5.76,5.76,5.76,5.76,364,0,0,2026-01-29 10:54:00
CD,5.79,5.79,5.78,5.78,427,0,0,2026-01-29 10:55:00
CD,5.75,5.75,5.75,5.75,486,0,0,2026-01-29 11:06:00
CD,5.83,5.83,5.83,5.83,102,0,0,2026-01-29 11:15:00
CD,5.83,5.83,5.83,5.83,201,0,0,2026-01-29 11:16:00
CD,5.78,5.78,5.78,5.78,444,0,0,2026-01-29 11:20:00
CD,5.81,5.81,5.81,5.81,1037,0,0,2026-01-29 11:37:00
CD,5.86,5.86,5.86,5.86,436,0,0,2026-01-29 11:39:00
CD,5.91,5.94,5.83,5.93,1471,0,0,2026-01-29 12:00:00
CD,5.94,5.95,5.94,5.95,654,0,0,2026-01-29 12:12:00
CD,5.97,5.97,5.97,5.97,110,0,0,2026-01-29 12:14:00
CD,5.99,5.99,5.99,5.99,134,0,0,2026-01-29 12:38:00
CD,5.99,5.99,5.99,5.99,101,0,0,2026-01-29 12:40:00
CD,5.99,5.99,5.99,5.99,168,0,0,2026-01-29 12:42:00
