Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CDRE,40.46,41.19,40.46,41.19,1341,0,0,2026-01-29 09:30:00
CDRE,41.19,41.19,41.19,41.19,276,0,0,2026-01-29 09:34:00
CDRE,41.2,41.2,41.2,41.2,101,0,0,2026-01-29 09:37:00
CDRE,41.22,41.22,41.22,41.22,737,0,0,2026-01-29 09:44:00
CDRE,41.31,41.31,41.28,41.28,307,0,0,2026-01-29 09:47:00
CDRE,40.71,40.71,40.71,40.71,139,0,0,2026-01-29 09:53:00
CDRE,40.71,40.71,40.71,40.71,170,0,0,2026-01-29 09:54:00
CDRE,40.71,40.71,40.71,40.71,235,0,0,2026-01-29 09:58:00
CDRE,40.71,40.71,40.71,40.71,115,0,0,2026-01-29 10:04:00
CDRE,40.7,40.7,40.7,40.7,121,0,0,2026-01-29 10:08:00
CDRE,40.34,40.41,40.29,40.29,3405,0,0,2026-01-29 10:13:00
CDRE,40.56,41.02,40.56,40.56,991,0,0,2026-01-29 10:15:00
CDRE,40.59,40.59,40.59,40.59,220,0,0,2026-01-29 10:28:00
CDRE,40.59,40.59,40.59,40.59,168,0,0,2026-01-29 10:29:00
CDRE,40.32,40.32,40.32,40.32,563,0,0,2026-01-29 10:30:00
CDRE,40.2,40.27,40.16,40.27,962,0,0,2026-01-29 10:34:00
CDRE,40.14,40.14,40.14,40.14,163,0,0,2026-01-29 10:40:00
CDRE,40.0,40.0,39.95,40.0,936,0,0,2026-01-29 10:43:00
CDRE,39.94,39.96,39.94,39.95,2319,39.59,40.12,2026-01-29 10:45:00
CDRE,39.85,39.85,39.85,39.85,200,0,0,2026-01-29 10:46:00
CDRE,39.85,39.85,39.85,39.85,129,0,0,2026-01-29 10:47:00
CDRE,39.85,39.85,39.85,39.85,226,0,0,2026-01-29 10:48:00
CDRE,39.9,39.9,39.9,39.9,264,0,0,2026-01-29 10:56:00
CDRE,39.71,39.74,39.71,39.74,1042,0,0,2026-01-29 11:06:00
CDRE,39.55,39.83,39.55,39.7,1501,0,0,2026-01-29 11:09:00
CDRE,39.73,39.73,39.73,39.73,215,0,0,2026-01-29 11:10:00
CDRE,39.86,39.87,39.86,39.87,784,0,0,2026-01-29 11:11:00
CDRE,39.82,39.82,39.82,39.82,433,0,0,2026-01-29 11:13:00
CDRE,39.88,39.9,39.87,39.88,906,0,0,2026-01-29 11:14:00
CDRE,39.88,39.91,39.88,39.91,1183,0,0,2026-01-29 11:15:00
CDRE,39.86,39.86,39.7,39.7,1562,0,0,2026-01-29 11:19:00
CDRE,39.76,39.76,39.76,39.76,114,0,0,2026-01-29 11:20:00
CDRE,39.75,39.75,39.75,39.75,203,0,0,2026-01-29 11:25:00
CDRE,39.78,39.78,39.78,39.78,6504,0,0,2026-01-29 11:26:00
CDRE,39.93,39.95,39.92,39.92,1038,0,0,2026-01-29 11:27:00
CDRE,39.88,39.88,39.88,39.88,189,0,0,2026-01-29 11:28:00
CDRE,39.91,39.91,39.91,39.91,138,0,0,2026-01-29 11:32:00
CDRE,39.92,39.92,39.92,39.92,322,0,0,2026-01-29 11:34:00
CDRE,40.12,40.14,39.94,40.14,5929,0,0,2026-01-29 11:35:00
CDRE,40.01,40.23,40.01,40.15,4715,0,0,2026-01-29 11:36:00
CDRE,40.27,40.27,40.27,40.27,275,0,0,2026-01-29 11:37:00
CDRE,40.15,40.15,40.15,40.15,388,0,0,2026-01-29 11:43:00
CDRE,40.1,40.1,40.09,40.09,283,0,0,2026-01-29 11:45:00
CDRE,40.1,40.1,40.1,40.1,315,0,0,2026-01-29 11:49:00
CDRE,40.09,40.09,40.09,40.09,225,0,0,2026-01-29 11:56:00
CDRE,40.09,40.3,40.09,40.27,2412,0,0,2026-01-29 12:04:00
CDRE,40.25,40.35,40.24,40.25,1631,0,0,2026-01-29 12:07:00
CDRE,40.26,40.26,40.26,40.26,362,0,0,2026-01-29 12:08:00
CDRE,40.44,40.44,40.44,40.44,401,0,0,2026-01-29 12:09:00
CDRE,40.41,40.41,40.41,40.41,197,0,0,2026-01-29 12:18:00
CDRE,40.14,40.14,40.14,40.14,205,0,0,2026-01-29 12:20:00
CDRE,40.17,40.17,40.17,40.17,282,0,0,2026-01-29 12:29:00
CDRE,40.21,40.21,40.21,40.21,131,0,0,2026-01-29 12:32:00
CDRE,40.07,40.07,40.07,40.07,102,0,0,2026-01-29 12:41:00
CDRE,40.08,40.08,40.08,40.08,456,0,0,2026-01-29 12:50:00
