Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CFFN,7.21,7.23,7.18,7.23,22605,0,0,2026-01-29 09:30:00
CFFN,7.21,7.31,7.21,7.25,19747,0,0,2026-01-29 09:31:00
CFFN,7.26,7.26,7.25,7.25,1192,0,0,2026-01-29 09:32:00
CFFN,7.24,7.28,7.24,7.28,2842,0,0,2026-01-29 09:33:00
CFFN,7.3,7.35,7.29,7.35,62197,0,0,2026-01-29 09:34:00
CFFN,7.34,7.38,7.33,7.33,10817,7.33,7.34,2026-01-29 09:36:00
CFFN,7.33,7.36,7.33,7.34,2226,0,0,2026-01-29 09:36:00
CFFN,7.36,7.36,7.34,7.36,1805,0,0,2026-01-29 09:37:00
CFFN,7.36,7.36,7.34,7.34,1533,0,0,2026-01-29 09:38:00
CFFN,7.34,7.34,7.34,7.34,710,0,0,2026-01-29 09:39:00
CFFN,7.34,7.34,7.34,7.34,436,0,0,2026-01-29 09:40:00
CFFN,7.35,7.37,7.35,7.37,3406,0,0,2026-01-29 09:41:00
CFFN,7.37,7.38,7.37,7.38,443,0,0,2026-01-29 09:42:00
CFFN,7.38,7.38,7.37,7.37,1238,0,0,2026-01-29 09:43:00
CFFN,7.38,7.38,7.37,7.37,1670,0,0,2026-01-29 09:44:00
CFFN,7.37,7.4,7.37,7.4,1626,0,0,2026-01-29 09:45:00
CFFN,7.38,7.38,7.36,7.36,4317,0,0,2026-01-29 09:46:00
CFFN,7.35,7.35,7.34,7.35,968,0,0,2026-01-29 09:47:00
CFFN,7.34,7.35,7.33,7.35,851,0,0,2026-01-29 09:48:00
CFFN,7.34,7.34,7.34,7.34,553,0,0,2026-01-29 09:49:00
CFFN,7.34,7.34,7.29,7.29,5679,0,0,2026-01-29 09:50:00
CFFN,7.29,7.31,7.29,7.3,2809,0,0,2026-01-29 09:51:00
CFFN,7.3,7.32,7.3,7.3,2990,0,0,2026-01-29 09:52:00
CFFN,7.31,7.32,7.31,7.32,760,0,0,2026-01-29 09:53:00
CFFN,7.32,7.32,7.32,7.32,593,0,0,2026-01-29 09:54:00
CFFN,7.32,7.32,7.32,7.32,1052,0,0,2026-01-29 09:55:00
CFFN,7.33,7.33,7.33,7.33,923,0,0,2026-01-29 09:56:00
CFFN,7.32,7.33,7.32,7.33,1036,0,0,2026-01-29 09:57:00
CFFN,7.33,7.33,7.33,7.33,145,0,0,2026-01-29 09:58:00
CFFN,7.32,7.32,7.32,7.32,1208,0,0,2026-01-29 09:59:00
CFFN,7.33,7.33,7.33,7.33,307,0,0,2026-01-29 10:00:00
CFFN,7.33,7.33,7.32,7.32,887,0,0,2026-01-29 10:01:00
CFFN,7.32,7.32,7.32,7.32,1324,0,0,2026-01-29 10:02:00
CFFN,7.32,7.33,7.32,7.33,649,0,0,2026-01-29 10:03:00
CFFN,7.32,7.33,7.3,7.3,9789,0,0,2026-01-29 10:04:00
CFFN,7.3,7.3,7.29,7.29,3403,0,0,2026-01-29 10:05:00
CFFN,7.29,7.29,7.28,7.29,5075,0,0,2026-01-29 10:06:00
CFFN,7.29,7.29,7.29,7.29,718,0,0,2026-01-29 10:07:00
CFFN,7.27,7.27,7.26,7.26,5608,0,0,2026-01-29 10:08:00
CFFN,7.27,7.28,7.26,7.26,3257,0,0,2026-01-29 10:10:00
CFFN,7.26,7.26,7.26,7.26,379,0,0,2026-01-29 10:11:00
CFFN,7.25,7.25,7.25,7.25,1887,0,0,2026-01-29 10:12:00
CFFN,7.25,7.27,7.24,7.27,16637,0,0,2026-01-29 10:14:00
CFFN,7.27,7.28,7.27,7.28,1634,0,0,2026-01-29 10:15:00
CFFN,7.29,7.29,7.29,7.29,521,0,0,2026-01-29 10:16:00
CFFN,7.28,7.28,7.27,7.27,6986,0,0,2026-01-29 10:17:00
