Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CIEN,260.0,260.0,260.0,260.0,155,0,0,2026-01-29 08:12:00
CIEN,259.0,259.1,259.0,259.1,265,0,0,2026-01-29 08:29:00
CIEN,258.6,258.6,258.6,258.6,244,0,0,2026-01-29 08:32:00
CIEN,259.0,259.0,259.0,259.0,639,0,0,2026-01-29 08:34:00
CIEN,258.5,258.5,258.5,258.5,234,258,259,2026-01-29 08:42:00
CIEN,258.99,258.99,258.99,258.99,590,0,0,2026-01-29 08:43:00
CIEN,258.99,258.99,258.99,258.99,488,0,0,2026-01-29 08:44:00
CIEN,259,259,259,259,172,257,259,2026-01-29 08:48:00
CIEN,258.4,258.4,258.4,258.4,101,257,259,2026-01-29 08:53:00
CIEN,259,259,257.31,257.31,486,257,259,2026-01-29 08:55:00
CIEN,258.0,258.0,258.0,258.0,100,0,0,2026-01-29 09:22:00
CIEN,257.0,259.19,256.87,257.03,30108,0,0,2026-01-29 09:30:00
CIEN,257.38,257.94,255.5,257.1,27883,0,0,2026-01-29 09:31:00
CIEN,256.71,258.15,256.06,256.74,7723,255.96,258.03,2026-01-29 09:33:00
CIEN,257.0,258.9,256.94,258.03,3998,0,0,2026-01-29 09:33:00
CIEN,258.03,258.03,252.5,254.7,15830,0,0,2026-01-29 09:34:00
CIEN,254.59,254.59,252.01,253.25,6360,252.01,254.49,2026-01-29 09:36:00
CIEN,253.25,253.25,253.21,253.25,1669,0,0,2026-01-29 09:36:00
CIEN,253.25,255.96,252.06,254.83,8997,0,0,2026-01-29 09:37:00
CIEN,254.83,256.13,254.09,255.63,13100,0,0,2026-01-29 09:38:00
CIEN,256.5,256.86,255.74,255.74,8171,0,0,2026-01-29 09:39:00
CIEN,255.94,256.03,255.91,255.91,3046,0,0,2026-01-29 09:40:00
CIEN,255.47,256.25,254.06,256.25,6811,0,0,2026-01-29 09:41:00
CIEN,256.24,258.31,256.24,257.93,20755,0,0,2026-01-29 09:42:00
CIEN,258.66,259.83,257.32,257.82,13480,0,0,2026-01-29 09:43:00
CIEN,257.99,258.65,257.32,257.81,14565,0,0,2026-01-29 09:44:00
CIEN,257.04,257.42,256.0,257.26,22376,0,0,2026-01-29 09:45:00
CIEN,256.8,256.8,255.27,255.94,7536,0,0,2026-01-29 09:46:00
CIEN,256.0,256.86,255.91,256.23,4431,0,0,2026-01-29 09:47:00
CIEN,256.23,257.76,256.23,257.49,10320,0,0,2026-01-29 09:48:00
CIEN,257.49,258.24,257.27,258.23,6502,0,0,2026-01-29 09:49:00
CIEN,258.38,258.79,257.42,257.49,21904,0,0,2026-01-29 09:50:00
CIEN,257.03,257.5,255.55,255.68,14457,0,0,2026-01-29 09:51:00
CIEN,255.73,255.76,255.69,255.76,1963,0,0,2026-01-29 09:52:00
CIEN,255.78,256.53,254.37,254.37,8082,0,0,2026-01-29 09:53:00
CIEN,254.52,254.78,254.0,254.78,4074,0,0,2026-01-29 09:54:00
CIEN,254.73,256.45,254.27,256.11,5718,0,0,2026-01-29 09:55:00
CIEN,256.19,256.19,255.77,255.77,2438,0,0,2026-01-29 09:56:00
CIEN,256.0,256.04,255.75,255.75,2045,0,0,2026-01-29 09:57:00
CIEN,254.99,254.99,253.28,253.77,5336,0,0,2026-01-29 09:58:00
CIEN,253.11,253.11,251.01,251.01,5937,0,0,2026-01-29 09:59:00
CIEN,251.88,251.88,250.31,250.41,9982,0,0,2026-01-29 10:00:00
CIEN,250.76,251.2,249.39,250.0,8474,0,0,2026-01-29 10:01:00
CIEN,250.0,250.95,249.7,249.7,3766,0,0,2026-01-29 10:02:00
CIEN,249.68,250.06,249.18,249.24,14056,0,0,2026-01-29 10:03:00
CIEN,249.37,250.17,248.58,249.45,21038,0,0,2026-01-29 10:04:00
CIEN,249.5,249.51,249.5,249.51,934,0,0,2026-01-29 10:05:00
CIEN,248.72,249.69,248.65,248.92,4986,0,0,2026-01-29 10:06:00
CIEN,248.87,248.87,247.1,247.44,12450,0,0,2026-01-29 10:07:00
CIEN,247.4,248.21,246.92,247.42,7956,0,0,2026-01-29 10:08:00
CIEN,247.68,248.29,246.55,246.62,8539,0,0,2026-01-29 10:09:00
CIEN,246.79,246.9,245.0,245.53,12319,0,0,2026-01-29 10:10:00
