Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CLW,17.58,17.58,17.58,17.58,619,0,0,2026-01-29 09:30:00
CLW,17.43,17.43,17.39,17.39,444,0,0,2026-01-29 09:34:00
CLW,17.18,17.18,17.0,17.0,1835,0,0,2026-01-29 09:53:00
CLW,17.41,17.41,17.41,17.41,164,0,0,2026-01-29 09:54:00
CLW,17.12,17.36,17.05,17.05,1742,0,0,2026-01-29 09:56:00
CLW,17.1,17.1,17.1,17.1,762,0,0,2026-01-29 09:57:00
CLW,17.12,17.12,17.06,17.06,746,0,0,2026-01-29 10:04:00
CLW,17.05,17.05,17.05,17.05,417,0,0,2026-01-29 10:05:00
CLW,17.01,17.01,17.0,17.0,766,0,0,2026-01-29 10:06:00
CLW,16.9,16.9,16.78,16.78,287,0,0,2026-01-29 10:10:00
CLW,16.97,16.97,16.97,16.97,282,0,0,2026-01-29 10:11:00
CLW,16.86,16.86,16.85,16.85,1453,0,0,2026-01-29 10:14:00
CLW,16.92,16.93,16.92,16.93,340,0,0,2026-01-29 10:15:00
CLW,16.88,16.88,16.88,16.88,276,0,0,2026-01-29 10:17:00
CLW,16.89,16.89,16.86,16.86,648,0,0,2026-01-29 10:18:00
CLW,16.85,16.85,16.85,16.85,1234,0,0,2026-01-29 10:19:00
CLW,16.81,16.81,16.81,16.81,243,0,0,2026-01-29 10:21:00
CLW,16.78,16.78,16.76,16.76,1271,0,0,2026-01-29 10:22:00
CLW,16.75,16.8,16.7,16.78,4161,0,0,2026-01-29 10:23:00
CLW,16.79,16.81,16.72,16.72,1114,0,0,2026-01-29 10:24:00
CLW,16.81,16.82,16.69,16.82,1050,0,0,2026-01-29 10:25:00
CLW,16.69,16.69,16.69,16.69,503,0,0,2026-01-29 10:29:00
CLW,16.74,16.74,16.66,16.66,320,0,0,2026-01-29 10:30:00
CLW,16.75,16.81,16.75,16.81,4921,0,0,2026-01-29 10:31:00
CLW,16.76,16.76,16.76,16.76,254,0,0,2026-01-29 10:35:00
CLW,16.72,16.76,16.72,16.76,602,0,0,2026-01-29 10:36:00
CLW,16.83,16.83,16.83,16.83,323,0,0,2026-01-29 10:42:00
CLW,16.8,16.8,16.8,16.8,272,0,0,2026-01-29 10:43:00
CLW,16.8,16.8,16.8,16.8,440,0,0,2026-01-29 10:46:00
CLW,16.86,16.86,16.86,16.86,137,0,0,2026-01-29 10:51:00
CLW,16.9,16.92,16.9,16.92,322,0,0,2026-01-29 10:53:00
CLW,16.93,16.93,16.93,16.93,331,0,0,2026-01-29 10:56:00
CLW,16.97,16.99,16.97,16.97,913,0,0,2026-01-29 10:57:00
CLW,16.92,16.92,16.89,16.89,1646,0,0,2026-01-29 11:00:00
CLW,16.82,16.82,16.82,16.82,131,0,0,2026-01-29 11:01:00
CLW,16.94,16.94,16.89,16.89,563,0,0,2026-01-29 11:03:00
CLW,16.94,16.94,16.94,16.94,148,0,0,2026-01-29 11:05:00
CLW,16.93,16.93,16.93,16.93,234,0,0,2026-01-29 11:07:00
CLW,16.83,16.83,16.82,16.82,389,0,0,2026-01-29 11:09:00
CLW,16.91,16.91,16.91,16.91,557,0,0,2026-01-29 11:10:00
CLW,16.94,16.94,16.94,16.94,586,0,0,2026-01-29 11:12:00
CLW,16.94,16.94,16.94,16.94,248,0,0,2026-01-29 11:13:00
CLW,16.91,16.91,16.9,16.91,1223,16.89,16.99,2026-01-29 11:15:00
CLW,16.85,16.86,16.84,16.86,610,0,0,2026-01-29 11:22:00
CLW,16.8,16.8,16.8,16.8,166,0,0,2026-01-29 11:25:00
CLW,16.78,16.78,16.78,16.78,338,0,0,2026-01-29 11:28:00
CLW,16.79,16.8,16.79,16.8,735,0,0,2026-01-29 11:30:00
CLW,16.79,16.79,16.77,16.77,352,0,0,2026-01-29 11:35:00
CLW,16.8,16.8,16.8,16.8,340,0,0,2026-01-29 11:37:00
CLW,16.81,16.81,16.76,16.76,774,0,0,2026-01-29 11:38:00
CLW,16.76,16.78,16.76,16.78,276,0,0,2026-01-29 11:39:00
CLW,16.74,16.74,16.74,16.74,375,16.72,16.79,2026-01-29 11:45:00
CLW,16.66,16.66,16.66,16.66,118,0,0,2026-01-29 11:47:00
CLW,16.68,16.71,16.68,16.71,1716,0,0,2026-01-29 11:48:00
CLW,16.69,16.73,16.69,16.73,784,0,0,2026-01-29 11:55:00
CLW,16.74,16.76,16.73,16.76,2248,0,0,2026-01-29 12:07:00
CLW,16.77,16.77,16.75,16.75,2380,0,0,2026-01-29 12:10:00
CLW,16.8,16.8,16.8,16.8,109,0,0,2026-01-29 12:11:00
CLW,16.75,16.75,16.75,16.75,419,0,0,2026-01-29 12:15:00
CLW,16.73,16.73,16.73,16.73,293,0,0,2026-01-29 12:17:00
CLW,16.76,16.76,16.75,16.75,1070,0,0,2026-01-29 12:20:00
CLW,16.76,16.76,16.76,16.76,331,0,0,2026-01-29 12:21:00
CLW,16.75,16.75,16.74,16.75,683,0,0,2026-01-29 12:22:00
CLW,16.75,16.76,16.73,16.73,1286,0,0,2026-01-29 12:28:00
CLW,16.72,16.73,16.72,16.73,1041,0,0,2026-01-29 12:46:00
CLW,16.73,16.81,16.73,16.81,1257,0,0,2026-01-29 12:50:00
CLW,16.83,16.83,16.83,16.83,192,0,0,2026-01-29 12:52:00
CLW,16.78,16.78,16.78,16.78,450,0,0,2026-01-29 12:53:00
CLW,16.76,16.76,16.76,16.76,135,0,0,2026-01-29 12:55:00
CLW,16.75,16.75,16.75,16.75,307,0,0,2026-01-29 12:56:00
