Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CMCSA,28.22,28.22,28.22,28.22,1000,0,0,2026-01-29 08:09:00
CMCSA,28.22,28.22,28.22,28.22,582,0,0,2026-01-29 08:10:00
CMCSA,28.24,28.24,28.24,28.24,181,0,0,2026-01-29 08:11:00
CMCSA,28.23,28.23,28.23,28.23,610,0,0,2026-01-29 08:13:00
CMCSA,28.21,28.21,28.13,28.13,3912,0,0,2026-01-29 08:14:00
CMCSA,28.19,28.25,28.19,28.25,7229,0,0,2026-01-29 08:18:00
CMCSA,28.39,28.39,28.39,28.39,837,0,0,2026-01-29 08:20:00
CMCSA,28.4,28.41,28.4,28.4,615,0,0,2026-01-29 08:22:00
CMCSA,28.4,28.4,28.4,28.4,283,0,0,2026-01-29 08:23:00
CMCSA,28.38,28.38,28.38,28.38,116,0,0,2026-01-29 08:24:00
CMCSA,28.31,28.31,28.31,28.31,584,0,0,2026-01-29 08:25:00
CMCSA,28.34,28.34,28.34,28.34,144,0,0,2026-01-29 08:29:00
CMCSA,28.39,28.4,28.39,28.4,456,0,0,2026-01-29 08:31:00
CMCSA,28.32,28.32,28.31,28.32,2248,0,0,2026-01-29 08:32:00
CMCSA,28.32,28.32,28.2,28.2,270,0,0,2026-01-29 08:36:00
CMCSA,28.39,28.39,28.39,28.39,937,0,0,2026-01-29 08:39:00
CMCSA,28.3,28.3,28.3,28.3,281,28.2,28.37,2026-01-29 08:41:00
CMCSA,28.26,28.3,28.2,28.2,37277,28.2,28.37,2026-01-29 08:42:00
CMCSA,28.37,28.37,28.37,28.37,291,0,0,2026-01-29 08:44:00
CMCSA,28.22,28.22,28.22,28.22,149,28.2,28.37,2026-01-29 08:46:00
CMCSA,28.23,28.23,28.2,28.2,33697,28.2,28.37,2026-01-29 08:48:00
CMCSA,28.23,28.23,26.91,27.42,49609,27.44,28.14,2026-01-29 08:49:00
CMCSA,27.49,27.76,27.44,27.68,10305,0,0,2026-01-29 08:49:00
CMCSA,27.76,27.99,27.76,27.99,1886,0,0,2026-01-29 08:50:00
CMCSA,28.27,28.37,28.27,28.35,6678,0,0,2026-01-29 08:51:00
CMCSA,28.28,28.4,28.28,28.39,10227,28.1,28.4,2026-01-29 08:53:00
CMCSA,28.12,28.12,28.1,28.1,1352,0,0,2026-01-29 08:53:00
CMCSA,28.24,28.24,28.2,28.2,749,0,0,2026-01-29 08:55:00
CMCSA,28.23,28.24,28.23,28.24,296,0,0,2026-01-29 08:57:00
CMCSA,28.22,28.22,27.98,27.98,12702,27.88,28,2026-01-29 09:01:00
CMCSA,27.93,27.93,27.85,27.85,2456,0,0,2026-01-29 09:02:00
CMCSA,27.81,27.81,27.74,27.74,784,0,0,2026-01-29 09:03:00
CMCSA,27.75,27.9,27.75,27.9,2040,0,0,2026-01-29 09:04:00
CMCSA,28,28,28,28,2701,27.65,28,2026-01-29 09:06:00
CMCSA,27.85,27.85,27.75,27.76,2622,0,0,2026-01-29 09:06:00
CMCSA,27.84,27.84,27.84,27.84,451,0,0,2026-01-29 09:07:00
CMCSA,27.87,28.0,27.87,28.0,4243,0,0,2026-01-29 09:09:00
CMCSA,28.0,28.37,28.0,28.11,28480,0,0,2026-01-29 09:10:00
CMCSA,28.15,28.16,28.15,28.16,370,0,0,2026-01-29 09:11:00
CMCSA,28.27,28.39,28.26,28.39,2859,0,0,2026-01-29 09:12:00
CMCSA,28.34,28.55,28.3,28.47,10482,0,0,2026-01-29 09:13:00
CMCSA,28.41,28.41,28.3,28.36,6982,28.3,28.57,2026-01-29 09:15:00
CMCSA,28.41,28.41,28.2,28.24,75916,0,0,2026-01-29 09:16:00
CMCSA,28.2,28.2,28.2,28.2,122,0,0,2026-01-29 09:17:00
CMCSA,28.19,28.19,28.15,28.15,2076,0,0,2026-01-29 09:18:00
CMCSA,28.16,28.16,28.15,28.15,8446,0,0,2026-01-29 09:19:00
CMCSA,28.15,28.15,27.82,27.92,21059,0,0,2026-01-29 09:20:00
CMCSA,27.9,28.08,27.75,27.97,45760,0,0,2026-01-29 09:21:00
CMCSA,27.94,28.0,27.94,28.0,33946,0,0,2026-01-29 09:22:00
CMCSA,27.85,27.85,27.62,27.62,5372,27.6,27.69,2026-01-29 09:24:00
CMCSA,27.63,27.8,27.63,27.75,33149,0,0,2026-01-29 09:24:00
CMCSA,27.7,27.76,27.7,27.75,48183,0,0,2026-01-29 09:25:00
CMCSA,27.75,27.77,27.75,27.75,8563,0,0,2026-01-29 09:26:00
CMCSA,27.76,27.77,27.63,27.69,14533,0,0,2026-01-29 09:27:00
CMCSA,27.65,27.65,27.49,27.53,11835,0,0,2026-01-29 09:28:00
CMCSA,27.49,27.54,27.49,27.5,11049,27.62,27.68,2026-01-29 09:30:00
CMCSA,27.62,28.5,27.58,28.48,1510268,0,0,2026-01-29 09:30:00
CMCSA,28.48,28.68,28.41,28.5,419586,0,0,2026-01-29 09:31:00
CMCSA,28.5,28.69,28.36,28.38,545054,0,0,2026-01-29 09:32:00
CMCSA,28.38,28.7,28.32,28.59,518282,0,0,2026-01-29 09:33:00
CMCSA,28.59,28.61,28.37,28.38,541894,0,0,2026-01-29 09:34:00
CMCSA,28.37,28.41,28.3,28.38,348199,28.34,28.36,2026-01-29 09:36:00
