Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CMRE,16.6,16.6,16.6,16.6,3437,0,0,2026-01-29 09:30:00
CMRE,16.65,16.66,16.65,16.66,6968,0,0,2026-01-29 09:31:00
CMRE,16.72,16.74,16.71,16.74,1889,16.71,16.77,2026-01-29 09:33:00
CMRE,16.74,16.74,16.69,16.69,726,0,0,2026-01-29 09:33:00
CMRE,16.69,16.73,16.69,16.73,2408,0,0,2026-01-29 09:34:00
CMRE,16.68,16.68,16.68,16.68,303,16.56,16.69,2026-01-29 09:36:00
CMRE,16.62,16.62,16.62,16.62,234,0,0,2026-01-29 09:36:00
CMRE,16.62,16.62,16.62,16.62,217,0,0,2026-01-29 09:37:00
CMRE,16.68,16.71,16.68,16.71,655,0,0,2026-01-29 09:39:00
CMRE,16.71,16.74,16.71,16.74,380,0,0,2026-01-29 09:40:00
CMRE,16.76,16.76,16.76,16.76,148,0,0,2026-01-29 09:41:00
CMRE,16.71,16.71,16.71,16.71,930,0,0,2026-01-29 09:43:00
CMRE,16.75,16.75,16.75,16.75,211,0,0,2026-01-29 09:44:00
CMRE,16.68,16.68,16.68,16.68,131,0,0,2026-01-29 09:46:00
CMRE,16.74,16.74,16.7,16.7,441,0,0,2026-01-29 09:47:00
CMRE,16.67,16.67,16.64,16.67,2340,0,0,2026-01-29 09:48:00
CMRE,16.68,16.69,16.67,16.68,2410,0,0,2026-01-29 09:50:00
CMRE,16.67,16.69,16.67,16.69,600,0,0,2026-01-29 09:51:00
CMRE,16.64,16.64,16.63,16.64,684,0,0,2026-01-29 09:54:00
CMRE,16.61,16.61,16.61,16.61,315,0,0,2026-01-29 09:57:00
CMRE,16.57,16.57,16.57,16.57,102,0,0,2026-01-29 09:59:00
CMRE,16.52,16.52,16.52,16.52,274,0,0,2026-01-29 10:00:00
CMRE,16.5,16.5,16.5,16.5,198,0,0,2026-01-29 10:02:00
CMRE,16.5,16.5,16.5,16.5,174,0,0,2026-01-29 10:03:00
CMRE,16.48,16.48,16.48,16.48,175,0,0,2026-01-29 10:04:00
CMRE,16.49,16.49,16.49,16.49,412,0,0,2026-01-29 10:06:00
CMRE,16.48,16.49,16.48,16.49,882,0,0,2026-01-29 10:07:00
CMRE,16.5,16.5,16.5,16.5,191,0,0,2026-01-29 10:08:00
CMRE,16.48,16.48,16.48,16.48,715,0,0,2026-01-29 10:09:00
CMRE,16.47,16.51,16.47,16.51,2092,0,0,2026-01-29 10:11:00
CMRE,16.51,16.51,16.51,16.51,425,0,0,2026-01-29 10:12:00
CMRE,16.5,16.5,16.5,16.5,148,0,0,2026-01-29 10:13:00
CMRE,16.48,16.48,16.44,16.44,2281,0,0,2026-01-29 10:22:00
CMRE,16.43,16.43,16.4,16.4,959,0,0,2026-01-29 10:23:00
CMRE,16.42,16.43,16.42,16.43,809,0,0,2026-01-29 10:24:00
CMRE,16.45,16.46,16.45,16.46,765,0,0,2026-01-29 10:25:00
CMRE,16.47,16.47,16.47,16.47,308,0,0,2026-01-29 10:26:00
CMRE,16.44,16.46,16.44,16.46,656,0,0,2026-01-29 10:27:00
CMRE,16.46,16.46,16.46,16.46,143,0,0,2026-01-29 10:28:00
CMRE,16.43,16.43,16.43,16.43,469,0,0,2026-01-29 10:29:00
CMRE,16.46,16.47,16.46,16.47,1423,0,0,2026-01-29 10:31:00
CMRE,16.47,16.47,16.47,16.47,165,0,0,2026-01-29 10:32:00
CMRE,16.47,16.47,16.47,16.47,127,0,0,2026-01-29 10:33:00
CMRE,16.48,16.49,16.48,16.49,847,0,0,2026-01-29 10:37:00
CMRE,16.5,16.5,16.5,16.5,377,0,0,2026-01-29 10:40:00
CMRE,16.47,16.47,16.47,16.47,218,0,0,2026-01-29 10:41:00
CMRE,16.47,16.49,16.47,16.49,248,0,0,2026-01-29 10:42:00
CMRE,16.46,16.46,16.43,16.43,1138,16.41,16.46,2026-01-29 10:45:00
CMRE,16.46,16.47,16.46,16.47,1306,0,0,2026-01-29 10:46:00
CMRE,16.48,16.48,16.48,16.48,194,0,0,2026-01-29 10:48:00
CMRE,16.44,16.44,16.44,16.44,251,0,0,2026-01-29 10:51:00
CMRE,16.45,16.45,16.43,16.43,604,0,0,2026-01-29 10:53:00
CMRE,16.44,16.44,16.44,16.44,522,0,0,2026-01-29 10:55:00
CMRE,16.43,16.45,16.43,16.43,1763,0,0,2026-01-29 10:58:00
CMRE,16.45,16.45,16.45,16.45,279,0,0,2026-01-29 10:59:00
CMRE,16.45,16.45,16.43,16.43,590,0,0,2026-01-29 11:02:00
CMRE,16.43,16.43,16.4,16.4,2308,0,0,2026-01-29 11:03:00
CMRE,16.41,16.41,16.41,16.41,518,0,0,2026-01-29 11:04:00
CMRE,16.41,16.41,16.41,16.41,1089,0,0,2026-01-29 11:05:00
CMRE,16.41,16.41,16.41,16.41,443,0,0,2026-01-29 11:06:00
CMRE,16.41,16.41,16.41,16.41,1651,0,0,2026-01-29 11:07:00
CMRE,16.4,16.4,16.39,16.39,783,0,0,2026-01-29 11:08:00
CMRE,16.4,16.4,16.4,16.4,2562,0,0,2026-01-29 11:09:00
CMRE,16.42,16.42,16.42,16.42,1238,0,0,2026-01-29 11:10:00
CMRE,16.45,16.45,16.45,16.45,283,0,0,2026-01-29 11:11:00
CMRE,16.46,16.5,16.46,16.5,540,0,0,2026-01-29 11:12:00
CMRE,16.5,16.5,16.5,16.5,109,0,0,2026-01-29 11:13:00
CMRE,16.5,16.5,16.5,16.5,406,0,0,2026-01-29 11:14:00
CMRE,16.5,16.5,16.5,16.5,123,0,0,2026-01-29 11:17:00
CMRE,16.52,16.52,16.52,16.52,196,0,0,2026-01-29 11:20:00
CMRE,16.5,16.5,16.46,16.46,815,0,0,2026-01-29 11:22:00
CMRE,16.46,16.46,16.46,16.46,191,0,0,2026-01-29 11:23:00
CMRE,16.48,16.5,16.48,16.5,2673,0,0,2026-01-29 11:26:00
CMRE,16.48,16.49,16.48,16.49,681,0,0,2026-01-29 11:27:00
CMRE,16.49,16.49,16.49,16.49,536,0,0,2026-01-29 11:28:00
CMRE,16.51,16.52,16.51,16.51,850,0,0,2026-01-29 11:30:00
CMRE,16.51,16.53,16.51,16.53,425,0,0,2026-01-29 11:35:00
CMRE,16.53,16.54,16.53,16.54,709,0,0,2026-01-29 11:36:00
CMRE,16.54,16.54,16.54,16.54,294,0,0,2026-01-29 11:37:00
CMRE,16.54,16.54,16.54,16.54,128,0,0,2026-01-29 11:38:00
CMRE,16.53,16.53,16.53,16.53,357,0,0,2026-01-29 11:39:00
CMRE,16.53,16.53,16.53,16.53,273,0,0,2026-01-29 11:40:00
CMRE,16.53,16.53,16.53,16.53,1912,0,0,2026-01-29 11:41:00
CMRE,16.55,16.55,16.55,16.55,228,0,0,2026-01-29 11:42:00
CMRE,16.52,16.52,16.52,16.52,218,0,0,2026-01-29 11:44:00
CMRE,16.53,16.53,16.53,16.53,372,0,0,2026-01-29 11:45:00
CMRE,16.55,16.55,16.53,16.53,510,0,0,2026-01-29 11:47:00
CMRE,16.53,16.53,16.53,16.53,309,0,0,2026-01-29 11:49:00
CMRE,16.55,16.62,16.55,16.62,2262,0,0,2026-01-29 11:50:00
CMRE,16.6,16.63,16.59,16.6,2653,0,0,2026-01-29 11:51:00
CMRE,16.61,16.62,16.61,16.62,319,0,0,2026-01-29 11:53:00
CMRE,16.64,16.64,16.64,16.64,275,0,0,2026-01-29 11:54:00
CMRE,16.63,16.63,16.62,16.62,273,0,0,2026-01-29 11:55:00
CMRE,16.62,16.62,16.62,16.62,327,0,0,2026-01-29 11:56:00
CMRE,16.64,16.64,16.64,16.64,179,0,0,2026-01-29 11:57:00
CMRE,16.62,16.62,16.62,16.62,350,0,0,2026-01-29 11:58:00
CMRE,16.62,16.62,16.6,16.6,1489,0,0,2026-01-29 11:59:00
CMRE,16.61,16.63,16.61,16.63,1425,0,0,2026-01-29 12:02:00
CMRE,16.64,16.64,16.64,16.64,407,0,0,2026-01-29 12:03:00
CMRE,16.65,16.66,16.65,16.65,2080,0,0,2026-01-29 12:05:00
CMRE,16.64,16.64,16.64,16.64,330,0,0,2026-01-29 12:12:00
CMRE,16.66,16.67,16.66,16.66,1131,0,0,2026-01-29 12:14:00
CMRE,16.66,16.71,16.66,16.69,4292,0,0,2026-01-29 12:17:00
CMRE,16.7,16.7,16.69,16.7,1078,0,0,2026-01-29 12:18:00
CMRE,16.71,16.71,16.71,16.71,1040,0,0,2026-01-29 12:20:00
CMRE,16.72,16.72,16.72,16.72,589,0,0,2026-01-29 12:21:00
CMRE,16.7,16.7,16.7,16.7,596,0,0,2026-01-29 12:22:00
CMRE,16.7,16.7,16.7,16.7,483,0,0,2026-01-29 12:24:00
CMRE,16.7,16.71,16.7,16.71,979,0,0,2026-01-29 12:29:00
CMRE,16.7,16.73,16.7,16.73,1110,0,0,2026-01-29 12:30:00
CMRE,16.73,16.73,16.73,16.73,149,0,0,2026-01-29 12:32:00
CMRE,16.71,16.71,16.71,16.71,532,0,0,2026-01-29 12:34:00
CMRE,16.71,16.71,16.71,16.71,236,0,0,2026-01-29 12:35:00
CMRE,16.72,16.72,16.72,16.72,437,0,0,2026-01-29 12:36:00
CMRE,16.74,16.74,16.74,16.74,556,0,0,2026-01-29 12:39:00
CMRE,16.73,16.73,16.73,16.73,546,0,0,2026-01-29 12:40:00
CMRE,16.73,16.73,16.73,16.73,735,0,0,2026-01-29 12:41:00
CMRE,16.72,16.72,16.72,16.72,433,0,0,2026-01-29 12:43:00
CMRE,16.71,16.71,16.7,16.71,893,0,0,2026-01-29 12:45:00
CMRE,16.7,16.7,16.7,16.7,290,0,0,2026-01-29 12:46:00
CMRE,16.7,16.7,16.7,16.7,372,0,0,2026-01-29 12:49:00
CMRE,16.68,16.68,16.68,16.68,832,0,0,2026-01-29 12:52:00
CMRE,16.67,16.67,16.66,16.66,851,0,0,2026-01-29 12:53:00
CMRE,16.64,16.64,16.62,16.64,609,0,0,2026-01-29 12:54:00
