Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CNI,98.13,98.13,98.13,98.13,196,0,0,2026-01-29 08:53:00
CNI,99.04,99.36,99.04,99.09,14130,0,0,2026-01-29 09:30:00
CNI,98.99,99.19,98.89,99.19,16386,0,0,2026-01-29 09:31:00
CNI,99.14,99.26,99.04,99.14,5298,0,0,2026-01-29 09:32:00
CNI,99.04,99.04,98.78,98.78,4753,98.78,98.95,2026-01-29 09:34:00
CNI,99.0,99.26,99.0,99.11,15404,0,0,2026-01-29 09:34:00
CNI,99.22,99.42,99.22,99.33,6388,0,0,2026-01-29 09:35:00
CNI,99.42,99.54,99.31,99.32,12614,0,0,2026-01-29 09:36:00
CNI,99.3,99.78,99.26,99.78,9909,0,0,2026-01-29 09:37:00
CNI,99.78,99.88,99.78,99.84,2333,0,0,2026-01-29 09:38:00
CNI,99.91,99.92,99.68,99.7,4331,0,0,2026-01-29 09:39:00
CNI,99.78,99.78,99.7,99.73,3436,0,0,2026-01-29 09:40:00
CNI,99.76,99.86,99.75,99.84,4056,0,0,2026-01-29 09:41:00
CNI,99.9,99.9,99.81,99.81,9488,0,0,2026-01-29 09:42:00
CNI,99.86,99.86,99.64,99.66,2776,0,0,2026-01-29 09:43:00
CNI,99.62,99.84,99.62,99.79,3098,0,0,2026-01-29 09:44:00
CNI,99.75,99.75,99.64,99.64,2907,0,0,2026-01-29 09:45:00
CNI,99.71,99.71,99.52,99.54,3423,0,0,2026-01-29 09:46:00
CNI,99.51,99.51,99.08,99.13,5667,0,0,2026-01-29 09:47:00
CNI,99.11,99.25,99.11,99.25,3941,0,0,2026-01-29 09:48:00
CNI,99.22,99.39,99.22,99.39,4454,0,0,2026-01-29 09:49:00
CNI,99.32,99.33,99.26,99.33,2037,0,0,2026-01-29 09:50:00
CNI,99.36,99.36,99.25,99.25,4457,0,0,2026-01-29 09:51:00
CNI,99.23,99.39,99.23,99.33,7663,0,0,2026-01-29 09:52:00
CNI,99.29,99.34,99.26,99.26,5438,0,0,2026-01-29 09:53:00
CNI,99.25,99.31,99.2,99.29,6982,0,0,2026-01-29 09:54:00
CNI,99.28,99.28,99.26,99.26,1288,0,0,2026-01-29 09:55:00
CNI,99.36,99.36,99.36,99.36,519,0,0,2026-01-29 09:56:00
CNI,99.28,99.46,99.28,99.37,10957,0,0,2026-01-29 09:57:00
CNI,99.41,99.53,99.41,99.52,4594,0,0,2026-01-29 09:58:00
CNI,99.52,99.52,99.37,99.37,2509,0,0,2026-01-29 09:59:00
CNI,99.37,99.46,99.34,99.38,4559,0,0,2026-01-29 10:00:00
CNI,99.37,99.42,99.32,99.32,2179,0,0,2026-01-29 10:01:00
CNI,99.32,99.36,99.29,99.29,3217,0,0,2026-01-29 10:02:00
CNI,99.23,99.25,99.17,99.2,2012,0,0,2026-01-29 10:03:00
CNI,99.28,99.31,99.28,99.31,1025,0,0,2026-01-29 10:04:00
CNI,99.3,99.4,99.29,99.35,3814,0,0,2026-01-29 10:05:00
CNI,99.37,99.37,99.34,99.34,242,0,0,2026-01-29 10:06:00
CNI,99.34,99.38,99.33,99.36,3174,0,0,2026-01-29 10:07:00
CNI,99.33,99.48,99.33,99.47,10086,0,0,2026-01-29 10:08:00
CNI,99.51,99.53,99.48,99.5,5955,0,0,2026-01-29 10:09:00
CNI,99.47,99.53,99.47,99.5,2952,0,0,2026-01-29 10:10:00
CNI,99.53,99.55,99.53,99.55,3211,0,0,2026-01-29 10:11:00
CNI,99.53,99.58,99.45,99.5,3207,0,0,2026-01-29 10:12:00
CNI,99.49,99.53,99.47,99.5,6945,0,0,2026-01-29 10:13:00
CNI,99.51,99.61,99.47,99.61,1504,0,0,2026-01-29 10:14:00
CNI,99.59,99.61,99.55,99.59,6067,0,0,2026-01-29 10:15:00
CNI,99.58,99.59,99.46,99.46,4086,0,0,2026-01-29 10:16:00
CNI,99.43,99.58,99.43,99.52,5658,0,0,2026-01-29 10:17:00
CNI,99.5,99.62,99.5,99.58,2354,0,0,2026-01-29 10:18:00
CNI,99.54,99.54,99.5,99.51,3703,0,0,2026-01-29 10:19:00
CNI,99.51,99.54,99.47,99.5,9347,0,0,2026-01-29 10:20:00
CNI,99.49,99.52,99.48,99.48,1623,0,0,2026-01-29 10:21:00
CNI,99.53,99.57,99.51,99.52,5576,0,0,2026-01-29 10:22:00
CNI,99.49,99.49,99.38,99.38,2645,0,0,2026-01-29 10:23:00
CNI,99.41,99.45,99.31,99.31,11134,0,0,2026-01-29 10:24:00
CNI,99.37,99.47,99.34,99.42,4600,0,0,2026-01-29 10:25:00
CNI,99.39,99.41,99.23,99.23,3314,0,0,2026-01-29 10:26:00
CNI,99.26,99.26,99.21,99.22,4495,0,0,2026-01-29 10:27:00
CNI,99.19,99.19,99.09,99.1,11563,0,0,2026-01-29 10:28:00
CNI,99.1,99.14,99.01,99.04,17576,0,0,2026-01-29 10:29:00
CNI,99.04,99.32,99.04,99.27,10855,0,0,2026-01-29 10:30:00
CNI,99.31,99.39,99.25,99.25,3690,0,0,2026-01-29 10:31:00
CNI,99.23,99.28,99.18,99.18,4161,0,0,2026-01-29 10:32:00
CNI,99.16,99.19,99.09,99.13,7003,0,0,2026-01-29 10:33:00
CNI,99.14,99.14,99.02,99.03,2628,0,0,2026-01-29 10:34:00
CNI,99.01,99.01,98.99,99.0,2166,0,0,2026-01-29 10:35:00
CNI,99.02,99.1,99.01,99.1,2689,0,0,2026-01-29 10:36:00
CNI,99.11,99.22,99.1,99.19,3199,0,0,2026-01-29 10:37:00
CNI,99.18,99.23,99.14,99.22,5053,0,0,2026-01-29 10:38:00
CNI,99.22,99.23,99.15,99.15,2034,0,0,2026-01-29 10:39:00
CNI,99.14,99.14,99.08,99.09,1086,0,0,2026-01-29 10:40:00
CNI,99.05,99.07,99.01,99.01,2068,0,0,2026-01-29 10:41:00
CNI,99.04,99.07,99.0,99.0,4079,0,0,2026-01-29 10:42:00
CNI,99.0,99.0,98.86,98.93,10224,0,0,2026-01-29 10:43:00
CNI,98.94,98.94,98.79,98.79,3518,98.79,98.86,2026-01-29 10:45:00
CNI,98.79,99.02,98.79,99.02,10094,0,0,2026-01-29 10:45:00
CNI,99.03,99.03,99.01,99.01,492,0,0,2026-01-29 10:46:00
CNI,99.04,99.08,99.03,99.08,4169,0,0,2026-01-29 10:47:00
CNI,99.11,99.24,99.08,99.17,8179,0,0,2026-01-29 10:48:00
CNI,99.18,99.2,99.15,99.2,1890,0,0,2026-01-29 10:49:00
CNI,99.22,99.22,99.21,99.21,1252,0,0,2026-01-29 10:50:00
CNI,99.2,99.22,99.14,99.14,2926,0,0,2026-01-29 10:51:00
CNI,99.08,99.08,99.03,99.05,2769,0,0,2026-01-29 10:52:00
CNI,99.06,99.1,99.01,99.02,2273,0,0,2026-01-29 10:53:00
CNI,99.06,99.06,99.06,99.06,611,0,0,2026-01-29 10:54:00
CNI,99.01,99.06,99.0,99.06,2151,0,0,2026-01-29 10:55:00
CNI,99.14,99.19,99.12,99.12,6234,0,0,2026-01-29 10:56:00
CNI,99.13,99.17,99.08,99.08,5296,0,0,2026-01-29 10:57:00
CNI,99.04,99.06,99.02,99.02,1345,0,0,2026-01-29 10:58:00
CNI,99.04,99.06,99.01,99.06,2693,0,0,2026-01-29 10:59:00
CNI,99.04,99.06,98.97,99.0,7971,0,0,2026-01-29 11:00:00
CNI,99.0,99.04,98.99,99.02,2904,0,0,2026-01-29 11:01:00
CNI,99.05,99.05,99.02,99.04,2082,0,0,2026-01-29 11:02:00
CNI,99.03,99.08,99.03,99.04,12972,0,0,2026-01-29 11:03:00
CNI,99.06,99.1,98.97,98.97,5357,0,0,2026-01-29 11:04:00
CNI,98.95,99.08,98.95,99.08,5157,0,0,2026-01-29 11:05:00
CNI,99.11,99.11,99.04,99.04,2165,0,0,2026-01-29 11:06:00
CNI,99.03,99.06,99.03,99.06,2442,0,0,2026-01-29 11:07:00
CNI,99.06,99.14,99.04,99.14,4384,0,0,2026-01-29 11:08:00
CNI,99.15,99.19,99.11,99.11,8772,0,0,2026-01-29 11:09:00
CNI,99.1,99.2,99.09,99.2,8398,0,0,2026-01-29 11:10:00
CNI,99.22,99.43,99.22,99.43,2712,0,0,2026-01-29 11:11:00
CNI,99.43,99.48,99.43,99.47,2700,0,0,2026-01-29 11:12:00
CNI,99.5,99.5,99.44,99.46,8312,0,0,2026-01-29 11:13:00
CNI,99.46,99.59,99.46,99.55,20648,0,0,2026-01-29 11:14:00
CNI,99.55,99.58,99.47,99.47,8330,0,0,2026-01-29 11:15:00
CNI,99.47,99.5,99.38,99.38,4042,0,0,2026-01-29 11:16:00
CNI,99.38,99.38,99.26,99.26,2104,0,0,2026-01-29 11:17:00
CNI,99.25,99.28,99.23,99.23,4032,0,0,2026-01-29 11:18:00
CNI,99.26,99.27,99.22,99.23,11153,0,0,2026-01-29 11:19:00
CNI,99.26,99.33,99.23,99.31,7788,0,0,2026-01-29 11:20:00
CNI,99.28,99.31,99.28,99.28,4624,0,0,2026-01-29 11:21:00
CNI,99.28,99.28,99.22,99.22,4107,0,0,2026-01-29 11:22:00
CNI,99.22,99.26,99.22,99.25,2701,0,0,2026-01-29 11:23:00
CNI,99.25,99.29,99.25,99.29,1622,0,0,2026-01-29 11:24:00
CNI,99.27,99.3,99.27,99.28,1687,0,0,2026-01-29 11:25:00
CNI,99.34,99.34,99.32,99.34,1886,0,0,2026-01-29 11:26:00
CNI,99.34,99.34,99.31,99.31,2455,0,0,2026-01-29 11:27:00
CNI,99.32,99.34,99.3,99.31,2008,0,0,2026-01-29 11:28:00
CNI,99.31,99.38,99.28,99.38,5136,0,0,2026-01-29 11:29:00
CNI,99.37,99.39,99.36,99.39,2119,0,0,2026-01-29 11:30:00
CNI,99.39,99.41,99.39,99.4,1096,0,0,2026-01-29 11:31:00
CNI,99.39,99.39,99.36,99.36,1643,0,0,2026-01-29 11:32:00
CNI,99.38,99.41,99.35,99.35,8509,0,0,2026-01-29 11:33:00
CNI,99.4,99.41,99.4,99.41,1501,0,0,2026-01-29 11:34:00
CNI,99.4,99.43,99.35,99.35,3827,0,0,2026-01-29 11:35:00
CNI,99.36,99.36,99.35,99.35,673,0,0,2026-01-29 11:36:00
CNI,99.33,99.33,99.29,99.3,2052,0,0,2026-01-29 11:37:00
CNI,99.3,99.35,99.24,99.28,5676,0,0,2026-01-29 11:38:00
CNI,99.29,99.34,99.25,99.34,6839,0,0,2026-01-29 11:39:00
CNI,99.31,99.41,99.31,99.41,3073,0,0,2026-01-29 11:40:00
