Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CNM,55.39,55.94,55.39,55.51,15914,0,0,2026-01-29 09:30:00
CNM,55.18,55.2,55.17,55.17,1219,0,0,2026-01-29 09:31:00
CNM,55.58,55.58,55.18,55.18,1200,0,0,2026-01-29 09:33:00
CNM,55.18,55.18,54.74,54.9,4702,0,0,2026-01-29 09:34:00
CNM,54.84,54.92,54.77,54.84,2407,54.65,55.16,2026-01-29 09:36:00
CNM,54.77,54.89,54.65,54.89,1111,0,0,2026-01-29 09:36:00
CNM,54.89,55.16,54.89,55.16,1370,0,0,2026-01-29 09:37:00
CNM,54.95,55.14,54.95,54.95,733,0,0,2026-01-29 09:38:00
CNM,55.12,55.43,55.12,55.2,5481,0,0,2026-01-29 09:39:00
CNM,55.2,55.2,55.2,55.2,992,0,0,2026-01-29 09:41:00
CNM,55.29,55.46,55.25,55.46,814,0,0,2026-01-29 09:42:00
CNM,55.33,55.33,55.31,55.31,1727,0,0,2026-01-29 09:43:00
CNM,55.23,55.23,55.23,55.23,312,0,0,2026-01-29 09:44:00
CNM,55.2,55.2,54.91,55.03,3428,0,0,2026-01-29 09:45:00
CNM,55.06,55.06,55.06,55.06,185,0,0,2026-01-29 09:46:00
CNM,54.84,54.94,54.83,54.92,1519,0,0,2026-01-29 09:48:00
CNM,54.97,54.97,54.97,54.97,605,0,0,2026-01-29 09:49:00
CNM,54.91,54.91,54.91,54.91,1120,0,0,2026-01-29 09:51:00
CNM,55.16,55.16,55.16,55.16,523,0,0,2026-01-29 09:52:00
CNM,54.91,54.91,54.91,54.91,773,0,0,2026-01-29 09:53:00
CNM,54.92,55.16,54.92,54.98,3385,0,0,2026-01-29 09:55:00
CNM,54.92,54.92,54.92,54.92,3237,0,0,2026-01-29 09:56:00
CNM,54.92,54.92,54.92,54.92,338,0,0,2026-01-29 09:57:00
CNM,54.98,54.98,54.81,54.81,1285,0,0,2026-01-29 09:59:00
CNM,54.96,54.96,54.76,54.76,1325,0,0,2026-01-29 10:00:00
CNM,54.88,54.88,54.72,54.72,4290,0,0,2026-01-29 10:01:00
CNM,54.71,54.88,54.71,54.85,1014,0,0,2026-01-29 10:02:00
CNM,54.68,54.84,54.68,54.84,648,0,0,2026-01-29 10:03:00
CNM,54.72,54.72,54.66,54.69,1226,0,0,2026-01-29 10:04:00
CNM,54.84,54.87,54.69,54.69,718,0,0,2026-01-29 10:05:00
CNM,54.68,54.72,54.67,54.72,808,0,0,2026-01-29 10:06:00
CNM,54.68,54.69,54.68,54.69,771,0,0,2026-01-29 10:07:00
CNM,54.68,54.89,54.68,54.72,610,0,0,2026-01-29 10:08:00
CNM,54.72,54.72,54.69,54.7,1735,0,0,2026-01-29 10:09:00
CNM,54.69,54.71,54.56,54.67,7692,0,0,2026-01-29 10:10:00
CNM,54.71,54.84,54.7,54.7,3163,0,0,2026-01-29 10:11:00
CNM,54.84,54.84,54.7,54.73,3809,0,0,2026-01-29 10:12:00
CNM,54.77,54.85,54.77,54.85,904,0,0,2026-01-29 10:13:00
CNM,54.76,54.78,54.76,54.78,821,0,0,2026-01-29 10:14:00
CNM,54.84,55.1,54.84,55.1,2083,0,0,2026-01-29 10:15:00
CNM,55.15,55.15,55.03,55.15,625,0,0,2026-01-29 10:16:00
CNM,55.04,55.04,55.04,55.04,1614,0,0,2026-01-29 10:17:00
CNM,55.04,55.04,54.93,55.0,1756,0,0,2026-01-29 10:18:00
CNM,55.02,55.02,54.91,54.91,1144,0,0,2026-01-29 10:19:00
CNM,54.91,55.03,54.91,54.96,923,0,0,2026-01-29 10:20:00
CNM,54.95,54.95,54.92,54.92,340,0,0,2026-01-29 10:21:00
CNM,54.91,54.97,54.88,54.88,1870,0,0,2026-01-29 10:22:00
