Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CNP,39.84,39.92,39.8,39.8,36758,0,0,2026-01-29 09:30:00
CNP,39.85,39.88,39.76,39.87,16622,0,0,2026-01-29 09:31:00
CNP,39.87,39.87,39.75,39.75,2074,0,0,2026-01-29 09:32:00
CNP,39.78,39.78,39.73,39.76,2708,0,0,2026-01-29 09:33:00
CNP,39.71,39.79,39.69,39.79,15551,0,0,2026-01-29 09:34:00
CNP,39.81,39.88,39.81,39.88,5393,0,0,2026-01-29 09:35:00
CNP,39.89,39.92,39.84,39.88,6681,0,0,2026-01-29 09:36:00
CNP,39.9,39.96,39.88,39.92,7735,0,0,2026-01-29 09:37:00
CNP,39.92,39.96,39.92,39.94,5830,0,0,2026-01-29 09:38:00
CNP,39.95,39.97,39.9,39.91,4580,0,0,2026-01-29 09:39:00
CNP,39.91,39.95,39.88,39.91,46928,0,0,2026-01-29 09:40:00
CNP,39.92,39.94,39.89,39.9,10676,0,0,2026-01-29 09:41:00
CNP,39.89,39.89,39.82,39.83,5522,0,0,2026-01-29 09:42:00
CNP,39.83,39.83,39.74,39.77,8149,0,0,2026-01-29 09:43:00
CNP,39.77,39.77,39.73,39.74,4750,0,0,2026-01-29 09:44:00
CNP,39.74,39.79,39.74,39.75,18836,0,0,2026-01-29 09:45:00
CNP,39.75,39.76,39.74,39.76,37891,0,0,2026-01-29 09:46:00
CNP,39.75,39.75,39.7,39.74,28581,0,0,2026-01-29 09:47:00
CNP,39.74,39.83,39.73,39.8,15755,0,0,2026-01-29 09:48:00
CNP,39.8,39.83,39.8,39.83,6452,39.83,39.84,2026-01-29 09:50:00
CNP,39.84,39.87,39.84,39.84,19961,0,0,2026-01-29 09:50:00
CNP,39.84,39.87,39.84,39.84,6972,0,0,2026-01-29 09:51:00
CNP,39.85,39.87,39.84,39.87,2336,0,0,2026-01-29 09:52:00
CNP,39.87,39.88,39.87,39.88,5385,0,0,2026-01-29 09:53:00
CNP,39.88,39.9,39.87,39.9,5278,0,0,2026-01-29 09:54:00
CNP,39.9,39.92,39.9,39.91,3528,0,0,2026-01-29 09:55:00
CNP,39.91,39.95,39.91,39.95,11009,0,0,2026-01-29 09:56:00
CNP,39.94,39.95,39.94,39.95,2526,0,0,2026-01-29 09:57:00
CNP,39.95,39.97,39.94,39.94,9577,0,0,2026-01-29 09:58:00
CNP,39.94,39.94,39.92,39.93,3837,0,0,2026-01-29 09:59:00
CNP,39.92,39.92,39.9,39.91,8501,0,0,2026-01-29 10:00:00
CNP,39.91,39.91,39.88,39.88,5913,0,0,2026-01-29 10:01:00
CNP,39.88,39.91,39.88,39.9,6230,0,0,2026-01-29 10:02:00
CNP,39.9,39.97,39.9,39.96,14270,0,0,2026-01-29 10:03:00
CNP,39.96,39.97,39.95,39.95,8214,0,0,2026-01-29 10:04:00
CNP,39.95,39.97,39.91,39.91,18170,0,0,2026-01-29 10:05:00
CNP,39.91,39.91,39.9,39.9,6748,0,0,2026-01-29 10:06:00
CNP,39.89,39.9,39.84,39.85,9969,0,0,2026-01-29 10:07:00
CNP,39.85,39.87,39.85,39.87,101095,0,0,2026-01-29 10:08:00
CNP,39.87,39.91,39.87,39.9,7957,0,0,2026-01-29 10:09:00
CNP,39.89,39.9,39.87,39.9,14756,0,0,2026-01-29 10:10:00
CNP,39.9,39.9,39.85,39.88,5491,0,0,2026-01-29 10:11:00
