Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
COHN,18.4,18.4,18.4,18.4,567,0,0,2026-01-29 09:30:00
COHN,18.2,18.2,18.2,18.2,166,0,0,2026-01-29 09:34:00
COHN,18.22,18.22,18.22,18.22,200,18.19,18.54,2026-01-29 09:36:00
COHN,18.22,18.22,18.22,18.22,300,0,0,2026-01-29 09:56:00
COHN,18.19,18.19,18.19,18.19,301,0,0,2026-01-29 10:02:00
COHN,18.13,18.13,18.13,18.13,300,0,0,2026-01-29 10:03:00
COHN,18.45,18.45,18.45,18.45,393,0,0,2026-01-29 10:10:00
COHN,18.25,18.25,18.21,18.21,1730,0,0,2026-01-29 10:13:00
COHN,18.43,18.43,18.21,18.21,237,0,0,2026-01-29 10:16:00
COHN,18.34,18.34,18.34,18.34,100,0,0,2026-01-29 10:18:00
COHN,18.12,18.12,18.12,18.12,110,0,0,2026-01-29 10:34:00
COHN,17.95,17.95,17.95,17.95,256,0,0,2026-01-29 10:47:00
COHN,17.84,17.84,17.83,17.83,300,0,0,2026-01-29 10:54:00
COHN,17.83,17.83,17.76,17.83,611,0,0,2026-01-29 10:55:00
COHN,17.9,17.9,17.9,17.9,5001,0,0,2026-01-29 10:59:00
COHN,17.76,17.76,17.76,17.76,279,0,0,2026-01-29 11:05:00
COHN,17.98,17.98,17.98,17.98,421,0,0,2026-01-29 11:16:00
COHN,17.98,17.98,17.98,17.98,400,0,0,2026-01-29 11:18:00
COHN,18.35,18.35,18.35,18.35,477,0,0,2026-01-29 11:25:00
COHN,18.27,18.27,18.27,18.27,101,0,0,2026-01-29 12:46:00
COHN,17.9,18.13,17.9,18.13,400,0,0,2026-01-29 12:49:00
COHN,18.19,18.19,18.19,18.19,300,0,0,2026-01-29 12:52:00
COHN,18.09,18.21,18.09,18.21,1192,0,0,2026-01-29 12:55:00
COHN,18.21,18.21,18.21,18.21,500,0,0,2026-01-29 12:56:00
