Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
COHR,222.0,222.0,222.0,222.0,623,0,0,2026-01-29 08:13:00
COHR,222.52,222.52,222.26,222.26,618,0,0,2026-01-29 08:30:00
COHR,221.75,221.75,221.66,221.66,310,0,0,2026-01-29 08:34:00
COHR,222.26,222.26,222.26,222.26,196,222.13,223.5,2026-01-29 08:41:00
COHR,223.24,223.24,223.24,223.24,200,0,0,2026-01-29 08:55:00
COHR,222.46,222.46,222.46,222.46,210,222.13,223.49,2026-01-29 09:01:00
COHR,222.13,222.13,222.13,222.13,656,0,0,2026-01-29 09:03:00
COHR,222.0,222.0,222.0,222.0,120,0,0,2026-01-29 09:10:00
COHR,221.99,221.99,221.99,221.99,281,0,0,2026-01-29 09:18:00
COHR,221.65,221.65,221.6,221.65,742,0,0,2026-01-29 09:21:00
COHR,221.15,221.15,221.15,221.15,621,221,223,2026-01-29 09:24:00
COHR,221.17,221.17,221.16,221.16,305,220.08,221.6,2026-01-29 09:30:01
COHR,221.0,221.52,219.06,220.06,57572,0,0,2026-01-29 09:30:00
COHR,219.61,220.29,218.31,220.29,29245,0,0,2026-01-29 09:31:00
COHR,220.3,222.09,219.82,221.56,18762,0,0,2026-01-29 09:32:00
COHR,220.97,222.26,219.59,219.63,35879,218.88,220.38,2026-01-29 09:34:00
COHR,219.0,219.63,215.67,216.96,27416,0,0,2026-01-29 09:34:00
COHR,217.01,218.17,215.19,218.17,19544,0,0,2026-01-29 09:35:00
COHR,217.39,217.92,216.64,217.2,9369,0,0,2026-01-29 09:36:00
COHR,217.68,217.92,216.81,217.05,8941,0,0,2026-01-29 09:37:00
COHR,217.38,219.4,217.38,218.58,7217,0,0,2026-01-29 09:38:00
COHR,218.9,220.93,218.15,218.55,23304,0,0,2026-01-29 09:39:00
COHR,218.53,218.53,216.8,217.37,8294,0,0,2026-01-29 09:40:00
COHR,217.87,218.04,216.62,217.53,9122,0,0,2026-01-29 09:41:00
COHR,217.53,219.21,217.53,218.85,6610,0,0,2026-01-29 09:42:00
COHR,219.35,221.62,219.35,219.48,25312,0,0,2026-01-29 09:43:00
COHR,220.52,221.34,219.39,219.44,4781,0,0,2026-01-29 09:44:00
COHR,219.0,220.52,219.0,219.95,8377,0,0,2026-01-29 09:45:00
COHR,219.96,220.32,219.46,219.77,26545,0,0,2026-01-29 09:46:00
COHR,219.77,220.84,219.77,220.39,5421,0,0,2026-01-29 09:47:00
COHR,220.39,221.0,220.19,221.0,7584,0,0,2026-01-29 09:48:00
COHR,220.94,221.76,220.75,221.76,30554,0,0,2026-01-29 09:49:00
COHR,221.83,222.27,220.76,221.41,13253,0,0,2026-01-29 09:50:00
COHR,221.37,221.37,219.79,219.82,34680,0,0,2026-01-29 09:51:00
COHR,219.82,220.82,219.82,220.62,8439,0,0,2026-01-29 09:52:00
COHR,220.97,222.21,220.35,221.28,32631,0,0,2026-01-29 09:53:00
COHR,221.45,221.69,219.77,220.42,14345,0,0,2026-01-29 09:54:00
COHR,220.24,221.17,220.22,221.17,4456,0,0,2026-01-29 09:55:00
COHR,221.13,221.44,220.91,221.23,5840,0,0,2026-01-29 09:56:00
COHR,221.02,221.62,220.64,220.83,9044,0,0,2026-01-29 09:57:00
COHR,220.37,220.47,219.66,219.66,5363,0,0,2026-01-29 09:58:00
COHR,219.62,219.62,219.0,219.21,7165,0,0,2026-01-29 09:59:00
COHR,219.16,219.55,218.18,218.53,15016,0,0,2026-01-29 10:00:00
