Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
COKE,149.75,150.0,149.75,150.0,7338,0,0,2026-01-29 09:30:00
COKE,149.69,149.69,149.62,149.68,1999,0,0,2026-01-29 09:31:00
COKE,149.97,150.29,149.93,150.23,2262,0,0,2026-01-29 09:32:00
COKE,150.45,150.45,150.45,150.45,381,0,0,2026-01-29 09:33:00
COKE,150.45,150.45,150.45,150.45,192,0,0,2026-01-29 09:34:00
COKE,150.81,150.9,150.67,150.9,2337,148.71,151.5,2026-01-29 09:36:00
COKE,151.25,151.5,149.9,149.9,1727,0,0,2026-01-29 09:36:00
COKE,151.55,151.55,151.55,151.55,676,0,0,2026-01-29 09:38:00
COKE,151.51,151.51,151.51,151.51,163,0,0,2026-01-29 09:39:00
COKE,150.58,151.45,150.58,151.45,466,0,0,2026-01-29 09:40:00
COKE,150.12,150.12,150.12,150.12,750,0,0,2026-01-29 09:41:00
COKE,150.02,150.02,150.02,150.02,573,0,0,2026-01-29 09:43:00
COKE,150.19,150.19,150.19,150.19,444,0,0,2026-01-29 09:45:00
COKE,149.43,149.43,149.43,149.43,132,0,0,2026-01-29 09:50:00
COKE,149.16,149.16,149.16,149.16,105,0,0,2026-01-29 09:51:00
COKE,149.66,150.18,149.66,150.18,1673,0,0,2026-01-29 09:53:00
COKE,150.24,150.3,150.2,150.3,1985,0,0,2026-01-29 09:54:00
COKE,150.24,150.24,150.24,150.24,2619,0,0,2026-01-29 09:59:00
COKE,150.24,150.24,150.24,150.24,112,0,0,2026-01-29 10:00:00
COKE,150.29,150.29,150.29,150.29,173,0,0,2026-01-29 10:01:00
COKE,150.29,150.29,150.29,150.29,522,0,0,2026-01-29 10:05:00
COKE,150.29,150.29,150.29,150.29,240,0,0,2026-01-29 10:06:00
COKE,150.29,150.29,150.29,150.29,142,0,0,2026-01-29 10:08:00
COKE,150.29,150.29,150.29,150.29,245,0,0,2026-01-29 10:09:00
COKE,150.01,150.38,149.83,149.83,2402,0,0,2026-01-29 10:11:00
COKE,150.29,150.29,150.29,150.29,456,0,0,2026-01-29 10:12:00
COKE,150.71,150.71,149.85,149.88,1371,0,0,2026-01-29 10:14:00
COKE,149.88,150.3,149.88,149.89,3935,0,0,2026-01-29 10:15:00
COKE,149.89,150.28,149.89,150.28,918,0,0,2026-01-29 10:16:00
COKE,150.31,150.67,150.18,150.67,1757,0,0,2026-01-29 10:17:00
COKE,150.28,150.28,150.28,150.28,812,0,0,2026-01-29 10:18:00
COKE,150.47,150.47,150.47,150.47,282,0,0,2026-01-29 10:19:00
COKE,150.47,150.47,150.47,150.47,279,0,0,2026-01-29 10:21:00
COKE,150.64,150.64,150.64,150.64,404,0,0,2026-01-29 10:23:00
COKE,150.64,150.64,150.64,150.64,230,0,0,2026-01-29 10:25:00
COKE,150.64,150.64,150.09,150.09,2002,0,0,2026-01-29 10:28:00
COKE,150.12,150.12,150.12,150.12,303,0,0,2026-01-29 10:29:00
COKE,149.62,149.62,149.62,149.62,113,0,0,2026-01-29 10:32:00
COKE,149.62,149.62,149.62,149.62,238,0,0,2026-01-29 10:35:00
COKE,149.72,149.72,149.72,149.72,424,0,0,2026-01-29 10:37:00
COKE,149.92,149.92,149.72,149.92,577,0,0,2026-01-29 10:38:00
COKE,149.94,149.94,149.94,149.94,715,0,0,2026-01-29 10:39:00
COKE,149.62,149.72,149.62,149.72,351,0,0,2026-01-29 10:40:00
COKE,149.96,149.96,149.96,149.96,320,0,0,2026-01-29 10:42:00
COKE,149.78,149.78,149.78,149.78,706,0,0,2026-01-29 10:43:00
COKE,149.78,149.78,149.78,149.78,412,148.95,150.6,2026-01-29 10:45:00
COKE,149.83,149.83,149.83,149.83,735,0,0,2026-01-29 10:47:00
COKE,149.88,149.88,149.51,149.51,295,0,0,2026-01-29 10:51:00
COKE,150.14,150.14,150.14,150.14,260,0,0,2026-01-29 10:53:00
COKE,150.15,150.15,150.14,150.14,746,0,0,2026-01-29 10:54:00
COKE,150.14,150.14,150.14,150.14,564,0,0,2026-01-29 10:56:00
COKE,150.6,150.6,150.6,150.6,213,0,0,2026-01-29 10:58:00
COKE,150.14,150.14,150.14,150.14,614,0,0,2026-01-29 11:00:00
COKE,149.91,150.12,149.85,149.85,474,0,0,2026-01-29 11:05:00
COKE,150.06,150.06,150.06,150.06,1379,0,0,2026-01-29 11:08:00
COKE,150.06,150.06,150.06,150.06,210,0,0,2026-01-29 11:09:00
COKE,150.15,150.15,150.15,150.15,416,0,0,2026-01-29 11:12:00
COKE,150.15,150.15,150.15,150.15,163,0,0,2026-01-29 11:13:00
COKE,150.06,150.19,150.06,150.19,677,0,0,2026-01-29 11:15:00
COKE,150.22,150.22,149.42,149.42,10220,0,0,2026-01-29 11:16:00
COKE,149.06,149.63,149.06,149.5,4483,0,0,2026-01-29 11:17:00
COKE,149.36,149.36,149.36,149.36,740,0,0,2026-01-29 11:18:00
COKE,149.35,149.35,149.35,149.35,368,0,0,2026-01-29 11:19:00
COKE,149.62,149.64,149.62,149.63,1939,0,0,2026-01-29 11:20:00
COKE,149.63,149.65,149.63,149.65,399,0,0,2026-01-29 11:21:00
COKE,149.69,149.69,149.69,149.69,1412,0,0,2026-01-29 11:22:00
COKE,149.17,149.26,149.0,149.26,4023,0,0,2026-01-29 11:26:00
COKE,149.4,149.4,149.35,149.35,1129,0,0,2026-01-29 11:28:00
COKE,149.33,149.33,149.33,149.33,261,0,0,2026-01-29 11:33:00
COKE,149.04,149.04,149.04,149.04,158,0,0,2026-01-29 11:34:00
COKE,149.16,149.26,149.13,149.19,3505,0,0,2026-01-29 11:38:00
COKE,149.19,149.19,149.19,149.19,292,0,0,2026-01-29 11:39:00
COKE,148.79,148.79,148.79,148.79,232,0,0,2026-01-29 11:40:00
COKE,149.25,149.25,149.25,149.25,120,0,0,2026-01-29 11:42:00
COKE,149.49,149.64,149.39,149.64,7137,0,0,2026-01-29 11:43:00
COKE,149.46,149.46,149.46,149.46,1059,0,0,2026-01-29 11:47:00
COKE,149.49,149.49,149.49,149.49,214,0,0,2026-01-29 11:48:00
COKE,149.23,149.23,148.97,148.97,2608,0,0,2026-01-29 11:52:00
