Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CPNG,20.33,20.33,20.33,20.33,1008,0,0,2026-01-29 08:08:00
CPNG,20.34,20.35,20.34,20.34,811,0,0,2026-01-29 08:10:00
CPNG,20.34,20.34,20.34,20.34,717,0,0,2026-01-29 08:11:00
CPNG,20.35,20.35,20.35,20.35,488,0,0,2026-01-29 08:12:00
CPNG,20.35,20.35,20.35,20.35,2034,0,0,2026-01-29 08:13:00
CPNG,20.36,20.36,20.36,20.36,246,0,0,2026-01-29 08:14:00
CPNG,20.35,20.35,20.35,20.35,1960,0,0,2026-01-29 08:16:00
CPNG,20.37,20.37,20.35,20.35,5047,0,0,2026-01-29 08:17:00
CPNG,20.37,20.37,20.35,20.35,5386,0,0,2026-01-29 08:22:00
CPNG,20.36,20.36,20.36,20.36,144,0,0,2026-01-29 08:23:00
CPNG,20.36,20.36,20.35,20.35,23464,0,0,2026-01-29 08:25:00
CPNG,20.36,20.36,20.36,20.36,1159,0,0,2026-01-29 08:26:00
CPNG,20.38,20.38,20.38,20.38,161,0,0,2026-01-29 08:27:00
CPNG,20.36,20.36,20.36,20.36,291272,0,0,2026-01-29 08:28:00
CPNG,20.36,20.37,20.36,20.37,552,0,0,2026-01-29 08:30:00
CPNG,20.37,20.37,20.36,20.36,266,0,0,2026-01-29 08:32:00
CPNG,20.37,20.37,20.37,20.37,290,0,0,2026-01-29 08:33:00
CPNG,20.37,20.37,20.37,20.37,2593,0,0,2026-01-29 08:34:00
CPNG,20.37,20.37,20.36,20.36,496,0,0,2026-01-29 08:36:00
CPNG,20.36,20.36,20.36,20.36,452,0,0,2026-01-29 08:38:00
CPNG,20.36,20.37,20.36,20.36,316,0,0,2026-01-29 08:39:00
CPNG,20.37,20.37,20.37,20.37,131,20.36,20.37,2026-01-29 08:41:00
CPNG,20.37,20.38,20.37,20.38,1148,0,0,2026-01-29 08:43:00
CPNG,20.39,20.39,20.39,20.39,1815,0,0,2026-01-29 08:44:00
CPNG,20.38,20.38,20.38,20.38,134,20.36,20.42,2026-01-29 08:46:00
CPNG,20.38,20.38,20.38,20.38,762,20.38,20.39,2026-01-29 08:49:00
CPNG,20.39,20.39,20.39,20.39,1007,0,0,2026-01-29 08:51:00
CPNG,20.38,20.38,20.38,20.38,170,0,0,2026-01-29 08:56:00
CPNG,20.4,20.4,20.4,20.4,213,0,0,2026-01-29 08:57:00
CPNG,20.39,20.4,20.39,20.4,1211,0,0,2026-01-29 08:58:00
CPNG,20.39,20.39,20.39,20.39,668,20.38,20.39,2026-01-29 09:01:00
CPNG,20.38,20.39,20.38,20.38,1651,0,0,2026-01-29 09:02:00
CPNG,20.37,20.38,20.37,20.38,847,0,0,2026-01-29 09:04:00
CPNG,20.38,20.38,20.36,20.36,2321,20.36,20.38,2026-01-29 09:06:00
CPNG,20.37,20.37,20.37,20.37,522,0,0,2026-01-29 09:06:00
CPNG,20.37,20.37,20.37,20.37,385,0,0,2026-01-29 09:07:00
CPNG,20.37,20.37,20.37,20.37,172,20.37,20.38,2026-01-29 09:09:00
CPNG,20.38,20.38,20.38,20.38,108,0,0,2026-01-29 09:11:00
CPNG,20.38,20.38,20.37,20.37,438,0,0,2026-01-29 09:12:00
CPNG,20.37,20.37,20.35,20.35,4810,0,0,2026-01-29 09:13:00
CPNG,20.35,20.35,20.35,20.35,1316,0,0,2026-01-29 09:15:00
CPNG,20.35,20.35,20.35,20.35,893,0,0,2026-01-29 09:20:00
CPNG,20.35,20.35,20.33,20.33,4780,0,0,2026-01-29 09:21:00
CPNG,20.32,20.32,20.21,20.22,8777,0,0,2026-01-29 09:22:00
CPNG,20.22,20.22,20.2,20.2,7264,20.19,20.22,2026-01-29 09:24:00
CPNG,20.19,20.19,20.17,20.19,1926,0,0,2026-01-29 09:24:00
CPNG,20.16,20.16,20.16,20.16,1077,0,0,2026-01-29 09:25:00
CPNG,20.17,20.2,20.16,20.17,2520,0,0,2026-01-29 09:26:00
CPNG,20.18,20.18,20.18,20.18,612,0,0,2026-01-29 09:27:00
CPNG,20.15,20.15,20.12,20.12,2600,0,0,2026-01-29 09:28:00
CPNG,20.16,20.16,20.06,20.06,9169,20.03,20.08,2026-01-29 09:30:01
CPNG,20.04,20.2,20.03,20.2,231092,0,0,2026-01-29 09:30:00
CPNG,20.2,20.26,20.16,20.26,28105,0,0,2026-01-29 09:31:00
CPNG,20.24,20.25,20.17,20.21,44072,0,0,2026-01-29 09:32:00
CPNG,20.21,20.23,20.16,20.16,26155,0,0,2026-01-29 09:33:00
CPNG,20.17,20.18,20.1,20.13,66133,0,0,2026-01-29 09:34:00
CPNG,20.14,20.14,20.0,20.06,66944,0,0,2026-01-29 09:35:00
CPNG,20.06,20.07,19.91,19.91,101412,0,0,2026-01-29 09:36:00
CPNG,19.91,19.94,19.89,19.93,79436,0,0,2026-01-29 09:37:00
CPNG,19.94,19.95,19.89,19.89,49035,0,0,2026-01-29 09:38:00
CPNG,19.89,19.95,19.86,19.91,46410,0,0,2026-01-29 09:39:00
CPNG,19.92,19.94,19.89,19.94,25025,0,0,2026-01-29 09:40:00
CPNG,19.95,19.96,19.88,19.96,65199,0,0,2026-01-29 09:41:00
CPNG,19.95,19.98,19.87,19.89,81361,0,0,2026-01-29 09:42:00
CPNG,19.91,19.93,19.9,19.92,61488,0,0,2026-01-29 09:43:00
CPNG,19.92,19.92,19.86,19.86,31485,0,0,2026-01-29 09:44:00
CPNG,19.86,19.91,19.83,19.91,67952,0,0,2026-01-29 09:45:00
CPNG,19.91,19.92,19.87,19.87,213410,0,0,2026-01-29 09:46:00
CPNG,19.87,20.0,19.86,19.97,162072,0,0,2026-01-29 09:47:00
CPNG,19.97,20.04,19.97,20.04,43059,0,0,2026-01-29 09:48:00
CPNG,20.04,20.07,20.0,20.01,75340,0,0,2026-01-29 09:49:00
CPNG,20.0,20.0,19.89,19.93,80487,0,0,2026-01-29 09:50:00
CPNG,19.93,19.95,19.87,19.87,126001,0,0,2026-01-29 09:51:00
CPNG,19.86,19.89,19.85,19.88,51318,0,0,2026-01-29 09:52:00
CPNG,19.89,19.93,19.88,19.91,41247,0,0,2026-01-29 09:53:00
CPNG,19.91,20.02,19.91,19.98,131226,0,0,2026-01-29 09:54:00
