Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CPRI,23.28,23.28,23.28,23.28,361,22.75,23.5,2026-01-29 08:00:02
CPRI,23.02,23.08,22.89,23.01,44431,0,0,2026-01-29 09:30:00
CPRI,23.02,23.02,22.69,22.93,16807,0,0,2026-01-29 09:31:00
CPRI,22.92,22.92,22.6,22.7,11488,22.65,22.9,2026-01-29 09:33:00
CPRI,22.65,22.65,22.62,22.62,1127,0,0,2026-01-29 09:33:00
CPRI,22.61,22.8,22.61,22.8,2628,0,0,2026-01-29 09:34:00
CPRI,22.8,22.88,22.74,22.85,4756,0,0,2026-01-29 09:35:00
CPRI,22.8,22.89,22.78,22.88,10144,0,0,2026-01-29 09:36:00
CPRI,22.9,23.06,22.9,23.06,6060,0,0,2026-01-29 09:37:00
CPRI,23.12,23.12,23.12,23.12,314,0,0,2026-01-29 09:38:00
CPRI,23.07,23.07,23.07,23.07,846,0,0,2026-01-29 09:39:00
CPRI,23.13,23.13,23.09,23.09,1895,0,0,2026-01-29 09:40:00
CPRI,23.09,23.09,23.09,23.09,460,0,0,2026-01-29 09:41:00
CPRI,23.09,23.09,23.01,23.05,2210,0,0,2026-01-29 09:42:00
CPRI,23.06,23.06,22.99,23.02,1713,0,0,2026-01-29 09:43:00
CPRI,22.97,22.98,22.79,22.79,13833,0,0,2026-01-29 09:44:00
CPRI,22.77,22.79,22.68,22.72,26827,0,0,2026-01-29 09:45:00
CPRI,22.72,22.74,22.62,22.64,3500,0,0,2026-01-29 09:46:00
CPRI,22.61,22.61,22.54,22.54,2454,0,0,2026-01-29 09:47:00
CPRI,22.51,22.54,22.51,22.53,3802,0,0,2026-01-29 09:48:00
CPRI,22.55,22.64,22.5,22.64,9374,0,0,2026-01-29 09:49:00
CPRI,22.62,22.62,22.58,22.58,2085,0,0,2026-01-29 09:50:00
CPRI,22.58,22.58,22.55,22.55,1494,0,0,2026-01-29 09:51:00
CPRI,22.56,22.6,22.56,22.59,5657,0,0,2026-01-29 09:53:00
CPRI,22.58,22.66,22.58,22.61,16851,0,0,2026-01-29 09:54:00
CPRI,22.59,22.67,22.59,22.63,10660,0,0,2026-01-29 09:55:00
CPRI,22.67,22.67,22.63,22.63,646,0,0,2026-01-29 09:56:00
CPRI,22.68,22.69,22.68,22.69,2247,0,0,2026-01-29 09:57:00
CPRI,22.65,22.65,22.61,22.61,4405,0,0,2026-01-29 09:58:00
CPRI,22.61,22.67,22.6,22.63,7566,0,0,2026-01-29 09:59:00
CPRI,22.67,22.73,22.67,22.73,4333,0,0,2026-01-29 10:00:00
CPRI,22.74,22.8,22.7,22.8,5531,0,0,2026-01-29 10:01:00
CPRI,22.8,22.8,22.73,22.73,3598,0,0,2026-01-29 10:02:00
CPRI,22.71,22.73,22.71,22.73,4384,0,0,2026-01-29 10:03:00
CPRI,22.7,22.7,22.69,22.69,1835,0,0,2026-01-29 10:04:00
CPRI,22.69,22.7,22.65,22.65,6184,0,0,2026-01-29 10:05:00
CPRI,22.64,22.64,22.59,22.59,2593,0,0,2026-01-29 10:06:00
CPRI,22.59,22.61,22.59,22.6,7327,0,0,2026-01-29 10:07:00
CPRI,22.6,22.64,22.59,22.64,5438,22.59,22.63,2026-01-29 10:09:00
CPRI,22.61,22.61,22.59,22.59,1373,0,0,2026-01-29 10:09:00
CPRI,22.59,22.59,22.55,22.55,5649,0,0,2026-01-29 10:10:00
CPRI,22.57,22.57,22.55,22.57,5008,0,0,2026-01-29 10:11:00
CPRI,22.57,22.57,22.52,22.54,11226,0,0,2026-01-29 10:12:00
CPRI,22.54,22.55,22.53,22.53,3736,0,0,2026-01-29 10:13:00
CPRI,22.53,22.59,22.51,22.59,8298,0,0,2026-01-29 10:14:00
CPRI,22.6,22.6,22.57,22.59,4179,0,0,2026-01-29 10:15:00
CPRI,22.58,22.63,22.58,22.63,3916,0,0,2026-01-29 10:16:00
CPRI,22.6,22.6,22.59,22.59,1210,0,0,2026-01-29 10:17:00
CPRI,22.59,22.63,22.59,22.62,4606,0,0,2026-01-29 10:18:00
CPRI,22.61,22.61,22.57,22.57,3264,0,0,2026-01-29 10:19:00
CPRI,22.55,22.61,22.55,22.61,8475,0,0,2026-01-29 10:20:00
CPRI,22.61,22.61,22.58,22.6,2692,0,0,2026-01-29 10:21:00
CPRI,22.59,22.63,22.59,22.6,4950,0,0,2026-01-29 10:22:00
CPRI,22.6,22.6,22.6,22.6,749,0,0,2026-01-29 10:23:00
CPRI,22.61,22.61,22.59,22.59,2407,0,0,2026-01-29 10:24:00
CPRI,22.6,22.6,22.58,22.59,3205,0,0,2026-01-29 10:25:00
CPRI,22.58,22.58,22.55,22.55,7265,0,0,2026-01-29 10:26:00
CPRI,22.55,22.57,22.52,22.52,7093,0,0,2026-01-29 10:27:00
CPRI,22.52,22.52,22.52,22.52,1702,0,0,2026-01-29 10:28:00
CPRI,22.52,22.54,22.5,22.51,38299,22.5,22.51,2026-01-29 10:30:00
CPRI,22.5,22.51,22.49,22.5,6569,0,0,2026-01-29 10:30:00
CPRI,22.49,22.54,22.48,22.52,9781,0,0,2026-01-29 10:31:00
CPRI,22.51,22.52,22.5,22.5,3335,0,0,2026-01-29 10:32:00
CPRI,22.5,22.5,22.47,22.48,3979,0,0,2026-01-29 10:33:00
CPRI,22.48,22.48,22.48,22.48,1226,0,0,2026-01-29 10:34:00
CPRI,22.46,22.46,22.45,22.45,3401,0,0,2026-01-29 10:35:00
CPRI,22.45,22.46,22.41,22.41,11403,0,0,2026-01-29 10:36:00
CPRI,22.42,22.44,22.42,22.42,5946,0,0,2026-01-29 10:37:00
CPRI,22.43,22.43,22.43,22.43,2197,0,0,2026-01-29 10:38:00
CPRI,22.43,22.45,22.43,22.44,7002,0,0,2026-01-29 10:39:00
CPRI,22.42,22.43,22.38,22.41,9261,0,0,2026-01-29 10:40:00
CPRI,22.4,22.41,22.4,22.41,2229,0,0,2026-01-29 10:41:00
CPRI,22.41,22.41,22.36,22.39,6779,0,0,2026-01-29 10:42:00
CPRI,22.39,22.4,22.39,22.39,4568,0,0,2026-01-29 10:43:00
CPRI,22.39,22.39,22.36,22.36,3303,22.35,22.38,2026-01-29 10:45:00
CPRI,22.35,22.36,22.34,22.35,13360,0,0,2026-01-29 10:45:00
CPRI,22.37,22.4,22.37,22.39,3372,0,0,2026-01-29 10:46:00
CPRI,22.39,22.4,22.37,22.4,5240,0,0,2026-01-29 10:47:00
CPRI,22.42,22.43,22.4,22.4,3556,0,0,2026-01-29 10:48:00
CPRI,22.39,22.4,22.39,22.39,4482,0,0,2026-01-29 10:49:00
CPRI,22.39,22.39,22.39,22.39,2062,0,0,2026-01-29 10:50:00
CPRI,22.39,22.39,22.39,22.39,1526,0,0,2026-01-29 10:51:00
CPRI,22.38,22.39,22.38,22.39,2796,0,0,2026-01-29 10:52:00
CPRI,22.38,22.38,22.36,22.38,3326,0,0,2026-01-29 10:53:00
CPRI,22.37,22.38,22.36,22.38,5391,0,0,2026-01-29 10:54:00
CPRI,22.38,22.41,22.38,22.4,8477,0,0,2026-01-29 10:55:00
CPRI,22.41,22.48,22.41,22.46,7839,0,0,2026-01-29 10:56:00
CPRI,22.45,22.48,22.45,22.47,3061,0,0,2026-01-29 10:57:00
CPRI,22.47,22.47,22.47,22.47,521,0,0,2026-01-29 10:58:00
CPRI,22.47,22.47,22.42,22.42,9918,0,0,2026-01-29 10:59:00
