Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CPRT,40.7,40.7,40.7,40.7,100,0,0,2026-01-29 08:24:00
CPRT,40.75,40.75,40.7,40.7,250,0,0,2026-01-29 08:26:00
CPRT,40.7,40.7,40.7,40.7,100,40.62,40.8,2026-01-29 08:49:00
CPRT,40.63,40.63,40.63,40.63,130,40.5,40.67,2026-01-29 09:24:00
CPRT,40.62,40.62,40.62,40.62,205,0,0,2026-01-29 09:24:00
CPRT,40.65,40.65,40.5,40.5,44306,0,0,2026-01-29 09:30:00
CPRT,40.53,40.6,40.47,40.6,6161,0,0,2026-01-29 09:31:00
CPRT,40.59,40.59,40.4,40.4,4350,0,0,2026-01-29 09:32:00
CPRT,40.39,40.39,40.27,40.3,6782,0,0,2026-01-29 09:33:00
CPRT,40.3,40.4,40.28,40.4,5539,0,0,2026-01-29 09:34:00
CPRT,40.37,40.39,40.34,40.35,10083,40.32,40.36,2026-01-29 09:36:00
CPRT,40.36,40.42,40.34,40.41,20490,0,0,2026-01-29 09:36:00
CPRT,40.42,40.43,40.39,40.43,9322,0,0,2026-01-29 09:37:00
CPRT,40.43,40.45,40.41,40.41,9036,0,0,2026-01-29 09:38:00
CPRT,40.42,40.45,40.37,40.39,10831,0,0,2026-01-29 09:39:00
CPRT,40.41,40.47,40.41,40.47,3981,0,0,2026-01-29 09:40:00
CPRT,40.45,40.51,40.45,40.45,14836,0,0,2026-01-29 09:41:00
CPRT,40.47,40.47,40.4,40.44,19319,0,0,2026-01-29 09:42:00
CPRT,40.43,40.43,40.38,40.38,21998,0,0,2026-01-29 09:43:00
CPRT,40.39,40.39,40.31,40.31,16230,0,0,2026-01-29 09:44:00
CPRT,40.28,40.34,40.28,40.32,19388,0,0,2026-01-29 09:45:00
CPRT,40.32,40.38,40.3,40.37,11414,0,0,2026-01-29 09:46:00
CPRT,40.36,40.36,40.29,40.35,13764,0,0,2026-01-29 09:47:00
CPRT,40.35,40.4,40.35,40.4,9471,0,0,2026-01-29 09:48:00
CPRT,40.39,40.43,40.37,40.41,14890,0,0,2026-01-29 09:49:00
CPRT,40.4,40.41,40.38,40.41,15717,0,0,2026-01-29 09:50:00
CPRT,40.41,40.41,40.32,40.32,10096,0,0,2026-01-29 09:51:00
CPRT,40.32,40.35,40.31,40.33,6641,0,0,2026-01-29 09:52:00
CPRT,40.33,40.42,40.33,40.42,13007,0,0,2026-01-29 09:53:00
CPRT,40.41,40.47,40.4,40.46,14397,0,0,2026-01-29 09:54:00
CPRT,40.47,40.48,40.45,40.46,4955,0,0,2026-01-29 09:55:00
CPRT,40.47,40.47,40.41,40.41,5956,0,0,2026-01-29 09:56:00
CPRT,40.41,40.43,40.4,40.43,8516,0,0,2026-01-29 09:57:00
CPRT,40.42,40.45,40.38,40.38,6995,0,0,2026-01-29 09:58:00
CPRT,40.38,40.4,40.37,40.4,6206,0,0,2026-01-29 09:59:00
CPRT,40.41,40.41,40.36,40.36,19584,0,0,2026-01-29 10:00:00
CPRT,40.37,40.41,40.37,40.38,5737,0,0,2026-01-29 10:01:00
CPRT,40.38,40.4,40.38,40.4,8619,0,0,2026-01-29 10:02:00
CPRT,40.4,40.4,40.36,40.36,9078,0,0,2026-01-29 10:03:00
CPRT,40.35,40.37,40.33,40.36,19818,0,0,2026-01-29 10:04:00
CPRT,40.37,40.39,40.34,40.38,20503,0,0,2026-01-29 10:05:00
CPRT,40.38,40.38,40.32,40.32,8654,0,0,2026-01-29 10:06:00
CPRT,40.31,40.34,40.29,40.29,6975,0,0,2026-01-29 10:07:00
CPRT,40.3,40.31,40.28,40.29,7269,0,0,2026-01-29 10:08:00
CPRT,40.3,40.3,40.24,40.24,4616,0,0,2026-01-29 10:09:00
CPRT,40.21,40.22,40.2,40.22,5924,0,0,2026-01-29 10:10:00
CPRT,40.22,40.23,40.18,40.18,6408,0,0,2026-01-29 10:11:00
CPRT,40.18,40.18,40.16,40.17,3341,0,0,2026-01-29 10:12:00
CPRT,40.17,40.19,40.16,40.16,41712,0,0,2026-01-29 10:13:00
CPRT,40.16,40.25,40.16,40.23,6825,0,0,2026-01-29 10:14:00
CPRT,40.23,40.25,40.23,40.25,10906,0,0,2026-01-29 10:15:00
CPRT,40.26,40.26,40.22,40.23,9761,0,0,2026-01-29 10:16:00
CPRT,40.23,40.24,40.21,40.21,9122,0,0,2026-01-29 10:17:00
CPRT,40.2,40.24,40.2,40.23,5389,0,0,2026-01-29 10:18:00
CPRT,40.24,40.24,40.18,40.18,12170,0,0,2026-01-29 10:19:00
CPRT,40.18,40.22,40.18,40.22,9451,0,0,2026-01-29 10:20:00
CPRT,40.22,40.23,40.22,40.23,5056,0,0,2026-01-29 10:21:00
CPRT,40.22,40.27,40.2,40.2,10217,0,0,2026-01-29 10:22:00
CPRT,40.19,40.22,40.17,40.17,3424,0,0,2026-01-29 10:23:00
CPRT,40.18,40.18,40.14,40.14,8585,0,0,2026-01-29 10:24:00
CPRT,40.15,40.16,40.15,40.16,2028,0,0,2026-01-29 10:25:00
CPRT,40.17,40.17,40.12,40.13,8004,0,0,2026-01-29 10:26:00
CPRT,40.13,40.21,40.13,40.19,6507,0,0,2026-01-29 10:27:00
CPRT,40.19,40.23,40.19,40.23,8000,0,0,2026-01-29 10:28:00
CPRT,40.23,40.24,40.22,40.23,8191,0,0,2026-01-29 10:29:00
CPRT,40.23,40.27,40.23,40.26,5263,0,0,2026-01-29 10:30:00
