Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CPS,31.58,31.66,31.58,31.66,2129,0,0,2026-01-29 09:30:00
CPS,31.48,31.77,31.45,31.77,600,31.22,31.94,2026-01-29 09:33:00
CPS,31.35,31.35,31.35,31.35,365,0,0,2026-01-29 09:37:00
CPS,31.58,31.58,31.58,31.58,400,0,0,2026-01-29 09:38:00
CPS,31.78,31.78,31.78,31.78,151,0,0,2026-01-29 09:42:00
CPS,31.41,31.74,31.41,31.74,835,0,0,2026-01-29 09:46:00
CPS,31.6,31.64,31.6,31.64,392,0,0,2026-01-29 09:51:00
CPS,31.63,31.63,31.63,31.63,458,0,0,2026-01-29 09:52:00
CPS,31.8,31.8,31.8,31.8,210,0,0,2026-01-29 09:55:00
CPS,31.54,31.62,31.54,31.62,826,0,0,2026-01-29 10:01:00
CPS,31.64,31.64,31.64,31.64,483,0,0,2026-01-29 10:02:00
CPS,31.64,31.68,31.64,31.68,603,0,0,2026-01-29 10:06:00
CPS,31.75,31.75,31.75,31.75,323,0,0,2026-01-29 10:07:00
CPS,31.77,31.77,31.77,31.77,260,0,0,2026-01-29 10:10:00
CPS,31.72,31.72,31.72,31.72,102,0,0,2026-01-29 10:15:00
CPS,31.89,31.89,31.73,31.73,256,0,0,2026-01-29 10:17:00
CPS,31.91,31.91,31.91,31.91,248,0,0,2026-01-29 10:19:00
CPS,31.94,31.96,31.94,31.96,368,0,0,2026-01-29 10:21:00
CPS,31.88,31.88,31.88,31.88,802,0,0,2026-01-29 10:22:00
CPS,31.8,31.8,31.8,31.8,1323,0,0,2026-01-29 10:23:00
CPS,31.87,31.87,31.84,31.84,433,0,0,2026-01-29 10:26:00
CPS,31.84,31.84,31.68,31.68,1312,0,0,2026-01-29 10:27:00
CPS,31.8,31.8,31.8,31.8,171,0,0,2026-01-29 10:28:00
CPS,31.62,31.62,31.62,31.62,625,0,0,2026-01-29 10:31:00
CPS,31.68,31.68,31.68,31.68,2158,0,0,2026-01-29 10:32:00
