Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CRCL,71.9,71.9,71.9,71.9,898,0,0,2026-01-29 08:08:00
CRCL,71.87,71.91,71.85,71.85,2013,0,0,2026-01-29 08:09:00
CRCL,71.87,71.87,71.87,71.87,836,0,0,2026-01-29 08:10:00
CRCL,71.89,71.98,71.89,71.98,2293,0,0,2026-01-29 08:11:00
CRCL,71.98,71.98,71.98,71.98,2102,0,0,2026-01-29 08:12:00
CRCL,71.97,71.97,71.97,71.97,410,0,0,2026-01-29 08:14:00
CRCL,71.89,71.89,71.8,71.82,4197,0,0,2026-01-29 08:16:00
CRCL,71.82,71.82,71.8,71.8,1400,0,0,2026-01-29 08:17:00
CRCL,71.82,71.82,71.82,71.82,801,0,0,2026-01-29 08:18:00
CRCL,71.82,71.82,71.82,71.82,424,0,0,2026-01-29 08:19:00
CRCL,71.81,71.81,71.75,71.75,2054,0,0,2026-01-29 08:22:00
CRCL,71.97,71.97,71.97,71.97,159,0,0,2026-01-29 08:24:00
CRCL,71.94,71.96,71.94,71.96,730,0,0,2026-01-29 08:26:00
CRCL,71.97,71.97,71.96,71.96,894,0,0,2026-01-29 08:27:00
CRCL,71.95,71.97,71.95,71.97,769,0,0,2026-01-29 08:28:00
CRCL,71.95,71.95,71.95,71.95,2271,0,0,2026-01-29 08:29:00
CRCL,71.94,71.94,71.94,71.94,229,0,0,2026-01-29 08:30:00
CRCL,71.93,71.93,71.93,71.93,304,0,0,2026-01-29 08:32:00
CRCL,71.97,71.99,71.97,71.99,1663,0,0,2026-01-29 08:36:00
CRCL,71.96,72.0,71.95,72.0,4813,0,0,2026-01-29 08:37:00
CRCL,72.08,72.08,72.08,72.08,274,0,0,2026-01-29 08:38:00
CRCL,72.0,72.0,71.91,71.91,730,0,0,2026-01-29 08:39:00
CRCL,71.9,71.9,71.82,71.82,1571,71.8,71.89,2026-01-29 08:41:00
CRCL,71.81,71.82,71.8,71.81,1700,0,0,2026-01-29 08:42:00
CRCL,71.79,71.8,71.77,71.77,2048,0,0,2026-01-29 08:43:00
CRCL,71.75,71.75,71.73,71.73,1600,0,0,2026-01-29 08:44:00
CRCL,71.69,71.7,71.59,71.59,2144,71.58,71.6,2026-01-29 08:46:00
CRCL,71.58,71.6,71.55,71.6,2112,0,0,2026-01-29 08:46:00
CRCL,71.53,71.6,71.53,71.6,1324,71.56,71.6,2026-01-29 08:48:00
CRCL,71.6,71.6,71.5,71.5,2414,71.5,71.59,2026-01-29 08:49:00
CRCL,71.51,71.51,71.5,71.5,2451,0,0,2026-01-29 08:49:00
CRCL,71.51,71.51,71.5,71.5,635,0,0,2026-01-29 08:50:00
CRCL,71.5,71.51,71.5,71.5,2022,0,0,2026-01-29 08:51:00
CRCL,71.49,71.52,71.46,71.46,539,71.46,71.52,2026-01-29 08:53:00
CRCL,71.46,71.53,71.46,71.5,4422,0,0,2026-01-29 08:53:00
CRCL,71.5,71.5,71.45,71.45,876,71.43,71.52,2026-01-29 08:55:00
CRCL,71.54,71.54,71.54,71.54,826,0,0,2026-01-29 08:55:00
CRCL,71.52,71.52,71.52,71.52,380,0,0,2026-01-29 08:56:00
CRCL,71.72,71.72,71.72,71.72,369,0,0,2026-01-29 09:01:00
CRCL,71.6,71.6,71.52,71.52,2870,0,0,2026-01-29 09:02:00
CRCL,71.5,71.54,71.48,71.53,2256,0,0,2026-01-29 09:03:00
CRCL,71.55,71.56,71.55,71.55,1036,71.46,71.71,2026-01-29 09:06:00
CRCL,71.62,71.62,71.62,71.62,220,0,0,2026-01-29 09:06:00
CRCL,71.63,71.77,71.62,71.68,3352,0,0,2026-01-29 09:07:00
