Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CSGP,65.31,65.46,65.26,65.46,19878,0,0,2026-01-29 09:30:00
CSGP,65.4,65.41,65.14,65.14,2056,0,0,2026-01-29 09:31:00
CSGP,65.01,65.02,64.38,64.47,11950,64.37,64.56,2026-01-29 09:33:00
CSGP,64.46,64.56,64.13,64.38,4767,63.96,64.93,2026-01-29 09:34:00
CSGP,64.42,64.84,64.42,64.82,2274,0,0,2026-01-29 09:34:00
CSGP,64.75,64.75,64.75,64.75,939,0,0,2026-01-29 09:35:00
CSGP,64.78,64.78,64.69,64.7,2421,0,0,2026-01-29 09:36:00
CSGP,64.72,64.87,64.64,64.64,2359,0,0,2026-01-29 09:37:00
CSGP,64.64,64.72,64.64,64.71,756,0,0,2026-01-29 09:38:00
CSGP,64.69,64.85,64.6,64.69,5564,0,0,2026-01-29 09:39:00
CSGP,64.69,64.69,64.45,64.46,2291,0,0,2026-01-29 09:40:00
CSGP,64.46,64.51,64.08,64.14,4556,0,0,2026-01-29 09:41:00
CSGP,64.09,64.23,64.09,64.12,6056,0,0,2026-01-29 09:42:00
CSGP,64.06,64.14,63.88,64.11,7531,0,0,2026-01-29 09:43:00
CSGP,64.01,64.12,63.99,64.0,9829,0,0,2026-01-29 09:44:00
CSGP,63.96,63.96,63.76,63.89,6084,0,0,2026-01-29 09:45:00
CSGP,63.88,63.94,63.79,63.83,8601,0,0,2026-01-29 09:46:00
CSGP,63.77,63.77,63.63,63.65,2097,0,0,2026-01-29 09:47:00
CSGP,63.77,63.77,63.63,63.7,4102,0,0,2026-01-29 09:48:00
CSGP,63.7,63.72,63.59,63.59,2915,0,0,2026-01-29 09:49:00
CSGP,63.63,63.71,63.55,63.71,10582,0,0,2026-01-29 09:50:00
CSGP,63.7,63.7,63.58,63.58,2935,0,0,2026-01-29 09:51:00
CSGP,63.56,63.7,63.51,63.51,8444,0,0,2026-01-29 09:52:00
CSGP,63.52,63.73,63.48,63.72,10178,0,0,2026-01-29 09:53:00
CSGP,63.72,63.72,63.64,63.72,1799,0,0,2026-01-29 09:54:00
CSGP,63.72,63.8,63.65,63.65,9202,0,0,2026-01-29 09:55:00
CSGP,63.63,63.67,63.36,63.37,12594,0,0,2026-01-29 09:56:00
CSGP,63.38,63.51,63.37,63.48,6247,0,0,2026-01-29 09:57:00
CSGP,63.48,63.5,63.4,63.4,2882,0,0,2026-01-29 09:58:00
CSGP,63.38,63.43,63.32,63.32,14018,0,0,2026-01-29 09:59:00
CSGP,63.34,63.37,63.27,63.31,11088,0,0,2026-01-29 10:00:00
CSGP,63.28,63.44,63.28,63.35,8841,0,0,2026-01-29 10:01:00
CSGP,63.33,63.38,63.27,63.37,7505,0,0,2026-01-29 10:02:00
CSGP,63.28,63.45,63.28,63.38,7778,0,0,2026-01-29 10:03:00
CSGP,63.37,63.47,63.37,63.41,10682,0,0,2026-01-29 10:04:00
CSGP,63.41,63.48,63.39,63.42,10418,0,0,2026-01-29 10:05:00
CSGP,63.42,63.42,63.24,63.31,16393,0,0,2026-01-29 10:06:00
CSGP,63.31,63.31,63.25,63.29,10557,0,0,2026-01-29 10:07:00
CSGP,63.3,63.36,63.2,63.23,24355,0,0,2026-01-29 10:08:00
CSGP,63.24,63.3,63.09,63.09,16332,0,0,2026-01-29 10:09:00
CSGP,63.08,63.13,63.0,63.1,11092,0,0,2026-01-29 10:10:00
CSGP,63.1,63.12,63.06,63.12,3646,0,0,2026-01-29 10:11:00
CSGP,63.11,63.2,63.11,63.17,15592,0,0,2026-01-29 10:12:00
CSGP,63.16,63.2,63.08,63.2,12502,0,0,2026-01-29 10:13:00
CSGP,63.1,63.16,63.05,63.08,25424,0,0,2026-01-29 10:14:00
CSGP,63.11,63.15,63.11,63.12,15357,0,0,2026-01-29 10:15:00
CSGP,63.12,63.16,63.07,63.1,8067,0,0,2026-01-29 10:16:00
CSGP,63.11,63.11,62.99,63.02,13621,0,0,2026-01-29 10:17:00
CSGP,63.02,63.2,63.02,63.16,29349,0,0,2026-01-29 10:18:00
CSGP,63.16,63.16,63.09,63.1,5025,0,0,2026-01-29 10:19:00
CSGP,63.1,63.19,63.07,63.13,7430,0,0,2026-01-29 10:20:00
CSGP,63.13,63.15,63.07,63.09,3484,0,0,2026-01-29 10:21:00
CSGP,63.06,63.12,63.04,63.09,8695,0,0,2026-01-29 10:22:00
CSGP,63.08,63.11,63.06,63.09,5508,0,0,2026-01-29 10:23:00
CSGP,63.09,63.09,62.94,62.97,7149,0,0,2026-01-29 10:24:00
CSGP,62.97,63.07,62.97,63.04,17710,0,0,2026-01-29 10:25:00
CSGP,63.01,63.08,63.0,63.0,5987,0,0,2026-01-29 10:26:00
CSGP,63.04,63.12,62.99,63.03,18518,0,0,2026-01-29 10:27:00
CSGP,63.07,63.33,63.02,63.28,18476,0,0,2026-01-29 10:28:00
CSGP,63.28,63.28,63.06,63.1,10664,0,0,2026-01-29 10:29:00
CSGP,63.1,63.23,63.09,63.2,12008,0,0,2026-01-29 10:30:00
CSGP,63.2,63.2,63.14,63.14,5031,0,0,2026-01-29 10:31:00
CSGP,63.2,63.22,63.14,63.17,3767,0,0,2026-01-29 10:32:00
CSGP,63.13,63.2,63.13,63.2,5024,0,0,2026-01-29 10:33:00
CSGP,63.15,63.17,63.14,63.14,6454,0,0,2026-01-29 10:34:00
CSGP,63.18,63.24,63.15,63.22,5611,0,0,2026-01-29 10:35:00
CSGP,63.23,63.23,63.0,63.03,24968,0,0,2026-01-29 10:36:00
CSGP,63.03,63.07,63.0,63.01,8141,0,0,2026-01-29 10:37:00
CSGP,62.99,63.09,62.98,63.05,12756,0,0,2026-01-29 10:38:00
CSGP,63.08,63.08,63.04,63.06,6213,0,0,2026-01-29 10:39:00
CSGP,63.06,63.13,63.06,63.08,5371,0,0,2026-01-29 10:40:00
CSGP,63.09,63.12,63.09,63.1,7056,0,0,2026-01-29 10:41:00
CSGP,63.05,63.06,63.03,63.05,3854,0,0,2026-01-29 10:42:00
CSGP,63.04,63.06,63.04,63.05,4020,0,0,2026-01-29 10:43:00
CSGP,63.05,63.06,62.97,63,12064,62.98,63.03,2026-01-29 10:45:00
CSGP,62.98,63.03,62.98,63.03,4686,0,0,2026-01-29 10:45:00
CSGP,63.05,63.06,63.02,63.03,4329,0,0,2026-01-29 10:46:00
CSGP,63.0,63.08,62.99,63.04,6344,0,0,2026-01-29 10:47:00
CSGP,63.01,63.04,62.92,62.92,4288,0,0,2026-01-29 10:48:00
CSGP,62.91,62.91,62.86,62.91,2841,0,0,2026-01-29 10:49:00
CSGP,62.91,63.12,62.91,63.05,38205,0,0,2026-01-29 10:50:00
CSGP,63.05,63.13,63.05,63.09,4394,0,0,2026-01-29 10:51:00
CSGP,63.09,63.13,63.05,63.13,21445,0,0,2026-01-29 10:52:00
CSGP,63.13,63.15,63.11,63.13,2195,0,0,2026-01-29 10:53:00
CSGP,63.13,63.17,63.11,63.15,17228,0,0,2026-01-29 10:54:00
CSGP,63.15,63.37,63.12,63.19,56962,0,0,2026-01-29 10:55:00
CSGP,63.19,63.37,63.19,63.37,17647,0,0,2026-01-29 10:56:00
CSGP,63.35,63.41,63.32,63.33,3941,0,0,2026-01-29 10:57:00
CSGP,63.29,63.29,63.2,63.23,3570,0,0,2026-01-29 10:58:00
CSGP,63.23,63.27,63.19,63.27,4217,0,0,2026-01-29 10:59:00
CSGP,63.23,63.26,63.15,63.15,7212,0,0,2026-01-29 11:00:00
CSGP,63.17,63.17,63.09,63.1,3140,0,0,2026-01-29 11:01:00
