Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CTAS,188.59,188.62,187.95,187.95,1132,0,0,2026-01-29 09:27:00
CTAS,188.97,189.72,188.56,189.72,19519,0,0,2026-01-29 09:30:00
CTAS,189.96,189.96,189.45,189.53,3365,0,0,2026-01-29 09:31:00
CTAS,189.87,189.87,189.24,189.24,1535,0,0,2026-01-29 09:32:00
CTAS,189.08,189.08,188.64,188.64,356,0,0,2026-01-29 09:33:00
CTAS,189.63,189.8,189.63,189.8,1033,0,0,2026-01-29 09:34:00
CTAS,189.99,190.25,189.99,190.24,2103,189.73,190.62,2026-01-29 09:36:00
CTAS,190.16,190.23,190.16,190.23,542,0,0,2026-01-29 09:36:00
CTAS,190.57,190.99,190.17,190.79,2472,0,0,2026-01-29 09:38:00
CTAS,190.79,190.79,190.34,190.36,3157,0,0,2026-01-29 09:39:00
CTAS,190.07,190.17,190.07,190.17,1355,0,0,2026-01-29 09:40:00
CTAS,190.04,190.04,189.72,189.79,1185,0,0,2026-01-29 09:41:00
CTAS,189.85,189.85,189.56,189.56,813,0,0,2026-01-29 09:42:00
CTAS,189.72,189.77,189.72,189.77,604,0,0,2026-01-29 09:43:00
CTAS,189.56,189.56,189.35,189.35,807,0,0,2026-01-29 09:44:00
CTAS,189.47,189.47,189.47,189.47,743,0,0,2026-01-29 09:45:00
CTAS,189.6,189.64,189.53,189.53,1660,0,0,2026-01-29 09:46:00
CTAS,189.52,189.68,189.52,189.53,3624,0,0,2026-01-29 09:47:00
CTAS,189.48,189.48,189.48,189.48,298,0,0,2026-01-29 09:48:00
CTAS,189.62,189.87,189.53,189.87,3860,0,0,2026-01-29 09:49:00
CTAS,189.7,189.92,189.68,189.92,3407,0,0,2026-01-29 09:50:00
CTAS,189.93,190.06,189.64,189.64,3897,0,0,2026-01-29 09:51:00
CTAS,189.66,189.66,189.66,189.66,551,0,0,2026-01-29 09:52:00
CTAS,189.72,189.94,189.72,189.94,921,0,0,2026-01-29 09:53:00
CTAS,190.09,190.19,189.85,189.86,8599,0,0,2026-01-29 09:54:00
CTAS,189.88,189.97,189.76,189.76,1830,0,0,2026-01-29 09:55:00
CTAS,189.97,189.97,189.97,189.97,458,0,0,2026-01-29 09:56:00
CTAS,189.8,189.8,189.8,189.8,194,0,0,2026-01-29 09:57:00
CTAS,189.94,189.94,189.91,189.91,573,0,0,2026-01-29 09:58:00
CTAS,189.85,189.86,189.78,189.78,1161,0,0,2026-01-29 09:59:00
CTAS,189.69,189.76,189.49,189.69,3340,0,0,2026-01-29 10:00:00
CTAS,189.87,190.03,189.81,189.9,4523,0,0,2026-01-29 10:01:00
CTAS,189.96,189.97,189.9,189.9,1258,0,0,2026-01-29 10:02:00
CTAS,190.01,190.01,189.92,189.92,1030,0,0,2026-01-29 10:03:00
CTAS,189.93,190.01,189.93,189.95,1343,0,0,2026-01-29 10:04:00
CTAS,189.93,189.93,189.78,189.78,1693,0,0,2026-01-29 10:05:00
CTAS,189.75,189.75,189.33,189.33,1544,0,0,2026-01-29 10:06:00
CTAS,189.33,189.35,189.24,189.35,2495,0,0,2026-01-29 10:07:00
CTAS,189.23,189.23,189.23,189.23,1202,0,0,2026-01-29 10:09:00
CTAS,189.23,189.23,189.11,189.11,1000,0,0,2026-01-29 10:10:00
CTAS,189.41,189.41,189.41,189.41,1417,0,0,2026-01-29 10:11:00
CTAS,189.02,189.02,189.02,189.02,800,0,0,2026-01-29 10:12:00
CTAS,189.31,189.49,189.31,189.4,5918,0,0,2026-01-29 10:13:00
CTAS,189.31,189.35,189.31,189.35,807,0,0,2026-01-29 10:14:00
CTAS,189.44,189.58,189.44,189.57,9114,0,0,2026-01-29 10:15:00
CTAS,189.38,189.38,189.38,189.38,397,0,0,2026-01-29 10:16:00
